Split,Image_Index,Original_Label
train,13126,7
train,12428,3
train,24553,5
train,6179,6
train,11259,5
train,42354,3
train,44357,8
train,37315,2
train,11002,0
train,11678,9
train,47998,3
train,11980,5
train,11739,3
train,7828,4
train,33645,5
train,48648,9
train,21462,3
train,35729,7
train,16495,3
train,10911,0
train,16925,1
train,8740,2
train,10697,4
train,14762,5
train,36502,2
train,299,4
train,42396,5
train,38612,6
train,11577,8
train,30216,7
train,26344,1
train,35388,8
train,41786,9
train,10455,0
train,15216,7
train,49973,1
train,42482,3
train,46472,3
train,12856,1
train,16347,9
train,10983,9
train,31203,1
train,24538,3
train,36284,6
train,46368,7
train,40188,4
train,28628,2
train,25206,1
train,41107,4
train,27377,5
train,13207,1
train,15663,4
train,45715,1
train,46247,5
train,22802,9
train,23468,4
train,27791,9
train,5371,0
train,8529,1
train,42037,3
train,38784,5
train,24565,3
train,42499,8
train,30108,2
train,39374,3
train,28128,8
train,14,9
train,43295,3
train,41179,0
train,25507,9
train,49477,9
train,16548,0
train,1348,4
train,34572,9
train,33754,1
train,41422,2
train,22821,7
train,12294,0
train,20832,4
train,25466,7
train,24528,1
train,3730,6
train,12275,1
train,40749,1
train,3341,6
train,44222,7
train,43170,4
train,5370,2
train,537,7
train,42084,3
train,28542,6
train,25173,9
train,46717,1
train,40745,4
train,29393,5
train,7768,3
train,3530,6
train,46091,8
train,12947,5
train,47757,5
train,13717,9
train,22182,9
train,12239,5
train,37805,4
train,15688,8
train,47337,0
train,27119,9
train,37693,0
train,35503,2
train,22141,8
train,3796,2
train,958,8
train,37228,7
train,25676,3
train,48192,9
train,31698,3
train,15751,2
train,34871,1
train,998,3
train,42013,6
train,25266,7
train,6368,3
train,40868,5
train,19769,1
train,29264,1
train,46476,4
train,21751,7
train,27027,8
train,43035,8
train,33341,7
train,12384,1
train,44762,7
train,1026,9
train,23526,3
train,14480,6
train,19286,0
train,24326,5
train,43940,7
train,16927,6
train,19760,1
train,9831,0
train,47769,5
train,37278,2
train,8247,4
train,22792,7
train,12176,8
train,29991,8
train,27167,4
train,28878,2
train,34732,5
train,3329,0
train,7619,4
train,6381,9
train,44972,6
train,27864,8
train,28537,8
train,31611,5
train,36129,1
train,43781,2
train,23321,8
train,14433,9
train,25147,4
train,6778,5
train,39581,9
train,44535,2
train,7981,5
train,47390,1
train,24409,2
train,21007,7
train,31415,3
train,17964,1
train,2712,4
train,23941,5
train,35510,5
train,41397,7
train,36563,6
train,27931,0
train,19758,4
train,46739,8
train,14767,8
train,24663,5
train,14261,7
train,27998,7
train,36708,8
train,9576,1
train,40682,4
train,23361,1
train,18145,8
train,40451,9
train,20423,7
train,49796,7
train,43065,3
train,42901,6
train,37474,7
train,41190,5
train,16078,9
train,43758,4
train,22866,3
train,8024,2
train,35390,5
train,19315,4
train,31037,8
train,2974,8
train,4205,8
train,6550,1
train,39229,5
train,26199,6
train,25023,0
train,20418,3
train,9397,5
train,9575,6
train,45302,9
train,29865,3
train,1285,2
train,7691,9
train,39673,9
