Split,Image_Index,Original_Label
train,0,7
train,1,3
train,2,5
train,3,6
train,4,5
train,5,3
train,6,8
train,7,2
train,8,0
train,9,9
train,10,3
train,11,5
train,12,3
train,13,4
train,14,5
train,15,9
train,16,3
train,17,7
train,18,3
train,19,0
train,20,1
train,21,2
train,22,4
train,23,5
train,24,2
train,25,4
train,26,5
train,27,6
train,28,8
train,29,7
train,30,1
train,31,8
train,32,9
train,33,0
train,34,7
train,35,1
train,36,3
train,37,3
train,38,1
train,39,9
train,40,9
train,41,1
train,42,3
train,43,6
train,44,7
train,45,4
train,46,2
train,47,1
train,48,4
train,49,5
train,50,1
train,51,4
train,52,1
train,53,5
train,54,9
train,55,4
train,56,9
train,57,0
train,58,1
train,59,3
train,60,5
train,61,3
train,62,8
train,63,2
train,64,3
train,65,8
train,66,9
train,67,3
train,68,0
train,69,9
train,70,9
train,71,0
train,72,4
train,73,9
train,74,1
train,75,2
train,76,7
train,77,0
train,78,4
train,79,7
train,80,1
train,81,6
train,82,1
train,83,1
train,84,6
train,85,7
train,86,4
train,87,2
train,88,7
train,89,3
train,90,6
train,91,9
train,92,1
train,93,4
train,94,5
train,95,3
train,96,6
train,97,8
train,98,5
train,99,5
train,100,9
train,101,9
train,102,5
train,103,4
train,104,8
train,105,0
train,106,9
train,107,0
train,108,2
train,109,8
train,110,2
train,111,8
train,112,7
train,113,3
train,114,9
train,115,3
train,116,2
train,117,1
train,118,3
train,119,6
train,120,7
train,121,3
train,122,5
train,123,1
train,124,1
train,125,4
train,126,7
train,127,8
train,128,8
train,129,7
train,130,1
train,131,7
train,132,9
train,133,3
train,134,6
train,135,0
train,136,5
train,137,7
train,138,6
train,139,1
train,140,0
train,141,5
train,142,2
train,143,4
train,144,7
train,145,8
train,146,8
train,147,4
train,148,2
train,149,5
train,150,0
train,151,4
train,152,9
train,153,6
train,154,8
train,155,8
train,156,5
train,157,1
train,158,2
train,159,8
train,160,9
train,161,4
train,162,5
train,163,9
train,164,2
train,165,5
train,166,1
train,167,2
train,168,7
train,169,3
train,170,1
train,171,4
train,172,5
train,173,5
train,174,7
train,175,6
train,176,0
train,177,4
train,178,8
train,179,8
train,180,5
train,181,7
train,182,7
train,183,8
train,184,1
train,185,4
train,186,1
train,187,8
train,188,9
train,189,7
train,190,7
train,191,3
train,192,6
train,193,7
train,194,5
train,195,9
train,196,4
train,197,3
train,198,2
train,199,5
train,200,4
train,201,8
train,202,8
train,203,8
train,204,1
train,205,5
train,206,6
train,207,0
train,208,3
train,209,5
train,210,6
train,211,9
train,212,3
train,213,2
train,214,9
train,215,9
train,216,1
train,217,2
train,218,6
train,219,9
train,220,6
train,221,4
train,222,5
train,223,0
train,224,8
train,225,2
train,226,5
train,227,4
train,228,1
train,229,7
train,230,1
train,231,4
train,232,7
train,233,9
train,234,1
train,235,5
train,236,1
train,237,6
train,238,1
train,239,6
train,240,2
train,241,6
train,242,6
train,243,8
train,244,3
train,245,9
train,246,9
train,247,3
train,248,2
train,249,9
train,250,6
train,251,9
train,252,0
train,253,6
train,254,1
train,255,6
train,256,3
train,257,4
train,258,2
train,259,2
train,260,1
train,261,2
train,262,1
train,263,2
train,264,7
train,265,7
train,266,3
train,267,3
train,268,6
train,269,2
train,270,9
train,271,5
train,272,0
train,273,4
train,274,9
train,275,5
train,276,9
train,277,1
train,278,3
train,279,0
train,280,5
train,281,2
train,282,5
train,283,6
train,284,4
train,285,8
train,286,7
train,287,7
train,288,9
