Split,Image_Index,Original_Label
Train,0,6
Train,1,9
Train,2,9
Train,3,4
Train,4,1
Train,5,1
Train,6,2
Train,7,7
Train,8,8
Train,9,3
Train,10,4
Train,11,7
Train,12,7
Train,13,2
Train,14,9
Train,15,9
Train,16,9
Train,17,3
Train,18,2
Train,19,6
Train,20,4
Train,21,3
Train,22,6
Train,23,6
Train,24,2
Train,25,6
Train,26,3
Train,27,5
Train,28,4
Train,29,0
Train,30,0
Train,31,9
Train,32,1
Train,33,3
Train,34,4
Train,35,0
Train,36,3
Train,37,7
Train,38,3
Train,39,3
Train,40,5
Train,41,2
Train,42,2
Train,43,7
Train,44,1
Train,45,1
Train,46,1
Train,47,2
Train,48,2
Train,49,0
Train,50,9
Train,51,5
Train,52,7
Train,53,9
Train,54,2
Train,55,2
Train,56,5
Train,57,2
Train,58,4
Train,59,3
Train,60,1
Train,61,1
Train,62,8
Train,63,2
Train,64,1
Train,65,1
Train,66,4
Train,67,9
Train,68,7
Train,69,8
Train,70,5
Train,71,9
Train,72,6
Train,73,7
Train,74,3
Train,75,1
Train,76,9
Train,77,0
Train,78,3
Train,79,1
Train,80,3
Train,81,5
Train,82,4
Train,83,5
Train,84,7
Train,85,7
Train,86,4
Train,87,7
Train,88,9
Train,89,4
Train,90,2
Train,91,3
Train,92,8
Train,93,0
Train,94,1
Train,95,6
Train,96,1
Train,97,1
Train,98,4
Train,99,1
Train,100,8
Train,101,3
Train,102,9
Train,103,6
Train,104,6
Train,105,1
Train,106,8
Train,107,5
Train,108,2
Train,109,9
Train,110,9
Train,111,8
Train,112,1
Train,113,7
Train,114,7
Train,115,0
Train,116,0
Train,117,6
Train,118,9
Train,119,1
Train,120,2
Train,121,2
Train,122,9
Train,123,2
Train,124,6
Train,125,6
Train,126,1
Train,127,9
Train,128,5
Train,129,0
Train,130,4
Train,131,7
Train,132,6
Train,133,7
Train,134,1
Train,135,8
Train,136,1
Train,137,1
Train,138,2
Train,139,8
Train,140,1
Train,141,3
Train,142,3
Train,143,6
Train,144,2
Train,145,4
Train,146,9
Train,147,9
Train,148,5
Train,149,4
Train,150,3
Train,151,6
Train,152,7
Train,153,4
Train,154,6
Train,155,8
Train,156,5
Train,157,5
Train,158,4
Train,159,3
Train,160,1
Train,161,8
Train,162,4
Train,163,7
Train,164,6
Train,165,0
Train,166,9
Train,167,5
Train,168,1
Train,169,3
Train,170,8
Train,171,2
Train,172,7
Train,173,5
Train,174,3
Train,175,4
Train,176,1
Train,177,5
Train,178,7
Train,179,0
Train,180,4
Train,181,7
Train,182,5
Train,183,5
Train,184,1
Train,185,0
Train,186,9
Train,187,6
Train,188,9
Train,189,0
Train,190,8
Train,191,7
Train,192,8
Train,193,8
Train,194,2
Train,195,5
Train,196,2
Train,197,3
Train,198,5
Train,199,0
Train,200,6
Train,201,1
Train,202,9
Train,203,3
Train,204,6
Train,205,9
Train,206,1
Train,207,3
Train,208,9
Train,209,6
Train,210,6
Train,211,7
Train,212,1
