Split,Image_Index,Original_Label
train,64035,1
train,109267,2
train,28573,13
train,29566,22
train,68227,10
train,120101,12
train,36328,16
train,63872,24
train,8851,20
train,121588,7
train,79400,6
train,108141,18
train,45731,16
train,3418,15
train,6963,10
train,86403,19
train,12916,12
train,49555,15
train,73797,17
train,43114,26
train,17654,6
train,81687,4
train,95551,11
train,77119,17
train,122994,4
train,6439,16
train,109158,24
train,86811,21
train,64208,2
train,98281,8
train,102169,6
train,55542,22
train,86695,4
train,60632,17
train,5726,8
train,55402,15
train,32878,26
train,112804,9
train,55712,12
train,98435,18
train,121654,12
train,53460,17
train,66379,22
train,97286,9
train,85752,21
train,123511,2
train,29177,2
train,57451,24
train,19547,16
train,79782,10
train,93306,21
train,124563,5
train,59754,13
train,60164,14
train,66976,2
train,5770,4
train,41533,26
train,11907,23
train,29396,7
train,8464,22
train,118447,21
train,33420,4
train,84386,20
train,95512,14
train,5698,19
train,88106,14
train,4068,22
train,75765,3
train,124291,25
train,97179,25
train,109878,2
train,67551,7
train,46791,12
train,28229,23
train,5219,10
train,17623,16
train,42267,21
train,112470,17
train,117579,3
train,39557,8
train,76466,2
train,123329,3
train,99995,22
train,107049,5
train,74921,16
train,54537,25
train,65775,19
train,35695,14
train,64731,16
train,64935,26
train,43975,17
train,40256,14
train,1728,2
train,2567,25
train,27345,20
train,82969,1
train,64134,15
train,11214,21
train,7378,15
train,8855,18
train,29772,11
train,55830,22
train,108221,21
train,33660,7
train,47761,4
train,8943,16
train,120657,5
train,82088,12
train,69383,23
train,39435,15
train,43569,17
train,18105,9
train,96039,13
train,97880,15
train,69930,2
train,86344,4
train,35933,21
train,70900,13
train,83932,14
train,12251,21
train,45614,20
train,47446,4
train,81344,17
train,124373,7
train,120349,26
train,94701,3
train,51351,10
train,34729,4
train,101519,14
train,45036,12
train,1085,21
train,72499,10
train,8726,26
train,16641,22
train,123787,18
train,67444,25
train,30849,1
train,15575,5
train,74,21
train,108065,5
train,47004,25
train,124307,4
train,120745,24
train,121475,12
train,35835,8
train,60860,25
train,14924,26
train,123269,21
train,1129,2
train,44573,18
train,47746,8
train,93668,10
train,84097,13
train,85479,26
train,10735,14
train,69000,7
train,1983,12
train,18521,12
train,102082,1
train,21393,1
train,111773,5
train,20894,4
train,3725,7
train,75660,20
train,74258,25
train,90378,10
train,37044,4
train,66759,10
train,86859,1
train,76726,5
train,56545,19
train,99718,12
train,43310,5
train,24871,24
train,47724,7
train,120361,25
train,34411,10
train,80632,13
train,20461,23
train,4830,17
train,118963,13
train,8120,5
train,48195,21
train,102763,11
train,7979,13
train,123396,20
train,20885,17
train,122977,9
train,114200,15
train,104150,25
train,101371,3
train,11162,24
train,60097,12
train,18057,3
train,7599,3
train,19255,25
train,20783,13
train,86030,20
train,66549,25
train,52139,10
train,13053,2
train,112539,5
train,2678,10
train,53004,26
train,89221,15
train,22398,1
train,10076,24
train,91445,5
train,17028,5
train,3872,6
train,103166,19
train,104364,15
train,94532,18
train,19878,6
train,20913,7
train,9123,17
train,89705,7
train,45245,6
train,45136,17
train,26787,26
train,62990,6
train,42178,7
train,45814,21
train,56208,17
train,48015,11
train,67629,24
train,80580,10
train,87624,24
train,53283,4
train,86820,14
train,50129,11
train,44877,13
train,80940,1
train,55997,9
train,73538,12
train,119837,19
train,6649,14
train,116914,1
train,52990,18
train,51426,26
train,55160,24
train,35127,26
train,14462,15
train,26171,14
train,86541,16
train,27248,16
train,102359,14
train,101565,12
train,69692,1
train,82097,9
train,120754,3
train,75402,23
train,39751,21
train,64230,19
train,5451,11
train,20657,2
train,64686,2
train,81046,5
train,20407,6
train,4301,23
train,33578,12
train,37762,22
train,1723,25
train,66295,7
train,108553,15
train,98727,10
train,84901,12
train,109486,5
train,75847,17
train,32436,24
train,94697,21
train,43469,13
train,24785,23
train,61651,7
train,110062,17
train,118512,24
train,71257,13
train,94962,3
train,2417,18
train,113900,15
train,76803,10
train,115447,7
train,94171,1
train,27636,1
train,79122,13
train,74257,11
train,105054,14
train,53335,26
train,68077,20
train,23249,25
train,89634,5
train,85812,26
train,75518,19
train,10497,21
train,87843,20
train,80369,2
train,25246,4
train,95341,10
train,27283,6
train,61191,9
train,34860,1
train,66994,8
train,34284,23
train,83787,25
train,66221,24
train,77294,19
train,6085,4
train,89047,13
train,24609,22
train,102074,22
train,23538,8
train,117876,10
train,27669,17
train,102531,13
train,86036,16
train,2489,17
train,8996,7
train,95601,5
train,77269,11
train,25173,11
train,122323,12
train,121053,10
train,26060,1
train,51740,20
train,2247,5
train,61609,23
train,16311,24
train,112033,5
train,51943,8
train,84856,9
train,69749,2
train,58349,23
train,123015,23
train,102676,12
train,97130,6
train,84517,24
train,33851,20
train,49595,10
train,57702,6
train,41171,8
train,19305,26
train,58205,17
train,15167,23
train,38975,3
train,11977,23
train,66921,20
train,47454,18
train,97509,26
train,57640,1
train,110446,21
train,84639,9
train,12819,7
train,58025,8
train,79248,21
train,119390,10
train,105290,1
train,184,9
train,108107,23
train,107102,4
train,76598,2
train,45663,15
train,121225,11
train,97627,5
train,54935,17
train,13623,17
train,48364,25
train,98941,3
train,96401,4
train,74881,20
train,124204,6
train,6266,16
train,93526,16
train,41066,17
train,51115,26
train,43056,10
train,9828,4
train,34456,18
train,90226,5
train,15237,9
train,23050,12
train,49149,15
train,78225,19
train,120551,5
train,47717,15
train,27320,2
train,20665,3
train,10971,8
train,119272,7
train,66552,25
train,58822,10
train,85645,8
train,83714,9
train,17671,8
train,76387,13
train,80102,4
train,98708,17
train,28664,8
train,10278,23
train,5575,14
train,101880,9
train,56273,20
train,78137,17
train,71320,23
train,101651,24
train,43051,5
train,8962,3
train,99682,21
train,121773,9
train,1673,13
train,13517,1
train,23179,15
train,15977,24
train,15891,3
train,73790,24
train,67865,13
train,78482,10
train,34357,20
train,76168,24
train,11774,10
train,34536,18
train,84410,20
train,58689,23
train,121101,16
train,112384,20
train,60358,8
train,28621,15
train,121614,22
train,119153,14
train,123445,6
train,69450,22
train,120927,22
train,14214,9
train,100872,20
train,65718,13
train,114163,25
train,53204,23
train,36874,24
train,17481,11
train,86173,9
train,86892,23
train,3308,9
train,106215,15
train,29831,14
train,52638,23
train,57244,2
train,54330,24
train,18093,17
train,63128,4
train,71262,26
train,124445,24
train,115370,1
train,47650,12
train,18182,20
train,58460,12
train,122668,12
train,66343,5
train,58288,23
train,102498,1
train,40970,6
train,104687,1
train,34890,14
train,76854,22
train,84255,10
train,91435,23
train,17342,14
train,122345,16
train,4751,10
train,76787,3
train,53720,21
train,83679,26
train,98596,2
train,108970,9
train,75223,12
train,51990,17
train,71291,21
train,9204,7
train,9815,9
train,81332,25
train,36060,22
train,73791,9
train,92199,18
train,58727,19
train,102046,25
train,56429,20
train,77037,7
train,82860,19
train,52921,7
train,110707,3
train,1804,3
train,36164,25
train,58420,11
train,56102,6
train,42972,10
train,102668,13
train,79342,12
train,26747,11
train,39285,12
train,48846,20
train,38346,11
train,123141,15
train,37134,21
train,40249,6
train,100508,20
train,486,1
train,39725,14
train,73500,8
train,56280,20
train,19495,1
train,49874,22
train,94719,10
train,67920,10
train,91883,5
train,103452,14
train,77756,8
train,44531,24
train,50702,14
train,74815,5
train,97280,7
train,92344,2
train,92472,11
train,122085,9
train,78620,21
train,22101,12
train,94022,12
train,114011,17
train,45679,6
train,25306,12
train,73265,5
train,44184,12
train,33886,5
train,40164,4
train,100491,9
train,52117,3
train,80986,19
train,110594,17
train,51161,15
train,41666,4
train,48711,16
train,119516,2
train,11557,17
train,8562,7
train,44144,18
train,115489,14
train,98969,9
train,82826,9
train,7167,12
train,75746,7
train,85482,20
train,64204,6
train,86662,11
train,82061,14
train,4609,19
train,89822,25
train,83842,6
train,22513,15
train,87069,14
train,79457,9
train,6339,23
train,30625,23
train,39552,10
train,45727,13
train,25789,13
train,25450,8
train,112931,8
train,82116,20
train,33749,4
train,98338,11
train,45826,20
train,95976,7
train,33279,10
train,103556,8
train,105780,21
train,109766,24
train,101984,7
train,124283,24
train,91262,12
train,69712,8
train,94417,11
train,108840,19
train,74028,20
train,71691,14
train,63289,6
train,114032,13
train,5473,20
train,3869,16
train,5704,24
train,105009,5
train,1737,11
train,17817,2
train,99740,17
train,95893,15
train,110981,9
train,23624,20
train,121572,26
train,31797,10
train,57051,7
train,59107,8
train,3825,8
train,20778,26
train,104201,15
train,80816,22
train,118257,3
train,90677,5
train,107152,17
train,81266,6
train,38395,8
train,110621,10
train,55672,12
train,80014,17
train,104334,4
train,112883,13
train,55455,16
train,15768,21
train,112030,14
train,72179,22
train,121913,21
train,114934,15
train,99716,23
train,51605,12
train,54719,19
train,108839,6
train,69394,8
train,50778,18
train,103949,4
train,120998,25
train,47,12
train,57370,7
train,73973,3
train,22606,19
train,82307,17
train,69634,15
train,11996,2
train,65422,21
train,104506,15
train,54711,5
train,99065,24
train,1004,10
train,109538,6
train,124542,2
train,29283,6
train,8999,12
train,82934,13
train,113508,23
train,54308,22
train,72831,7
train,2726,24
train,13928,14
train,62109,10
train,121091,18
train,85236,7
train,8892,9
train,98085,1
train,119725,16
train,65705,12
train,82131,19
train,104356,6
train,21187,1
train,33716,24
train,94639,26
train,84633,13
train,30291,12
train,99263,7
train,104232,6
train,86549,17
train,116105,19
train,101914,13
train,59478,19
train,46587,7
train,85238,8
train,122552,20
train,116550,19
train,122684,14
train,48500,22
train,19318,21
train,120995,5
train,23618,14
train,67235,11
train,95929,13
train,2143,24
train,96064,19
train,99728,20
train,61231,16
train,39662,25
train,53763,21
train,47012,14
train,124571,5
train,19794,11
train,5937,22
train,34510,26
train,42902,3
train,116041,1
train,103051,8
train,4198,8
train,124512,18
train,43724,26
train,93320,19
train,57722,13
train,105518,11
train,54852,22
train,96093,8
train,44830,4
train,71112,9
train,22113,15
train,64530,4
train,87598,24
train,50649,6
train,42963,18
train,95074,12
train,36726,12
train,120891,18
train,113601,20
train,59552,1
train,27568,7
train,114369,6
train,32475,9
train,102467,11
train,116123,24
train,3688,16
train,21738,13
train,20100,10
train,57442,18
train,68126,21
train,33108,21
train,86112,22
train,5486,25
train,79552,25
