Split,Image_Index,Original_Label
train,0,5
train,1,4
train,2,8
train,3,5
train,4,6
train,5,0
train,6,4
train,7,1
train,8,4
train,9,5
train,10,7
train,11,1
train,12,7
train,13,8
train,14,9
train,15,3
train,16,3
train,17,4
train,18,9
train,19,9
train,20,7
train,21,8
train,22,7
train,23,4
train,24,6
train,25,4
train,26,5
train,27,6
train,28,4
train,29,5
train,30,7
train,31,4
train,32,6
train,33,5
train,34,7
train,35,9
train,36,7
train,37,4
train,38,0
train,39,9
train,40,0
train,41,4
train,42,2
train,43,6
train,44,2
train,45,7
train,46,6
train,47,6
train,48,8
train,49,8
train,50,4
train,51,3
train,52,5
train,53,8
train,54,6
train,55,0
train,56,2
train,57,4
train,58,9
train,59,8
train,60,1
train,61,9
train,62,6
train,63,6
train,64,7
train,65,0
train,66,3
train,67,2
train,68,8
train,69,0
train,70,9
train,71,5
train,72,8
train,73,6
train,74,8
train,75,1
train,76,6
train,77,5
train,78,3
train,79,8
train,80,4
train,81,4
train,82,1
train,83,4
train,84,0
train,85,1
train,86,8
train,87,1
train,88,9
train,89,6
train,90,0
train,91,8
train,92,2
train,93,9
train,94,5
train,95,4
train,96,2
train,97,2
train,98,6
train,99,4
train,100,1
train,101,8
train,102,4
train,103,9
train,104,9
train,105,0
train,106,0
train,107,7
train,108,2
train,109,1
train,110,5
train,111,3
train,112,3
train,113,3
train,114,7
train,115,7
train,116,3
train,117,7
train,118,2
train,119,9
train,120,4
train,121,5
train,122,3
train,123,4
train,124,5
train,125,0
train,126,9
train,127,4
train,128,2
train,129,1
train,130,0
train,131,4
train,132,1
train,133,0
train,134,6
train,135,6
train,136,9
train,137,8
train,138,2
train,139,7
train,140,7
train,141,3
train,142,6
train,143,9
train,144,7
train,145,8
train,146,2
train,147,2
train,148,6
train,149,4
train,150,6
train,151,2
train,152,0
train,153,1
train,154,6
train,155,0
train,156,4
train,157,4
train,158,9
train,159,9
train,160,3
train,161,5
train,162,0
train,163,3
train,164,9
train,165,3
train,166,6
train,167,7
train,168,3
train,169,6
train,170,1
train,171,5
train,172,5
train,173,1
train,174,2
train,175,5
train,176,7
train,177,2
train,178,1
train,179,3
train,180,8
train,181,1
train,182,6
train,183,3
train,184,7
train,185,8
train,186,4
train,187,3
train,188,8
train,189,3
train,190,3
train,191,5
train,192,6
train,193,6
train,194,9
train,195,2
train,196,6
train,197,9
train,198,8
train,199,4
train,200,3
train,201,2
train,202,9
train,203,2
train,204,2
train,205,0
train,206,4
train,207,5
train,208,6
train,209,3
train,210,7
train,211,6
train,212,0
train,213,5
train,214,3
train,215,0
train,216,6
train,217,0
train,218,2
train,219,8
train,220,2
train,221,0
train,222,2
train,223,3
train,224,4
train,225,1
train,226,3
train,227,3
train,228,2
train,229,0
train,230,9
train,231,5
train,232,8
train,233,7
train,234,4
train,235,7
train,236,5
train,237,9
train,238,3
train,239,7
train,240,3
train,241,7
train,242,3
train,243,7
train,244,3
train,245,9
train,246,1
train,247,9
train,248,1
train,249,3
train,250,3
train,251,8
train,252,3
train,253,8
train,254,8
train,255,4
train,256,3
train,257,8
train,258,5
train,259,6
train,260,4
train,261,1
train,262,0
train,263,1
train,264,1
train,265,8
train,266,8
train,267,9
train,268,3
train,269,3
train,270,9
train,271,5
train,272,4
train,273,3
train,274,1
train,275,9
train,276,7
train,277,7
train,278,6
train,279,5
train,280,2
train,281,2
train,282,8
train,283,9
train,284,8
train,285,4
train,286,1
train,287,4
train,288,8
train,289,6
train,290,2
train,291,6
train,292,1
train,293,4
train,294,9
train,295,6
train,296,9
train,297,9
train,298,8
train,299,7
train,300,9
train,301,8
train,302,5
train,303,5
train,304,7
train,305,2
train,306,8
train,307,2
train,308,7
train,309,9
train,310,6
train,311,0
train,312,9
train,313,4
train,314,7
train,315,8
train,316,8
train,317,2
train,318,4
train,319,6
train,320,2
train,321,2
train,322,5
train,323,9
train,324,0
train,325,1
train,326,6
train,327,7
train,328,6
train,329,5
train,330,9
train,331,3
train,332,9
train,333,6
train,334,8
train,335,5
train,336,9
train,337,6
train,338,5
train,339,8
train,340,2
train,341,6
train,342,1
train,343,6
train,344,2
train,345,5
train,346,7
train,347,8
train,348,2
train,349,2
train,350,3
train,351,7
train,352,5
train,353,4
train,354,6
train,355,5
train,356,9
train,357,2
train,358,9
train,359,7
train,360,9
train,361,2
train,362,9
train,363,4
train,364,1
train,365,6
train,366,0
train,367,0
train,368,2
train,369,3
train,370,1
train,371,9
train,372,2
train,373,2
train,374,7
train,375,3
train,376,0
train,377,4
train,378,7
train,379,2
train,380,6
train,381,7
train,382,2
train,383,7
train,384,8
train,385,0
train,386,0
train,387,7
train,388,0
train,389,2
train,390,8
train,391,0
train,392,6
train,393,5
train,394,9
train,395,2
train,396,0
train,397,2
train,398,6
train,399,3
train,400,5
train,401,4
train,402,3
train,403,8
train,404,6
train,405,3
train,406,1
train,407,4
train,408,4
train,409,3
train,410,3
train,411,3
train,412,7
