Split,Image_Index,Original_Label
train,23235,5
train,12915,4
train,26661,8
train,24250,5
train,15211,6
train,3776,0
train,58684,4
train,26887,1
train,42411,4
train,43855,5
train,44150,7
train,36042,1
train,6167,7
train,49824,8
train,33757,9
train,26013,3
train,2468,3
train,3350,4
train,19629,9
train,38947,9
train,44434,7
train,44880,8
train,38257,7
train,12922,4
train,2898,6
train,48389,4
train,36804,5
train,11466,6
train,38072,4
train,31008,5
train,58099,7
train,17592,4
train,42247,6
train,57743,5
train,7340,7
train,28677,9
train,28450,7
train,57915,4
train,29772,0
train,49730,9
train,49014,0
train,37272,4
train,42439,2
train,48033,6
train,53644,2
train,34231,7
train,48219,6
train,2504,6
train,30347,8
train,45813,8
train,16706,4
train,24042,3
train,52914,5
train,31124,8
train,4150,6
train,10195,0
train,44653,2
train,17898,4
train,12442,9
train,34567,8
train,21247,1
train,55265,9
train,37476,6
train,52678,6
train,59842,7
train,34086,0
train,22728,3
train,262,2
train,21375,8
train,41667,0
train,10438,9
train,14428,5
train,48711,8
train,3445,6
train,14017,8
train,31198,1
train,31619,6
train,1288,5
train,55947,3
train,36114,8
train,56946,4
train,45752,4
train,14359,1
train,50161,4
train,11501,0
train,9277,1
train,57501,8
train,58672,1
train,39139,9
train,13224,6
train,54475,0
train,43329,8
train,12864,2
train,41903,9
train,29539,5
train,11044,4
train,11718,2
train,4733,2
train,7700,6
train,11690,4
train,47672,1
train,37885,8
train,58661,4
train,47456,9
train,36521,9
train,44583,0
train,43265,0
train,50884,7
train,25991,2
train,33175,1
train,38189,5
train,49329,3
train,19335,3
train,27541,3
train,47898,7
train,53944,7
train,37889,3
train,36613,7
train,29188,2
train,44340,9
train,14774,4
train,41938,5
train,5148,3
train,2072,4
train,31929,5
train,19801,0
train,20763,9
train,33473,4
train,40815,2
train,51249,1
train,31015,0
train,38301,4
train,28166,1
train,38939,0
train,51745,6
train,50104,6
train,28313,9
train,7844,8
train,12053,2
train,49327,7
train,20404,7
train,12446,3
train,57029,6
train,48072,9
train,10251,7
train,14305,8
train,59290,2
train,53105,2
train,22889,6
train,26808,4
train,54496,6
train,21615,2
train,35505,0
train,44109,1
train,53677,6
train,58035,0
train,39255,4
train,10642,4
train,19560,9
train,14922,9
train,43773,3
train,14376,5
train,12095,0
train,16783,3
train,52462,9
train,6033,3
train,45506,6
train,20406,7
train,34587,3
train,6673,6
train,17885,1
train,50296,5
train,26134,5
train,47272,1
train,51660,2
train,10386,5
train,19771,7
train,59122,2
train,5477,1
train,48998,3
train,48223,8
train,44511,1
train,9201,6
train,27316,3
train,47931,7
train,31611,8
train,19121,4
train,28803,3
train,20372,8
train,17435,3
train,13221,3
train,18701,5
train,49633,6
train,52183,6
train,56271,9
train,33160,2
train,41711,6
train,46714,9
train,38589,8
train,1885,4
train,50253,3
train,43371,2
train,42152,9
train,53264,2
train,39145,2
train,32388,0
train,21648,4
train,27539,5
train,37236,6
train,15181,3
train,51236,7
train,32803,6
train,42008,0
train,46608,5
train,27651,3
train,13233,0
train,45713,6
train,35934,0
train,22994,2
train,40410,8
train,14510,2
train,23557,0
train,32854,2
train,45848,3
train,655,4
train,33354,1
train,13218,3
train,49410,3
train,18783,2
train,9971,0
train,29349,9
train,40350,5
train,46508,8
train,10392,7
train,3608,4
train,57672,7
train,48561,5
train,34063,9
train,14030,3
train,26063,7
train,17000,3
train,36140,7
train,56492,3
train,24878,7
train,1981,3
train,7023,9
train,13001,1
train,21344,9
train,6052,1
train,17189,3
train,32804,3
train,38791,8
train,44035,3
train,46110,8
train,40737,8
train,29207,4
train,54062,3
train,57434,8
train,7249,5
train,55861,6
train,32458,4
train,48085,1
train,10237,0
