,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,5,-0.5749726733535185,-0.43165012754033055,-0.35909242322980395,-0.35909242322980395
full_colless_index,5,-0.3483114293522015,-0.17848526156720607,0.09999999999999999,0.09999999999999999
full_sackin_index,5,-0.5629632360978611,-0.5598537497058399,-0.49999999999999994,-0.49999999999999994
full_average_sackin_index,5,-0.724096454012383,-0.7012100448130911,-0.7,-0.7
full_total_volume,5,,,,
full_missing_colless_frac,5,-0.6493427566172377,-0.428469221890426,-0.3,-0.3
bert_ner_conll_average_branching_factor,5,-0.5749726733535185,-0.43165012754033055,-0.35909242322980395,-0.35909242322980395
bert_ner_conll_colless_index,5,-0.3483114293522015,-0.17848526156720607,0.09999999999999999,0.09999999999999999
bert_ner_conll_sackin_index,5,-0.5629632360978611,-0.5598537497058399,-0.49999999999999994,-0.49999999999999994
bert_ner_conll_average_sackin_index,5,-0.724096454012383,-0.7012100448130911,-0.7,-0.7
bert_ner_conll_total_volume,5,,,,
bert_ner_conll_missing_colless_frac,5,-0.6493427566172377,-0.428469221890426,-0.3,-0.3
bert_average_branching_factor,5,-0.5749726733535185,-0.43165012754033055,-0.35909242322980395,-0.35909242322980395
bert_colless_index,5,-0.3483114293522015,-0.17848526156720607,0.09999999999999999,0.09999999999999999
bert_sackin_index,5,-0.5629632360978611,-0.5598537497058399,-0.49999999999999994,-0.49999999999999994
bert_average_sackin_index,5,-0.724096454012383,-0.7012100448130911,-0.7,-0.7
bert_total_volume,5,,,,
bert_missing_colless_frac,5,-0.6493427566172377,-0.428469221890426,-0.3,-0.3
bert_ner_conll_bert_average_branching_factor,5,-0.5749726733535185,-0.43165012754033055,-0.35909242322980395,-0.35909242322980395
bert_ner_conll_bert_colless_index,5,-0.3483114293522015,-0.17848526156720607,0.09999999999999999,0.09999999999999999
bert_ner_conll_bert_sackin_index,5,-0.5629632360978611,-0.5598537497058399,-0.49999999999999994,-0.49999999999999994
bert_ner_conll_bert_average_sackin_index,5,-0.724096454012383,-0.7012100448130911,-0.7,-0.7
bert_ner_conll_bert_total_volume,5,,,,
bert_ner_conll_bert_missing_colless_frac,5,-0.6493427566172377,-0.428469221890426,-0.3,-0.3
