,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,22,-0.9158341453466411,-0.9103439704179288,-0.7549407114624508,-0.7865612648221344
full_colless_index,22,-0.9625822180649093,-0.9585492552165021,-0.9649915302089217,-0.9435347261434219
full_sackin_index,22,-0.9905349927846,-0.996017064149756,-0.9322416713721063,-0.9254658385093169
full_average_sackin_index,22,-0.3159758569452681,-0.329221779154265,-0.7097684923771881,-0.7108977978543197
full_total_volume,22,,,,
full_missing_colless_frac,22,-0.8967558016051215,-0.8808436999473046,-0.7267080745341615,-0.753811405985319
imagenet_average_branching_factor,22,-0.9158341453466411,-0.9103439704179288,-0.7549407114624508,-0.7865612648221344
imagenet_colless_index,22,-0.9625822180649093,-0.9585492552165021,-0.9649915302089217,-0.9435347261434219
imagenet_sackin_index,22,-0.9905349927846,-0.996017064149756,-0.9322416713721063,-0.9254658385093169
imagenet_average_sackin_index,22,-0.3159758569452681,-0.329221779154265,-0.7097684923771881,-0.7108977978543197
imagenet_total_volume,22,,,,
imagenet_missing_colless_frac,22,-0.8967558016051215,-0.8808436999473046,-0.7267080745341615,-0.753811405985319
resnet50_average_branching_factor,22,-0.9158341453466411,-0.9103439704179288,-0.7549407114624508,-0.7865612648221344
resnet50_colless_index,22,-0.9625822180649093,-0.9585492552165021,-0.9649915302089217,-0.9435347261434219
resnet50_sackin_index,22,-0.9905349927846,-0.996017064149756,-0.9322416713721063,-0.9254658385093169
resnet50_average_sackin_index,22,-0.3159758569452681,-0.329221779154265,-0.7097684923771881,-0.7108977978543197
resnet50_total_volume,22,,,,
resnet50_missing_colless_frac,22,-0.8967558016051215,-0.8808436999473046,-0.7267080745341615,-0.753811405985319
imagenet_resnet50_average_branching_factor,22,-0.9158341453466411,-0.9103439704179288,-0.7549407114624508,-0.7865612648221344
imagenet_resnet50_colless_index,22,-0.9625822180649093,-0.9585492552165021,-0.9649915302089217,-0.9435347261434219
imagenet_resnet50_sackin_index,22,-0.9905349927846,-0.996017064149756,-0.9322416713721063,-0.9254658385093169
imagenet_resnet50_average_sackin_index,22,-0.3159758569452681,-0.329221779154265,-0.7097684923771881,-0.7108977978543197
imagenet_resnet50_total_volume,22,,,,
imagenet_resnet50_missing_colless_frac,22,-0.8967558016051215,-0.8808436999473046,-0.7267080745341615,-0.753811405985319
