dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.0,0.0,2294,2.09981684981685,5323973.0,5356.109657947686,994,98,0.08974358974358974,52616904.0,43774.46256239601,1202,50000,0.09992,0.0998
cifar,train,densenet,20,125,a1,0.0,0.0,710,2.055072463768116,211828.0,653.7901234567901,324,21,0.06086956521739131,2991251.0,8195.208219178083,365,50000,0.99836,0.8659
cifar,train,densenet,20,150,a1,0.0,0.0,868,2.0692124105011933,265464.0,680.6769230769231,390,29,0.06921241050119331,2190354.0,4878.293986636971,449,50000,0.9999,0.8752
cifar,train,densenet,20,176,a1,0.0,0.0,306,2.046979865771812,120061.0,851.4964539007092,141,8,0.053691275167785234,3013258.0,19192.726114649682,157,50000,0.9702,0.8464
cifar,train,densenet,20,200,a1,0.0,0.0,396,2.0466321243523318,174769.0,960.2692307692307,182,11,0.05699481865284974,2684267.0,13222.990147783252,203,50000,0.97902,0.8529
cifar,train,densenet,20,45,a1,0.0,0.0,321,2.0125786163522013,496340.0,3202.1935483870966,155,4,0.025157232704402517,5195403.0,32070.38888888889,162,50000,0.9211,0.8124
cifar,train,densenet,20,70,a1,0.0,0.0,470,2.0480349344978164,135211.0,625.9768518518518,216,13,0.056768558951965066,5166558.0,21438.0,241,50000,0.99714,0.8502
cifar,train,densenet,20,96,a1,0.0,0.0,344,2.029585798816568,153989.0,944.717791411043,163,6,0.03550295857988166,4065816.0,23233.234285714287,175,50000,0.97416,0.846
cifar,trainUval,densenet,20,120,a1,0.0,0.0,686,2.044776119402985,232345.0,730.6446540880503,318,17,0.050746268656716415,5335607.0,15201.159544159544,351,60000,0.99624,0.8634
cifar,trainUval,densenet,20,146,a1,0.0,0.0,929,2.0530973451327434,216732.0,506.38317757009344,428,24,0.05309734513274336,3852727.0,8076.9958071278825,477,60000,0.99988,0.8741
