,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,4744,0.25651393513509874,0.4186723189591268,0.6639124710091919,0.66836326319638
full_colless_index,4744,-0.675604944684885,-0.5920651003708778,-0.11189322933962678,-0.11563817169200566
full_sackin_index,4744,-0.40368705208766137,-0.3551362605050886,-0.02786726020421968,-0.07223755898301425
full_total_volume,4744,0.033059588987342646,0.0790911777289898,0.1755566974490259,0.23978930735303597
full_missing_colless_frac,4744,0.3028148899317738,0.49138137535833554,0.6286517298902137,0.6998002081572785
cifar_average_branching_factor,2400,0.07480430260478144,-0.053909902231133046,0.3718260136729854,0.09435979958551181
cifar_colless_index,2400,-0.7064704129101933,-0.7155523188143941,-0.33803176934661566,-0.3833662416096585
cifar_sackin_index,2400,-0.4461277770260916,-0.5334455111677446,-0.18037242614985338,-0.4155571797440071
cifar_total_volume,2400,-0.0014976777871092007,-0.002383712919974579,0.0,0.0
cifar_missing_colless_frac,2400,0.1832268703279055,0.17534522167701472,0.3777104984015418,0.3603141191212617
mnist_average_branching_factor,2344,0.18072369122741413,0.16860420203885754,0.46332387953281584,0.5908860265659096
mnist_colless_index,2344,-0.7301742217723529,-0.736756589909539,0.18114640150856143,0.20610007279150597
mnist_sackin_index,2344,-0.39622064656065387,-0.3955222352743372,0.2041171713429891,0.29605068899739584
mnist_total_volume,2344,-0.003041887250309038,-0.0035979321176799733,0.0,0.0
mnist_missing_colless_frac,2344,0.19965820928339229,0.1920675030836808,0.41961079841142757,0.5527711375455644
densenet_average_branching_factor,1206,0.20591432719803426,0.4574192803348896,0.5431071378959776,0.6833001142507902
densenet_colless_index,1206,-0.6436088962265194,-0.5236687510833293,-0.1029059400108017,-0.08154471916527373
densenet_sackin_index,1206,-0.5850977664549007,-0.5329879715148823,-0.3520947719090477,-0.42358964322864845
densenet_total_volume,1206,0.03288038083863048,0.09390789551369452,0.14126041486694269,0.25217479919195923
densenet_missing_colless_frac,1206,0.24715627651480918,0.5103211962605135,0.5439120272943249,0.7180543545932478
resnet_average_branching_factor,1206,0.22954182435433082,0.40710299922348175,0.6230646354716745,0.6273709483187434
resnet_colless_index,1206,-0.6391330298875745,-0.5155959771278203,-0.1134734354519577,-0.11011485313064828
resnet_sackin_index,1206,-0.5509693333590193,-0.4717234921815173,-0.33516012770815956,-0.333756724971892
resnet_total_volume,1206,0.050666940102595044,0.10479836890630745,0.21728927818719584,0.2585285176250941
resnet_missing_colless_frac,1206,0.24182392127391986,0.40800148105802725,0.611955087141407,0.6168562881763826
vgg_average_branching_factor,1194,0.20894140180035836,0.3599595517841992,0.7189745914050496,0.7939744578660516
vgg_colless_index,1194,-0.7008036501252333,-0.6641076463721635,0.0847509347003513,0.08694492207595121
vgg_sackin_index,1194,-0.33912629191721855,-0.2521854052780305,0.39502515084285067,0.42148001182462147
vgg_total_volume,1194,0.00574213632638636,0.04719409822544627,0.09595271951044845,0.2317147003928355
vgg_missing_colless_frac,1194,0.23882373703941256,0.3806878621603013,0.5218641066866493,0.6531004576611416
wres_average_branching_factor,1138,0.4536455805864225,0.6664753400099686,0.8398418325142001,0.8065774488837175
wres_colless_index,1138,-0.6927638275771655,-0.6159199915218099,-0.3413445238088615,-0.3232209554990603
wres_sackin_index,1138,-0.259572904328176,-0.20945103142086613,0.022932861881012342,-0.014393426025992712
wres_total_volume,1138,0.041849672972021766,0.07550369025317501,0.21965882741799087,0.21578216546570297
wres_missing_colless_frac,1138,0.4685765487370834,0.6765128137032466,0.8353833281537694,0.801510435116618
cifar_densenet_average_branching_factor,603,0.08997628960237208,0.04742368414199744,0.38324004475281154,0.3922885792552583
cifar_densenet_colless_index,603,-0.7303428436920654,-0.7383619585985363,-0.2883876382361394,-0.2954884279602904
cifar_densenet_sackin_index,603,-0.5473778422431557,-0.6023975557635632,-0.24706367455528394,-0.296819146651298
cifar_densenet_total_volume,603,-2.1657944158240764e-17,3.784812050673227e-17,0.0,0.0
cifar_densenet_missing_colless_frac,603,0.10569055602118949,0.0689881171858756,0.31391773276562035,0.3277201154197643
cifar_resnet_average_branching_factor,603,0.07686557574505308,-0.011075534845797933,0.4233547212025404,0.4070119746158033
cifar_resnet_colless_index,603,-0.659463366357397,-0.6959365779504862,-0.34665352166240465,-0.3267275373577464
cifar_resnet_sackin_index,603,-0.5074215574539288,-0.58375197835096,-0.2759352714403834,-0.262373191939849
cifar_resnet_total_volume,603,-1.1740972154049915e-17,8.368030442709054e-17,0.0,0.0
cifar_resnet_missing_colless_frac,603,0.10496759952913105,0.025197463503840282,0.40003380816239903,0.38001422447215066
cifar_vgg_average_branching_factor,591,0.07861706131528502,0.034674054350256105,0.5271274558991541,0.5296515659542151
cifar_vgg_colless_index,591,-0.7192474923863095,-0.7446000846831573,-0.07106328427239303,-0.08102857007864743
cifar_vgg_sackin_index,591,-0.5249658085142349,-0.5790838243936836,0.27853924039535144,0.27407780135963383
cifar_vgg_total_volume,591,-0.004550722491654291,-0.0048282856650087545,0.0,0.0
cifar_vgg_missing_colless_frac,591,-0.015713414283320255,-0.011278804358608464,-0.062363320967331826,-0.047031439170753635
cifar_wres_average_branching_factor,603,0.28701412413647487,0.22542032526872613,0.5833893508039832,0.5581905987057963
cifar_wres_colless_index,603,-0.6796939087478442,-0.6896864559214123,-0.4811046547226481,-0.4813405594515288
cifar_wres_sackin_index,603,-0.2791870436955304,-0.3456421940479164,0.07880631604149148,0.055717046200869036
cifar_wres_total_volume,603,1.0100215557620456e-17,5.139262668911539e-17,0.0,0.0
cifar_wres_missing_colless_frac,603,0.31509826482991893,0.2683884832150621,0.5866527749889442,0.5653680069002356
mnist_densenet_average_branching_factor,603,0.06047280331406163,0.02991977044011751,0.34476189346370406,0.35727583968187265
mnist_densenet_colless_index,603,-0.7421983725042219,-0.7563749838114109,0.02512502034373185,0.014632254582455533
mnist_densenet_sackin_index,603,-0.622629353481148,-0.623379849114506,-0.18845551040638311,-0.18106588720820932
mnist_densenet_total_volume,603,-2.3099405291601935e-18,-2.1075593073560146e-17,0.0,0.0
mnist_densenet_missing_colless_frac,603,0.14070441000972944,0.10689368635303681,0.4131963187908134,0.4226838229875223
mnist_resnet_average_branching_factor,603,-0.008739790387192987,-0.021336752285589594,0.42870494582926627,0.38752181408888403
mnist_resnet_colless_index,603,-0.7833495791625379,-0.7921652091817003,0.2181390809463495,0.19873743390237125
mnist_resnet_sackin_index,603,-0.6590294059669085,-0.6599656362739984,-0.0689393166513233,-0.09814521091437317
mnist_resnet_total_volume,603,-3.517533540673906e-17,7.459256231546608e-18,0.0,0.0
mnist_resnet_missing_colless_frac,603,0.004325246650676697,-0.009071307929898369,0.41261249397754984,0.3616722218698053
mnist_vgg_average_branching_factor,603,0.3083238634407509,0.27643175820981103,0.8170799806842404,0.7913822602423268
mnist_vgg_colless_index,603,-0.7175309457836466,-0.7256439057381313,0.19105150684571853,0.17362702428495225
mnist_vgg_sackin_index,603,-0.2525584437665516,-0.27276529048246645,0.44709273825656237,0.4149143638237421
mnist_vgg_total_volume,603,1.0480555595904303e-17,-1.0731116077258134e-17,0.0,0.0
mnist_vgg_missing_colless_frac,603,0.3680683551042619,0.33983896799175234,0.7894572646167977,0.7671748279293227
mnist_wres_average_branching_factor,535,0.09300204907739684,0.09420117588723054,0.40611943988669164,0.23418964301456283
mnist_wres_colless_index,535,-0.7872895494805968,-0.7874986578012846,0.10799685012917966,0.1477630756852252
mnist_wres_sackin_index,535,-0.4745187219110775,-0.47643249579682756,-0.02323126337731325,-0.18479628455404717
mnist_wres_total_volume,535,-0.005811885987210047,-0.006783261552243008,0.0,0.0
mnist_wres_missing_colless_frac,535,0.11540996363093739,0.11662274225167707,0.41285177913344495,0.24048187668411808
