dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,densenet,20,0,a1,1e-06,1e-06,2294,2.09981684981685,5323973.0,5356.109657947686,994,98,0.08974358974358974,52616904.0,43774.46256239601,1202,50000,0.09992,0.0998
cifar,train,densenet,20,125,a1,1e-06,1e-06,629,2.052287581699346,206006.0,715.2986111111111,288,18,0.058823529411764705,2628066.0,8136.427244582043,323,50000,0.99836,0.8659
cifar,train,densenet,20,150,a1,1e-06,1e-06,768,2.050802139037433,259620.0,733.3898305084746,354,20,0.053475935828877004,1920430.0,4874.187817258883,394,50000,0.9999,0.8752
cifar,train,densenet,20,176,a1,1e-06,1e-06,285,2.0285714285714285,119720.0,893.4328358208955,134,6,0.04285714285714286,2773274.0,19126.027586206896,145,50000,0.9702,0.8464
cifar,train,densenet,20,200,a1,1e-06,1e-06,360,2.0282485875706215,173643.0,1021.4294117647058,170,7,0.03954802259887006,2416259.0,13203.601092896175,183,50000,0.97902,0.8529
cifar,train,densenet,20,45,a1,1e-06,1e-06,263,2.0,495579.0,3841.6976744186045,129,2,0.015267175572519083,4176928.0,31643.39393939394,132,50000,0.9211,0.8124
cifar,train,densenet,20,70,a1,1e-06,1e-06,205,2.01980198019802,127056.0,1309.8556701030927,97,4,0.039603960396039604,2191069.0,21067.971153846152,104,50000,0.99714,0.8502
cifar,train,densenet,20,96,a1,1e-06,1e-06,276,2.0072992700729926,152127.0,1135.2761194029852,134,3,0.021897810218978103,3184739.0,22911.791366906476,139,50000,0.97416,0.846
cifar,trainUval,densenet,20,120,a1,1e-06,1e-06,571,2.0357142857142856,226038.0,843.4253731343283,268,12,0.04285714285714286,4423598.0,15201.367697594502,291,60000,0.99624,0.8634
cifar,trainUval,densenet,20,146,a1,1e-06,1e-06,832,2.0467980295566504,210392.0,545.0569948186528,386,20,0.04926108374384237,3435866.0,8065.4131455399065,426,60000,0.99988,0.8741
