,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,0,,,,
full_colless_index,0,,,,
full_sackin_index,0,,,,
full_total_volume,0,,,,
full_missing_colless_frac,0,,,,
cifar_average_branching_factor,0,,,,
cifar_colless_index,0,,,,
cifar_sackin_index,0,,,,
cifar_total_volume,0,,,,
cifar_missing_colless_frac,0,,,,
mnist_average_branching_factor,0,,,,
mnist_colless_index,0,,,,
mnist_sackin_index,0,,,,
mnist_total_volume,0,,,,
mnist_missing_colless_frac,0,,,,
densenet_average_branching_factor,0,,,,
densenet_colless_index,0,,,,
densenet_sackin_index,0,,,,
densenet_total_volume,0,,,,
densenet_missing_colless_frac,0,,,,
resnet_average_branching_factor,0,,,,
resnet_colless_index,0,,,,
resnet_sackin_index,0,,,,
resnet_total_volume,0,,,,
resnet_missing_colless_frac,0,,,,
vgg_average_branching_factor,0,,,,
vgg_colless_index,0,,,,
vgg_sackin_index,0,,,,
vgg_total_volume,0,,,,
vgg_missing_colless_frac,0,,,,
wres_average_branching_factor,0,,,,
wres_colless_index,0,,,,
wres_sackin_index,0,,,,
wres_total_volume,0,,,,
wres_missing_colless_frac,0,,,,
cifar_densenet_average_branching_factor,0,,,,
cifar_densenet_colless_index,0,,,,
cifar_densenet_sackin_index,0,,,,
cifar_densenet_total_volume,0,,,,
cifar_densenet_missing_colless_frac,0,,,,
cifar_resnet_average_branching_factor,0,,,,
cifar_resnet_colless_index,0,,,,
cifar_resnet_sackin_index,0,,,,
cifar_resnet_total_volume,0,,,,
cifar_resnet_missing_colless_frac,0,,,,
cifar_vgg_average_branching_factor,0,,,,
cifar_vgg_colless_index,0,,,,
cifar_vgg_sackin_index,0,,,,
cifar_vgg_total_volume,0,,,,
cifar_vgg_missing_colless_frac,0,,,,
cifar_wres_average_branching_factor,0,,,,
cifar_wres_colless_index,0,,,,
cifar_wres_sackin_index,0,,,,
cifar_wres_total_volume,0,,,,
cifar_wres_missing_colless_frac,0,,,,
mnist_densenet_average_branching_factor,0,,,,
mnist_densenet_colless_index,0,,,,
mnist_densenet_sackin_index,0,,,,
mnist_densenet_total_volume,0,,,,
mnist_densenet_missing_colless_frac,0,,,,
mnist_resnet_average_branching_factor,0,,,,
mnist_resnet_colless_index,0,,,,
mnist_resnet_sackin_index,0,,,,
mnist_resnet_total_volume,0,,,,
mnist_resnet_missing_colless_frac,0,,,,
mnist_vgg_average_branching_factor,0,,,,
mnist_vgg_colless_index,0,,,,
mnist_vgg_sackin_index,0,,,,
mnist_vgg_total_volume,0,,,,
mnist_vgg_missing_colless_frac,0,,,,
mnist_wres_average_branching_factor,0,,,,
mnist_wres_colless_index,0,,,,
mnist_wres_sackin_index,0,,,,
mnist_wres_total_volume,0,,,,
mnist_wres_missing_colless_frac,0,,,,
