dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,trainUval,densenet,15,0,a1,1e-06,1e-06,3662,2.118634259259259,11695282.0,7555.0917312661495,1548,180,0.10416666666666667,98090310.0,50718.87797311272,1934,60000,0.09992,0.0998
cifar,trainUval,densenet,15,41,a1,1e-06,1e-06,476,2.0562770562770565,1589541.0,7325.0737327188945,217,14,0.06060606060606061,8754724.0,35733.56734693878,245,60000,0.91236,0.8112
cifar,trainUval,densenet,15,70,a1,1e-06,1e-06,399,2.0306122448979593,188890.0,999.4179894179895,189,7,0.03571428571428571,4807573.0,23682.625615763547,203,60000,0.99714,0.8502
cifar,trainUval,densenet,15,74,a1,1e-06,1e-06,441,2.046511627906977,664657.0,3258.122549019608,204,11,0.05116279069767442,7343758.0,32494.504424778763,226,60000,0.9365,0.8252
cifar,trainUval,densenet,15,115,a1,1e-06,1e-06,660,2.046583850931677,245861.0,806.1016393442623,305,17,0.052795031055900624,5880356.0,17397.50295857988,338,60000,0.99214,0.858
cifar,trainUval,densenet,15,124,a1,1e-06,1e-06,914,2.028888888888889,277423.0,637.7540229885058,435,15,0.03333333333333333,5297768.0,11417.603448275862,464,60000,0.99802,0.8665
cifar,trainUval,densenet,15,168,a1,1e-06,1e-06,442,2.0045454545454544,218717.0,1007.9124423963134,217,3,0.013636363636363636,5422047.0,24423.635135135137,222,60000,0.95934,0.8445
cifar,trainUval,densenet,15,193,a1,1e-06,1e-06,593,2.0413793103448277,207767.0,750.0613718411553,277,13,0.04482758620689655,6086863.0,20088.65676567657,303,60000,0.96282,0.8354
cifar,trainUval,resnet,15,37,a1,1e-06,1e-06,471,2.034632034632035,1350726.0,6084.351351351352,222,9,0.03896103896103896,8656316.0,36067.98333333333,240,60000,0.86702,0.7961
cifar,trainUval,resnet,15,50,a1,1e-06,1e-06,392,2.015463917525773,1569178.0,8302.5291005291,189,5,0.02577319587628866,6693269.0,33804.38888888889,198,60000,0.9299,0.8221
cifar,trainUval,resnet,15,82,a1,1e-06,1e-06,449,2.036363636363636,1168638.0,5538.568720379147,211,9,0.04090909090909091,7055916.0,30811.860262008733,229,60000,0.92996,0.8222
cifar,trainUval,resnet,15,102,a1,1e-06,1e-06,324,2.0062111801242235,283099.0,1791.76582278481,158,3,0.018633540372670808,4079648.0,25028.515337423312,163,60000,0.96218,0.8388
cifar,trainUval,resnet,15,135,a1,1e-06,1e-06,395,2.0309278350515463,188770.0,1014.8924731182796,186,8,0.041237113402061855,2218121.0,11035.427860696518,201,60000,0.99892,0.8626
