,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,402,-0.13009435517691378,-0.1503957320855743,0.15369454977170577,0.18547289552461058
full_colless_index,402,-0.8751985884081905,-0.9231661728201257,-0.5640565505962141,-0.5643087726257456
full_average_colless_index,402,-0.5744900582239312,-0.5198398624741487,-0.6416812435447964,-0.6777272652824057
full_sackin_index,402,-0.7738296129357106,-0.8526067152728178,-0.7022494343420073,-0.6620406050391279
full_average_sackin_index,402,-0.6797512240569493,-0.613066217441514,-0.8821062813426039,-0.8981527109325721
full_leaf_count,402,-0.45769303181696636,-0.5321892814741901,-0.002515483009996757,0.06596069042585631
cifar_average_branching_factor,402,-0.13009435517691378,-0.1503957320855743,0.15369454977170577,0.18547289552461058
cifar_colless_index,402,-0.8751985884081905,-0.9231661728201257,-0.5640565505962141,-0.5643087726257456
cifar_average_colless_index,402,-0.5744900582239312,-0.5198398624741487,-0.6416812435447964,-0.6777272652824057
cifar_sackin_index,402,-0.7738296129357106,-0.8526067152728178,-0.7022494343420073,-0.6620406050391279
cifar_average_sackin_index,402,-0.6797512240569493,-0.613066217441514,-0.8821062813426039,-0.8981527109325721
cifar_leaf_count,402,-0.45769303181696636,-0.5321892814741901,-0.002515483009996757,0.06596069042585631
densenet_average_branching_factor,201,-0.09251042440528888,-0.10145586795304214,0.24890301327850425,0.290098441821929
densenet_colless_index,201,-0.9318164026522883,-0.9576348922070625,-0.5015969141326724,-0.5187245314844771
densenet_average_colless_index,201,-0.753035549702679,-0.6774909889131108,-0.8112441965400654,-0.8570222073329022
densenet_sackin_index,201,-0.8095070692212084,-0.8784944604629313,-0.6735183426362421,-0.6697340372884816
densenet_average_sackin_index,201,-0.6627644925354635,-0.6234428918623921,-0.8875495376051133,-0.9366329611144335
densenet_leaf_count,201,-0.33652276284895727,-0.3931520832932928,0.3587743575612326,0.4333019784829077
resnet_average_branching_factor,201,-0.21144562813218898,-0.2410509806958574,0.006368631600026029,0.022382480485125183
resnet_colless_index,201,-0.8191979606637663,-0.8885053817065816,-0.5916682768235811,-0.5550389911231466
resnet_average_colless_index,201,-0.3939432942593151,-0.3570310109184748,-0.4296355790143119,-0.39853301277599895
resnet_sackin_index,201,-0.761316888172415,-0.848649360802584,-0.9031128049706878,-0.8750629902063151
resnet_average_sackin_index,201,-0.7047730983834811,-0.6014947758987027,-0.8842033008240407,-0.8573245179587196
resnet_leaf_count,201,-0.68724403900264,-0.7887262535617543,-0.45745437966537655,-0.4408510351383863
cifar_densenet_average_branching_factor,201,-0.09251042440528888,-0.10145586795304214,0.24890301327850425,0.290098441821929
cifar_densenet_colless_index,201,-0.9318164026522883,-0.9576348922070625,-0.5015969141326724,-0.5187245314844771
cifar_densenet_average_colless_index,201,-0.753035549702679,-0.6774909889131108,-0.8112441965400654,-0.8570222073329022
cifar_densenet_sackin_index,201,-0.8095070692212084,-0.8784944604629313,-0.6735183426362421,-0.6697340372884816
cifar_densenet_average_sackin_index,201,-0.6627644925354635,-0.6234428918623921,-0.8875495376051133,-0.9366329611144335
cifar_densenet_leaf_count,201,-0.33652276284895727,-0.3931520832932928,0.3587743575612326,0.4333019784829077
cifar_resnet_average_branching_factor,201,-0.21144562813218898,-0.2410509806958574,0.006368631600026029,0.022382480485125183
cifar_resnet_colless_index,201,-0.8191979606637663,-0.8885053817065816,-0.5916682768235811,-0.5550389911231466
cifar_resnet_average_colless_index,201,-0.3939432942593151,-0.3570310109184748,-0.4296355790143119,-0.39853301277599895
cifar_resnet_sackin_index,201,-0.761316888172415,-0.848649360802584,-0.9031128049706878,-0.8750629902063151
cifar_resnet_average_sackin_index,201,-0.7047730983834811,-0.6014947758987027,-0.8842033008240407,-0.8573245179587196
cifar_resnet_leaf_count,201,-0.68724403900264,-0.7887262535617543,-0.45745437966537655,-0.4408510351383863
