dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,densenet,20,33,a1,0.0,0.0,308,2.0604026845637584,130432.0,938.3597122302158,139,10,0.06711409395973154,3313008.0,20836.528301886792,159,50000,0.97058,0.7626
cifar,train,densenet,20,33,a2,0.0,0.0,308,2.0604026845637584,150586.0,1091.2028985507247,138,11,0.0738255033557047,3970746.0,24973.245283018867,159,50000,0.97058,0.7626
cifar,train,densenet,20,33,a3,0.0,0.0,745,2.049586776859504,1801258.0,5251.4810495626825,343,20,0.05509641873278237,14793845.0,38727.34293193717,382,50000,0.97058,0.7626
cifar,train,densenet,20,33,a4,0.0,0.0,956,2.0760869565217392,2321503.0,5462.36,425,35,0.07608695652173914,20935569.0,42208.80846774193,496,50000,0.97058,0.7626
cifar,train,densenet,20,33,a5,0.0,0.0,1270,2.1009933774834435,2718586.0,4951.887067395264,549,55,0.09105960264900662,29528230.0,44336.68168168168,666,50000,0.97058,0.7626
cifar,train,densenet,20,33,a6,0.0,0.0,1335,2.0941915227629515,2722693.0,4670.1423670668955,583,54,0.0847723704866562,31275550.0,44807.3782234957,698,50000,0.97058,0.7626
cifar,train,densenet,20,33,a7,0.0,0.0,1529,2.107586206896552,2677269.0,4093.683486238532,654,71,0.09793103448275862,36404132.0,45278.77114427861,804,50000,0.97058,0.7626
cifar,train,densenet,20,33,a8,0.0,0.0,1710,2.1229813664596273,3035420.0,4233.5006973500695,717,88,0.1093167701863354,41015829.0,45321.35801104972,905,50000,0.97058,0.7626
cifar,trainUval,densenet,20,33,a1,0.0,0.0,354,2.088757396449704,154329.0,1008.6862745098039,153,16,0.09467455621301775,4970013.0,26864.935135135136,185,60000,0.97058,0.7626
cifar,trainUval,densenet,20,33,a2,0.0,0.0,341,2.073170731707317,232270.0,1538.2119205298013,151,13,0.07926829268292683,5511672.0,31139.389830508473,177,60000,0.97058,0.7626
