dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,densenet,20,143,a1,0.0,0.0,856,2.070217917675545,241021.0,629.2976501305483,383,30,0.07263922518159806,2193463.0,4951.38374717833,443,50000,0.99988,0.8755
cifar,train,densenet,20,143,a2,0.0,0.0,1391,2.096530920060332,2141536.0,3569.2266666666665,600,63,0.09502262443438914,31442383.0,43190.08653846154,728,50000,0.99988,0.8755
cifar,train,densenet,20,143,a3,0.0,0.0,1813,2.061433447098976,3566702.0,4312.819830713422,827,52,0.05915813424345848,41149010.0,44056.755888650965,934,50000,0.99988,0.8755
cifar,train,densenet,20,143,a4,0.0,0.0,1962,2.1018220793140405,3725512.0,4429.859690844233,841,92,0.09860664523043944,45568555.0,44284.310009718174,1029,50000,0.99988,0.8755
cifar,train,densenet,20,143,a5,0.0,0.0,2143,2.135593220338983,3898431.0,4425.006810442679,881,122,0.12163509471585245,50787567.0,44550.49736842105,1140,50000,0.99988,0.8755
cifar,train,densenet,20,143,a6,0.0,0.0,2261,2.140151515151515,4109169.0,4437.547516198704,926,130,0.12310606060606061,53933185.0,44757.82987551867,1205,50000,0.99988,0.8755
cifar,train,densenet,20,143,a7,0.0,0.0,2627,2.208578637510513,4710298.0,4715.013013013013,999,190,0.159798149705635,64081354.0,44562.833101529905,1438,50000,0.99988,0.8755
cifar,train,densenet,20,143,a8,0.0,0.0,2552,2.2067474048442905,4346516.0,4467.128468653648,973,183,0.1583044982698962,62633293.0,44866.255730659024,1396,50000,0.99988,0.8755
cifar,trainUval,densenet,20,143,a1,0.0,0.0,906,2.0662100456621006,301616.0,737.4474327628362,409,29,0.06621004566210045,3778879.0,8074.527777777777,468,60000,0.99988,0.8755
cifar,trainUval,densenet,20,143,a2,0.0,0.0,1571,2.0989304812834226,2792138.0,4100.055800293686,681,67,0.08957219251336898,42954694.0,52192.82381530984,823,60000,0.99988,0.8755
