dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,resnet,20,30,aavgpool,0.0,0.0,279,2.0441176470588234,111339.0,869.8359375,128,8,0.058823529411764705,2145398.0,15002.783216783217,143,50000,0.97678,0.7454
cifar,train,resnet,20,30,afc,0.0,0.0,279,2.0441176470588234,111339.0,869.8359375,128,8,0.058823529411764705,2145398.0,15002.783216783217,143,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-bn1,0.0,0.0,1628,2.080562659846547,3268038.0,4520.107883817427,723,59,0.07544757033248081,37995006.0,44911.354609929076,846,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-bn2,0.0,0.0,1838,2.1114942528735634,3563560.0,4568.666666666667,780,90,0.10344827586206896,43404725.0,44839.59194214876,968,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-c1,0.0,0.0,1868,2.1096045197740114,3924723.0,4924.370138017566,797,88,0.09943502824858758,43711425.0,44467.37029501526,983,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-c2,0.0,0.0,1913,2.112707182320442,3907301.0,4782.498164014688,817,88,0.09723756906077348,44827040.0,44471.269841269845,1008,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-bn1,0.0,0.0,1699,2.088560885608856,3885260.0,5159.7078353253655,753,60,0.07380073800738007,39187364.0,44229.530474040635,886,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-bn2,0.0,0.0,1831,2.0962199312714778,4010933.0,4994.935242839352,803,70,0.08018327605956473,42602122.0,44469.85594989562,958,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-c1,0.0,0.0,1919,2.1146637265711137,4331722.0,5328.071340713407,813,94,0.10363836824696802,44614242.0,44085.219367588936,1012,50000,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-c2,0.0,0.0,2080,2.1171079429735236,5117113.0,5801.7154195011335,882,100,0.10183299389002037,47901456.0,43626.098360655735,1098,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-bn1,0.0,0.0,744,2.0754189944134076,1873374.0,5659.740181268882,331,27,0.07541899441340782,13755810.0,35636.81347150259,386,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-bn2,0.0,0.0,1226,2.0519262981574538,3573208.0,6290.859154929577,568,29,0.048576214405360134,22176821.0,35257.26709062003,629,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-c1,0.0,0.0,1053,2.125252525252525,2656538.0,6037.586363636364,440,55,0.1111111111111111,20826760.0,37323.94265232975,558,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-c2,0.0,0.0,853,2.0579710144927534,1709028.0,4382.123076923077,390,24,0.057971014492753624,15170342.0,34556.58769931663,439,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-downsample-bn,0.0,0.0,804,2.0432569974554706,1627964.0,4341.2373333333335,375,18,0.04580152671755725,14448276.0,35153.95620437956,411,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-downsample-conv,0.0,0.0,1053,2.125252525252525,2656538.0,6037.586363636364,440,55,0.1111111111111111,20826760.0,37323.94265232975,558,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-bn1,0.0,0.0,367,2.0914285714285716,209671.0,1310.44375,160,15,0.08571428571428572,5325777.0,27738.421875,192,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-bn2,0.0,0.0,1387,2.047267355982275,4804792.0,7472.46034214619,643,34,0.050221565731166914,27572186.0,38834.064788732394,710,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-c1,0.0,0.0,274,2.037313432835821,111585.0,878.6220472440945,127,7,0.05223880597014925,2131573.0,15225.521428571428,140,50000,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-c2,0.0,0.0,431,2.0673076923076925,234970.0,1217.461139896373,193,15,0.07211538461538461,6666003.0,29892.39013452915,223,50000,0.97678,0.7454
cifar,trainUval,resnet,20,30,aavgpool,0.0,0.0,315,2.052287581699346,150708.0,1053.902097902098,143,10,0.06535947712418301,3338216.0,20606.271604938273,162,60000,0.97678,0.7454
cifar,trainUval,resnet,20,30,afc,0.0,0.0,315,2.052287581699346,150708.0,1053.902097902098,143,10,0.06535947712418301,3338216.0,20606.271604938273,162,60000,0.97678,0.7454
