dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
bert_ner_conll,trainUval,bert,115,0,aclassifier,1e-06,1e-06,33,2.0,1393271.0,99519.35714285714,14,2,0.125,1924243.0,113190.76470588235,17,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,115,1,aclassifier,1e-06,1e-06,34,1.9411764705882353,1368144.0,85509.0,16,1,0.058823529411764705,1648575.0,96975.0,17,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,115,2,aclassifier,1e-06,1e-06,24,1.9166666666666667,1131072.0,102824.72727272728,11,1,0.08333333333333333,730310.0,60859.166666666664,12,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,115,3,aclassifier,1e-06,1e-06,41,2.0,1443528.0,80196.0,18,2,0.1,2539426.0,120925.04761904762,21,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,115,4,aclassifier,1e-06,1e-06,30,1.9333333333333333,1674314.0,119593.85714285714,14,1,0.06666666666666667,1086624.0,72441.6,15,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,115,0,alayer11,1e-06,1e-06,38,1.9473684210526316,1185945.0,65885.83333333333,18,1,0.05263157894736842,2453229.0,129117.31578947368,19,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,115,1,alayer11,1e-06,1e-06,42,1.9523809523809523,1211391.0,60569.55,20,1,0.047619047619047616,1908614.0,90886.38095238095,21,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,115,2,alayer11,1e-06,1e-06,34,1.9411764705882353,1506833.0,94177.0625,16,1,0.058823529411764705,1326387.0,78022.76470588235,17,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,115,3,alayer11,1e-06,1e-06,48,2.0434782608695654,1675014.0,83750.7,20,3,0.13043478260869565,2938912.0,117556.48,25,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,115,4,alayer11,1e-06,1e-06,38,1.9473684210526316,1480257.0,82236.5,18,1,0.05263157894736842,1611793.0,84831.21052631579,19,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,115,0,alayer3,1e-06,1e-06,1091,2.041198501872659,7964278.0,15555.23046875,512,22,0.04119850187265917,128268352.0,230284.2944344704,557,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,115,1,alayer3,1e-06,1e-06,961,2.051282051282051,10442351.0,23518.808558558558,444,24,0.05128205128205128,109511435.0,222132.72819472617,493,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,115,2,alayer3,1e-06,1e-06,1019,2.0400801603206413,10697116.0,22378.90376569038,478,21,0.04208416833667335,113281660.0,217849.34615384616,520,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,115,0,alayer6,1e-06,1e-06,703,2.0526315789473686,5615491.0,17439.41304347826,322,20,0.05847953216374269,84421165.0,233853.64265927978,361,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,115,1,alayer6,1e-06,1e-06,692,2.0145772594752187,10757285.0,32015.729166666668,336,7,0.02040816326530612,74298377.0,212889.3323782235,349,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,115,2,alayer6,1e-06,1e-06,653,2.043887147335423,6081602.0,20005.269736842107,304,15,0.047021943573667714,74580986.0,223296.36526946106,334,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,115,3,alayer6,1e-06,1e-06,771,2.0588235294117645,6091105.0,17304.27556818182,352,22,0.058823529411764705,90864208.0,228877.0982367758,397,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,115,4,alayer6,1e-06,1e-06,632,2.042071197411003,4846793.0,16429.806779661016,295,14,0.045307443365695796,73256083.0,226799.0185758514,323,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,115,0,alayer9,1e-06,1e-06,138,2.044776119402985,2020278.0,32585.129032258064,62,5,0.07462686567164178,14518255.0,204482.46478873238,71,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,115,1,alayer9,1e-06,1e-06,138,2.014705882352941,1204773.0,18534.96923076923,65,3,0.04411764705882353,11354570.0,162208.14285714287,70,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,115,2,alayer9,1e-06,1e-06,126,2.0161290322580645,1410925.0,23913.98305084746,59,3,0.04838709677419355,10241911.0,160029.859375,64,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,115,3,alayer9,1e-06,1e-06,186,2.0555555555555554,1143736.0,13779.951807228916,83,7,0.07777777777777778,17497022.0,182260.64583333334,96,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,115,4,alayer9,1e-06,1e-06,133,2.0307692307692307,1038301.0,16746.790322580644,62,3,0.046153846153846156,11325770.0,166555.4411764706,68,254983,0.9983253200799524,0.989603208597796
