,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,5,-0.5718142468041439,-0.4231107020614724,-0.35909242322980395,-0.35909242322980395
full_colless_index,5,0.0745911301790036,0.2722573578137537,0.6,0.6
full_sackin_index,5,-0.2641833796160457,-0.2239352458073119,-0.19999999999999998,-0.19999999999999998
full_total_volume,5,,,,
full_missing_colless_frac,5,-0.7635581809295259,-0.5540674859934438,-0.3,-0.3
bert_ner_conll_average_branching_factor,5,-0.5718142468041439,-0.4231107020614724,-0.35909242322980395,-0.35909242322980395
bert_ner_conll_colless_index,5,0.0745911301790036,0.2722573578137537,0.6,0.6
bert_ner_conll_sackin_index,5,-0.2641833796160457,-0.2239352458073119,-0.19999999999999998,-0.19999999999999998
bert_ner_conll_total_volume,5,,,,
bert_ner_conll_missing_colless_frac,5,-0.7635581809295259,-0.5540674859934438,-0.3,-0.3
bert_average_branching_factor,5,-0.5718142468041439,-0.4231107020614724,-0.35909242322980395,-0.35909242322980395
bert_colless_index,5,0.0745911301790036,0.2722573578137537,0.6,0.6
bert_sackin_index,5,-0.2641833796160457,-0.2239352458073119,-0.19999999999999998,-0.19999999999999998
bert_total_volume,5,,,,
bert_missing_colless_frac,5,-0.7635581809295259,-0.5540674859934438,-0.3,-0.3
bert_ner_conll_bert_average_branching_factor,5,-0.5718142468041439,-0.4231107020614724,-0.35909242322980395,-0.35909242322980395
bert_ner_conll_bert_colless_index,5,0.0745911301790036,0.2722573578137537,0.6,0.6
bert_ner_conll_bert_sackin_index,5,-0.2641833796160457,-0.2239352458073119,-0.19999999999999998,-0.19999999999999998
bert_ner_conll_bert_total_volume,5,,,,
bert_ner_conll_bert_missing_colless_frac,5,-0.7635581809295259,-0.5540674859934438,-0.3,-0.3
