dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
bert_ner_conll,trainUval,bert,92,0,aclassifier,1e-06,1e-06,39,2.0,1605466.0,94439.17647058824,17,2,0.10526315789473684,2607011.0,130350.55,20,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,92,3,alayer9,1e-06,1e-06,251,2.032520325203252,1238221.0,10583.08547008547,117,6,0.04878048780487805,22333919.0,174483.7421875,128,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,92,1,aclassifier,1e-06,1e-06,42,1.9523809523809523,1383048.0,69152.4,20,1,0.047619047619047616,2098059.0,99907.57142857143,21,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,92,4,alayer9,1e-06,1e-06,176,2.0588235294117645,1753133.0,22191.556962025315,79,6,0.07058823529411765,14379819.0,158019.989010989,91,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,92,2,aclassifier,1e-06,1e-06,30,1.9333333333333333,1134775.0,81055.35714285714,14,1,0.06666666666666667,1171541.0,78102.73333333334,15,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,92,3,aclassifier,1e-06,1e-06,43,2.0,1713151.0,90165.84210526316,19,2,0.09523809523809523,2545145.0,115688.40909090909,22,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,92,4,aclassifier,1e-06,1e-06,36,1.9444444444444444,1430269.0,84133.4705882353,17,1,0.05555555555555555,1316897.0,73160.94444444444,18,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,92,0,alayer0,1e-06,1e-06,1876,2.0903010033444818,12851062.0,15633.895377128954,822,75,0.08361204013377926,208200394.0,212666.38815117467,979,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,92,1,alayer0,1e-06,1e-06,1725,2.082125603864734,13854190.0,18133.75654450262,764,64,0.07729468599033816,188001871.0,209589.59977703457,897,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,92,2,alayer0,1e-06,1e-06,1756,2.0892857142857144,12501684.0,16278.234375,768,72,0.08571428571428572,193701698.0,211464.73580786027,916,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,92,3,alayer0,1e-06,1e-06,1832,2.0759637188208617,11763756.0,14416.367647058823,816,66,0.07482993197278912,202295208.0,212942.3242105263,950,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,92,4,alayer0,1e-06,1e-06,1677,2.0742574257425743,10883046.0,14549.526737967915,748,60,0.07425742574257425,186477129.0,214588.18066743383,869,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,92,0,alayer11,1e-06,1e-06,48,1.9583333333333333,1416779.0,61599.086956521736,23,1,0.041666666666666664,3420476.0,142519.83333333334,24,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,92,1,alayer11,1e-06,1e-06,62,1.967741935483871,1548562.0,51618.73333333333,30,1,0.03225806451612903,3306893.0,106673.96774193548,31,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,92,2,alayer11,1e-06,1e-06,51,2.0,1597476.0,69455.47826086957,23,2,0.08,2184838.0,84032.23076923077,26,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,92,3,alayer11,1e-06,1e-06,62,2.033333333333333,1870871.0,69291.51851851853,27,3,0.1,3267218.0,102100.5625,32,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,92,4,alayer11,1e-06,1e-06,44,1.9545454545454546,1515771.0,72179.57142857143,21,1,0.045454545454545456,1592622.0,72391.90909090909,22,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,92,0,alayer3,1e-06,1e-06,1386,2.076461769115442,10429094.0,16821.11935483871,620,47,0.0704647676161919,164475348.0,228755.69958275382,719,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,92,1,alayer3,1e-06,1e-06,1304,2.042319749216301,13630191.0,22344.575409836067,610,28,0.0438871473354232,145720201.0,218799.1006006006,666,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,92,2,alayer3,1e-06,1e-06,1363,2.0574018126888216,15107784.0,24211.19230769231,624,38,0.05740181268882175,151726680.0,216443.19543509273,701,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,92,3,alayer3,1e-06,1e-06,1409,2.0766961651917404,12677773.0,20219.7336523126,627,51,0.0752212389380531,164991185.0,225706.13543091656,731,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,92,4,alayer3,1e-06,1e-06,1230,2.0620805369127515,11235126.0,20062.725,560,36,0.06040268456375839,143325349.0,226065.2192429022,634,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,92,0,alayer6,1e-06,1e-06,976,2.0526315789473686,7181000.0,16029.017857142857,448,27,0.056842105263157895,116569128.0,232672.91017964072,501,254983,0.9212114664008133,0.9847163272458238
bert_ner_conll,trainUval,bert,92,1,alayer6,1e-06,1e-06,959,2.0296610169491527,15395096.0,33761.17543859649,456,16,0.03389830508474576,102859737.0,211210.9589322382,487,254983,0.9889549702633815,0.987033215217476
bert_ner_conll,trainUval,bert,92,2,alayer6,1e-06,1e-06,899,2.054919908466819,10690095.0,25946.832524271846,412,25,0.057208237986270026,101702424.0,220135.1168831169,462,254983,0.9947451392538098,0.9884739690822009
bert_ner_conll,trainUval,bert,92,3,alayer6,1e-06,1e-06,1065,2.0580270793036752,8664472.0,17791.52361396304,487,30,0.058027079303675046,124892783.0,227906.53832116787,548,254983,0.9971024599623811,0.9891748763677427
bert_ner_conll,trainUval,bert,92,4,alayer6,1e-06,1e-06,907,2.0359550561797755,9096686.0,21303.714285714286,427,18,0.04044943820224719,103412689.0,223836.9891774892,462,254983,0.9983253200799524,0.989603208597796
bert_ner_conll,trainUval,bert,92,0,alayer9,1e-06,1e-06,174,2.011627906976744,1883868.0,22697.204819277107,83,3,0.03488372093023256,18027875.0,204862.2159090909,88,254983,0.9212114664008133,0.9847163272458238
