dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
imagenet,trainUval,resnet50,20,0,apenultimate,1e-06,1e-06,16887,2.096597963744723,449309403.0,61305.69013507982,7329,725,0.09001738266699777,1861293117.0,210720.38005207744,8833,300000,0.0230961311608552,0.0707599967718124
imagenet,trainUval,resnet50,20,24,alayer3,1e-06,1e-06,24072,3.002120229483662,187707236.0,34429.060161408655,5452,2566,0.32002993265153407,4184149145.0,260629.6963373614,16054,300000,0.5381749868392944,0.550000011920929
imagenet,trainUval,resnet50,20,40,apenultimate,1e-06,1e-06,6491,2.0583571202029813,137444288.0,46184.23655913978,2976,177,0.056137012369172214,755051475.0,226198.76423007788,3338,300000,0.6914695501327515,0.7148799896240234
imagenet,trainUval,resnet50,20,56,alayer2,1e-06,1e-06,19027,2.293394406943105,166359832.0,25099.5522027761,6628,1668,0.20106075216972036,2897132189.0,269977.838878017,10731,300000,0.6998416185379028,0.7086399793624878
imagenet,trainUval,resnet50,20,8,aconv1,1e-06,1e-06,18079,2.242928039702233,113525448.0,16556.139419571242,6857,1203,0.14925558312655088,2709998039.0,270485.88072661945,10019,300000,0.4659837484359741,0.477400004863739
imagenet,trainUval,resnet50,20,16,aconv1,1e-06,1e-06,18507,2.2757009345794392,117427449.0,16920.381700288184,6940,1192,0.14658140678799803,2779572410.0,267910.59373493976,10375,300000,0.5189417004585266,0.4909999966621399
imagenet,trainUval,resnet50,20,24,alayer2,1e-06,1e-06,18917,2.2928484848484847,165327935.0,24913.793701024715,6636,1614,0.19563636363636364,2880340040.0,270023.4405174838,10667,300000,0.5381749868392944,0.550000011920929
imagenet,trainUval,resnet50,20,4,alayer4,1e-06,1e-06,23247,2.7248857109365843,208602335.0,34202.71110018036,6099,2432,0.28507795100222716,3841214126.0,261022.97675998913,14716,300000,0.3863048255443573,0.4226399958133697
imagenet,trainUval,resnet50,20,64,alayer4,1e-06,1e-06,23888,4.520628311884936,168624638.0,47647.53828765188,3539,1745,0.3302422407267222,4631225798.0,248937.09944098044,18604,300000,0.7533608078956604,0.7450199723243713
imagenet,trainUval,resnet50,20,80,alayer4,1e-06,1e-06,28592,4.769936603269937,177118539.0,45045.40666327569,3932,2062,0.3440106773440107,5547773465.0,245498.42751570937,22598,300000,0.7704124450683594,0.7491199970245361
imagenet,trainUval,resnet50,20,0,aconv1,1e-06,1e-06,17947,2.2290398708235,120467805.0,17494.598460644786,6886,1165,0.14470252142590984,2671563061.0,269963.93098221504,9896,300000,0.0230961311608552,0.0707599967718124
imagenet,trainUval,resnet50,20,28,alayer1,1e-06,1e-06,17532,2.1993476351775185,135865536.0,20333.064351990422,6682,1289,0.16171120311127837,2595913476.0,271510.6658299341,9561,300000,0.5435708165168762,0.5763800144195557
imagenet,trainUval,resnet50,20,44,alayer2,1e-06,1e-06,18888,2.28214113098115,163446129.0,24678.5639438321,6623,1653,0.1997341710971484,2866289288.0,270098.87749717303,10612,300000,0.6965430974960327,0.7167999744415283
imagenet,trainUval,resnet50,20,60,alayer4,1e-06,1e-06,29382,5.237254901960784,156019317.0,42745.018356164386,3650,1960,0.3493761140819964,5846657492.0,245947.22749453137,23772,300000,0.73485267162323,0.7420200109481812
imagenet,trainUval,resnet50,20,8,alayer4,1e-06,1e-06,32884,4.110375,259650072.0,47844.126036484246,5427,2573,0.321625,5897734806.0,237009.11453142582,24884,300000,0.4659837484359741,0.477400004863739
imagenet,trainUval,resnet50,20,12,aconv1,1e-06,1e-06,18390,2.2632615384615384,116906844.0,16818.70867501079,6951,1174,0.1444923076923077,2771292444.0,269974.90930345835,10265,300000,0.500350832939148,0.4867399930953979
imagenet,trainUval,resnet50,20,24,alayer1,1e-06,1e-06,17371,2.1978995318233583,132862605.0,20018.472954648183,6637,1266,0.16019233202581298,2572340592.0,271687.85297845374,9468,300000,0.5381749868392944,0.550000011920929
imagenet,trainUval,resnet50,20,40,alayer1,1e-06,1e-06,17443,2.203385548256695,132905917.0,20103.753895023445,6611,1305,0.16485598787266295,2593363047.0,272211.9289388055,9527,300000,0.6914695501327515,0.7148799896240234
imagenet,trainUval,resnet50,20,60,alayer1,1e-06,1e-06,17095,2.2048239391203404,124761320.0,19286.028752511982,6469,1284,0.16561331097639623,2550225197.0,272984.9279597517,9342,300000,0.73485267162323,0.7420200109481812
imagenet,trainUval,resnet50,20,76,alayer4,1e-06,1e-06,30658,4.640078704404419,226842271.0,51790.472831050225,4380,2227,0.3370667473891327,5630904741.0,234123.5183984034,24051,300000,0.7670069336891174,0.7494000196456909
imagenet,trainUval,resnet50,20,0,alayer2,1e-06,1e-06,16033,2.1183932346723044,342101678.0,50546.93823877069,6768,800,0.10570824524312897,2043030104.0,241350.27808623743,8465,300000,0.0230961311608552,0.0707599967718124
imagenet,trainUval,resnet50,20,28,alayer4,1e-06,1e-06,41387,7.66265506387706,170395086.0,50013.233343117114,3407,1994,0.3691908905758193,8069769916.0,224247.48279886623,35986,300000,0.5435708165168762,0.5763800144195557
imagenet,trainUval,resnet50,20,40,alayer2,1e-06,1e-06,19073,2.2742666348676366,166271971.0,24592.80742493714,6761,1625,0.19377533985213452,2886121516.0,270059.0919809114,10687,300000,0.6914695501327515,0.7148799896240234
imagenet,trainUval,resnet50,20,64,aconv1,1e-06,1e-06,18127,2.2224129475232957,119752688.0,17058.787464387464,7020,1136,0.1392839627268269,2692687969.0,270051.94754788885,9971,300000,0.7533608078956604,0.7450199723243713
imagenet,trainUval,resnet50,20,84,aconv1,1e-06,1e-06,17944,2.2097290640394087,119317193.0,17116.223353894708,6971,1149,0.1415024630541872,2661085739.0,270875.99134771986,9824,300000,0.7723528742790222,0.750540018081665
imagenet,trainUval,resnet50,20,0,alayer1,1e-06,1e-06,14280,2.109469641010489,283556506.0,46454.21133682831,6104,665,0.09824198552223372,1849025286.0,246175.64718412995,7511,300000,0.0230961311608552,0.0707599967718124
imagenet,trainUval,resnet50,20,28,apenultimate,1e-06,1e-06,8494,2.0644141954302384,186782626.0,48289.200103412615,3868,246,0.05979581915410792,1045203291.0,238630.8883561644,4380,300000,0.5435708165168762,0.5763800144195557
imagenet,trainUval,resnet50,20,44,alayer1,1e-06,1e-06,17642,2.2015474853363286,137576198.0,20567.528479593362,6689,1324,0.16523149881442656,2617506849.0,271835.79281337623,9629,300000,0.6965430974960327,0.7167999744415283
imagenet,trainUval,resnet50,20,56,alayer3,1e-06,1e-06,21175,2.7765538945712036,173424990.0,32199.218343854438,5386,2240,0.2937319695777603,3589798299.0,264949.31721898296,13549,300000,0.6998416185379028,0.7086399793624878
imagenet,trainUval,resnet50,20,80,aconv1,1e-06,1e-06,18068,2.2332509270704572,116347030.0,16842.361030689055,6908,1182,0.14610630407911002,2699750569.0,270570.3115854881,9978,300000,0.7704124450683594,0.7491199970245361
imagenet,trainUval,resnet50,20,0,alayer3,1e-06,1e-06,17342,2.1435105067985165,354444203.0,49914.68849457823,7101,989,0.12224969097651421,2256639941.0,243908.3377648076,9252,300000,0.0230961311608552,0.0707599967718124
imagenet,trainUval,resnet50,20,36,alayer2,1e-06,1e-06,19043,2.2788415509813307,162767348.0,24359.076324453756,6682,1674,0.2003350885591192,2888760517.0,270306.02760363056,10687,300000,0.6828345060348511,0.7101399898529053
imagenet,trainUval,resnet50,20,44,alayer3,1e-06,1e-06,22245,2.7923675621390913,185338506.0,32978.381850533806,5620,2346,0.2945016319357268,3764150464.0,263614.4312626935,14279,300000,0.6965430974960327,0.7167999744415283
imagenet,trainUval,resnet50,20,60,aconv1,1e-06,1e-06,17802,2.211853876739563,115364467.0,16797.38890506698,6868,1180,0.1466202783300199,2638763603.0,270531.4335657166,9754,300000,0.73485267162323,0.7420200109481812
imagenet,trainUval,resnet50,20,76,apenultimate,1e-06,1e-06,6115,2.050301810865191,118841497.0,41786.7429676512,2844,138,0.04627766599597585,686633420.0,219161.64060006384,3133,300000,0.7670069336891174,0.7494000196456909
imagenet,trainUval,resnet50,20,12,apenultimate,1e-06,1e-06,9298,2.063249001331558,196893641.0,46349.727165725046,4248,258,0.05725699067909454,1166970565.0,243524.742278798,4792,300000,0.500350832939148,0.4867399930953979
imagenet,trainUval,resnet50,20,28,alayer2,1e-06,1e-06,19331,2.3066825775656326,165376540.0,24936.148974668275,6632,1748,0.20859188544152746,2954875351.0,269826.98849420145,10951,300000,0.5435708165168762,0.5763800144195557
imagenet,trainUval,resnet50,20,40,alayer3,1e-06,1e-06,21708,2.7868789318269354,173047339.0,32093.34922106825,5392,2397,0.3077416869944794,3684433691.0,264705.3445649831,13919,300000,0.6914695501327515,0.7148799896240234
imagenet,trainUval,resnet50,20,64,apenultimate,1e-06,1e-06,6181,2.0402773192472763,129440986.0,44435.628561620324,2913,116,0.03829646748101684,695702975.0,220717.9489213198,3152,300000,0.7533608078956604,0.7450199723243713
imagenet,trainUval,resnet50,20,8,alayer3,1e-06,1e-06,23852,2.7301968864468864,204411446.0,33162.14243997404,6164,2572,0.2944139194139194,3960075917.0,261979.0895078063,15116,300000,0.4659837484359741,0.477400004863739
imagenet,trainUval,resnet50,20,12,alayer1,1e-06,1e-06,17551,2.202283849918434,134584376.0,20232.167167769094,6652,1317,0.1652654034383235,2602292116.0,271581.3103736172,9582,300000,0.500350832939148,0.4867399930953979
imagenet,trainUval,resnet50,20,32,alayer1,1e-06,1e-06,17223,2.2054040210014088,129939617.0,19975.34465795542,6505,1304,0.16698681009092073,2564041204.0,272364.6913108137,9414,300000,0.666191816329956,0.6948999762535095
imagenet,trainUval,resnet50,20,48,aconv1,1e-06,1e-06,17717,2.1820421234142136,116667263.0,16910.74981881432,6899,1220,0.15026481093730756,2595523739.0,270423.3943529902,9598,300000,0.6985670328140259,0.710640013217926
imagenet,trainUval,resnet50,20,60,apenultimate,1e-06,1e-06,6090,2.0487886944818303,121480797.0,42865.48941425547,2834,138,0.046433378196500674,694227075.0,222651.4031430404,3118,300000,0.73485267162323,0.7420200109481812
imagenet,trainUval,resnet50,20,8,alayer1,1e-06,1e-06,17414,2.1900389888064393,138949225.0,20643.177091071164,6731,1220,0.15343981889070557,2569981261.0,271582.08401141287,9463,300000,0.4659837484359741,0.477400004863739
imagenet,trainUval,resnet50,20,16,alayer1,1e-06,1e-06,17570,2.188465371200797,138874331.0,20404.691595650896,6806,1222,0.15221723966118586,2587431966.0,271162.4361769021,9542,300000,0.5189417004585266,0.4909999966621399
imagenet,trainUval,resnet50,20,32,alayer2,1e-06,1e-06,19004,2.277990889474946,162744588.0,24286.61214744068,6701,1641,0.19671541596739392,2883644993.0,270460.0443631589,10662,300000,0.666191816329956,0.6948999762535095
imagenet,trainUval,resnet50,20,52,alayer4,1e-06,1e-06,33898,5.76185619581846,184063060.0,48209.2875851231,3818,2065,0.3510113887472378,6641804260.0,237080.28770301625,28015,300000,0.6997308135032654,0.7094799876213074
imagenet,trainUval,resnet50,20,60,alayer3,1e-06,1e-06,21066,2.741054001301236,172748933.0,31972.78049231908,5403,2282,0.2969420949902407,3549007807.0,265227.3975786563,13381,300000,0.73485267162323,0.7420200109481812
imagenet,trainUval,resnet50,20,8,apenultimate,1e-06,1e-06,9623,2.0630360205831906,203033134.0,46154.38372357354,4399,265,0.056818181818181816,1218951110.0,245805.82980439605,4959,300000,0.4659837484359741,0.477400004863739
imagenet,trainUval,resnet50,20,0,alayer4,1e-06,1e-06,20405,2.1845824411134904,426529026.0,53336.129298486936,7997,1343,0.14379014989293362,2663417675.0,240706.52281970176,11065,300000,0.0230961311608552,0.0707599967718124
imagenet,trainUval,resnet50,20,32,aconv1,1e-06,1e-06,18062,2.228377544725478,118634036.0,16954.985851079033,6997,1108,0.1367057371992597,2690172562.0,270179.026011851,9957,300000,0.666191816329956,0.6948999762535095
imagenet,trainUval,resnet50,20,48,alayer4,1e-06,1e-06,30202,5.144974446337308,193700237.0,49174.97765930439,3939,1931,0.32896081771720614,5756738854.0,236591.27297386157,24332,300000,0.6985670328140259,0.710640013217926
imagenet,trainUval,resnet50,20,64,alayer1,1e-06,1e-06,17152,2.2025170155387186,127051598.0,19585.570833975642,6487,1300,0.1669449081803005,2551636952.0,272465.2378003203,9365,300000,0.7533608078956604,0.7450199723243713
imagenet,trainUval,resnet50,20,8,alayer2,1e-06,1e-06,18491,2.2507608034083995,157123474.0,23416.315052160953,6710,1505,0.18320146074254412,2784946277.0,271014.6240755158,10276,300000,0.4659837484359741,0.477400004863739
imagenet,trainUval,resnet50,20,12,alayer4,1e-06,1e-06,35820,5.5208076448828605,200169223.0,47209.72240566038,4240,2248,0.34648581997533906,6907014907.0,235477.12078958136,29332,300000,0.500350832939148,0.4867399930953979
imagenet,trainUval,resnet50,20,36,alayer4,1e-06,1e-06,29066,5.067119944211995,185794002.0,48258.182337662336,3850,1886,0.3288005578800558,5665035444.0,242821.9221603086,23330,300000,0.6828345060348511,0.7101399898529053
imagenet,trainUval,resnet50,20,44,alayer4,1e-06,1e-06,29534,5.089264173703257,185638775.0,49045.91149273448,3785,2018,0.3477511631914527,5689960847.0,239769.1141123425,23731,300000,0.6965430974960327,0.7167999744415283
imagenet,trainUval,resnet50,20,64,alayer3,1e-06,1e-06,21518,2.76781579624389,179181602.0,33059.33616236162,5420,2354,0.30280421919217904,3630326494.0,264139.00567520375,13744,300000,0.7533608078956604,0.7450199723243713
imagenet,trainUval,resnet50,20,80,apenultimate,1e-06,1e-06,6062,2.0580645161290323,110819384.0,39805.8132183908,2784,161,0.05466893039049236,685638320.0,219967.3788899583,3117,300000,0.7704124450683594,0.7491199970245361
imagenet,trainUval,resnet50,20,16,alayer2,1e-06,1e-06,18831,2.277455249153362,160129339.0,23975.047013025902,6679,1589,0.19218674407353653,2856610271.0,270435.50799962133,10563,300000,0.5189417004585266,0.4909999966621399
imagenet,trainUval,resnet50,20,28,alayer3,1e-06,1e-06,23666,3.0081352485064192,191529284.0,35666.53333333333,5370,2497,0.31740180500826237,4126075859.0,261160.57085891513,15799,300000,0.5435708165168762,0.5763800144195557
imagenet,trainUval,resnet50,20,44,apenultimate,1e-06,1e-06,6387,2.056020605280103,126741917.0,43065.55113829426,2943,163,0.052479072762395364,747034956.0,227685.14355379457,3281,300000,0.6965430974960327,0.7167999744415283
imagenet,trainUval,resnet50,20,76,aconv1,1e-06,1e-06,17619,2.1670356703567037,118195086.0,16880.18937446444,7002,1128,0.13874538745387455,2562866609.0,270088.16619243333,9489,300000,0.7670069336891174,0.7494000196456909
imagenet,trainUval,resnet50,20,80,alayer2,1e-06,1e-06,19080,2.270768864556058,166613928.0,24491.243275025725,6803,1599,0.19031183051654368,2882863575.0,269981.6047012549,10678,300000,0.7704124450683594,0.7491199970245361
imagenet,trainUval,resnet50,20,12,alayer2,1e-06,1e-06,18640,2.262014563106796,160667645.0,23873.349925705796,6730,1510,0.18325242718446602,2815137190.0,270686.2682692308,10400,300000,0.500350832939148,0.4867399930953979
imagenet,trainUval,resnet50,20,36,aconv1,1e-06,1e-06,17766,2.1883468834688347,114618546.0,16322.77784107092,7022,1096,0.13500862281350087,2605354461.0,270040.885261194,9648,300000,0.6828345060348511,0.7101399898529053
imagenet,trainUval,resnet50,20,56,aconv1,1e-06,1e-06,17739,2.1874460476014304,114965426.0,16544.168369549574,6949,1160,0.1430509310642496,2605196021.0,270529.181827622,9630,300000,0.6998416185379028,0.7086399793624878
imagenet,trainUval,resnet50,20,68,alayer2,1e-06,1e-06,19416,2.2696983867196634,173525275.0,24989.238911290322,6944,1610,0.18821603927986907,2928137259.0,269576.2529000184,10862,300000,0.7596800327301025,0.7482600212097168
imagenet,trainUval,resnet50,20,80,alayer3,1e-06,1e-06,20487,2.7130181432922793,166112120.0,31436.81302043906,5284,2267,0.3002251357436101,3437262680.0,265712.9468150897,12936,300000,0.7704124450683594,0.7491199970245361
imagenet,trainUval,resnet50,20,12,alayer3,1e-06,1e-06,23504,2.8059933142311366,204157690.0,34509.41345503719,5916,2460,0.29369627507163326,3960896918.0,261825.5498413538,15128,300000,0.500350832939148,0.4867399930953979
imagenet,trainUval,resnet50,20,32,alayer4,1e-06,1e-06,27386,5.111048898842852,170370667.0,47870.37566732228,3559,1799,0.33575961179544606,5392124313.0,244785.01511712366,22028,300000,0.666191816329956,0.6948999762535095
imagenet,trainUval,resnet50,20,52,aconv1,1e-06,1e-06,17748,2.1826343623170583,116661022.0,16785.75856115108,6950,1181,0.14524658713565367,2599752174.0,270328.81085577625,9617,300000,0.6997308135032654,0.7094799876213074
imagenet,trainUval,resnet50,20,72,aconv1,1e-06,1e-06,18514,2.288380716934487,118039509.0,17189.38532110092,6867,1223,0.1511742892459827,2802305346.0,268832.05544896395,10424,300000,0.7636186480522156,0.7483999729156494
imagenet,trainUval,resnet50,20,80,alayer1,1e-06,1e-06,17409,2.206057533899379,127220338.0,19319.717236142747,6585,1306,0.16550500570269927,2596540009.0,272803.11084261397,9518,300000,0.7704124450683594,0.7491199970245361
imagenet,trainUval,resnet50,20,16,alayer3,1e-06,1e-06,23485,2.85207675491863,200071859.0,34524.910957722175,5795,2439,0.29621083313092056,3984122824.0,261236.82538849913,15251,300000,0.5189417004585266,0.4909999966621399
imagenet,trainUval,resnet50,20,36,apenultimate,1e-06,1e-06,6446,2.045382418279911,141479630.0,46925.2504145937,3015,136,0.04316090130117423,744060009.0,225814.8737481032,3295,300000,0.6828345060348511,0.7101399898529053
imagenet,trainUval,resnet50,20,48,alayer1,1e-06,1e-06,17287,2.202599388379205,130760649.0,19911.77843764276,6567,1281,0.1632262996941896,2570827592.0,272362.28329272167,9439,300000,0.6985670328140259,0.710640013217926
