dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.0,0.0,2290,2.1019283746556474,5298606.0,5352.127272727273,990,99,0.09090909090909091,52574323.0,43775.45628642798,1201,50000,0.09992,0.0998
cifar,train,densenet,20,12,a1,0.0,0.0,116,2.017543859649123,301472.0,5582.814814814815,54,3,0.05263157894736842,1500461.0,25431.542372881355,59,50000,0.87682,0.7403
cifar,train,densenet,20,15,a1,0.0,0.0,178,2.0113636363636362,228325.0,2686.176470588235,85,3,0.03409090909090909,2460616.0,27340.17777777778,90,50000,0.90258,0.7422
cifar,train,densenet,20,18,a1,0.0,0.0,140,2.0441176470588234,139288.0,2210.9206349206347,63,5,0.07352941176470588,1853325.0,25740.625,72,50000,0.93044,0.7493
cifar,train,densenet,20,21,a1,0.0,0.0,204,2.00990099009901,112833.0,1151.357142857143,98,3,0.0297029702970297,2376772.0,23075.456310679612,103,50000,0.95162,0.749
cifar,train,densenet,20,24,a1,0.0,0.0,218,2.047169811320755,102351.0,1023.51,100,6,0.05660377358490566,2659194.0,23742.803571428572,112,50000,0.95506,0.7413
cifar,train,densenet,20,27,a1,0.0,0.0,223,2.1142857142857143,102769.0,1105.0430107526881,93,12,0.11428571428571428,2616005.0,22169.533898305086,118,50000,0.9589,0.7468
cifar,train,densenet,20,30,a1,0.0,0.0,263,2.046875,85136.0,709.4666666666667,120,8,0.0625,3071510.0,22751.925925925927,135,50000,0.96386,0.7517
cifar,train,densenet,20,33,a1,0.0,0.0,308,2.0604026845637584,130432.0,938.3597122302158,139,10,0.06711409395973154,3313008.0,20836.528301886792,159,50000,0.97058,0.7626
cifar,train,densenet,20,36,a1,0.0,0.0,239,2.0517241379310347,127472.0,1169.467889908257,109,7,0.0603448275862069,2869954.0,23332.959349593497,123,50000,0.95304,0.7403
cifar,train,densenet,20,39,a1,0.0,0.0,251,2.0491803278688523,136060.0,1193.5087719298247,114,8,0.06557377049180328,3025847.0,23456.178294573645,129,50000,0.9645,0.7509
cifar,train,densenet,20,3,a1,0.0,0.0,254,2.007936507936508,937978.0,7625.837398373984,123,3,0.023809523809523808,4262340.0,33299.53125,128,50000,0.57684,0.5581
cifar,train,densenet,20,42,a1,0.0,0.0,252,2.057377049180328,144110.0,1275.3097345132744,113,9,0.07377049180327869,2911698.0,22397.676923076924,130,50000,0.95498,0.7467
