split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
full_average_branching_factor,402,-0.1329926049980774,-0.1819485495010001,0.2401950522963957,0.2608216787409121,15
full_colless_index,402,-0.9439222130334556,-0.9451715771820752,-0.6848273770023062,-0.6867212460363321,15
full_average_colless_index,402,-0.7068573401091244,-0.6127648498676496,-0.7669607378712224,-0.7901956641834498,15
full_sackin_index,402,-0.8345080803663733,-0.8999199124928665,-0.7638634011365539,-0.7414100538502404,15
full_average_sackin_index,402,-0.6895511450057056,-0.6243650995920264,-0.8878066517882071,-0.904771688194162,15
full_leaf_count,402,-0.526452754322765,-0.5910874991400615,-0.0632847066479918,-0.0063041228072383,15
cifar_average_branching_factor,402,-0.1329926049980774,-0.1819485495010001,0.2401950522963957,0.2608216787409121,15
cifar_colless_index,402,-0.9439222130334556,-0.9451715771820752,-0.6848273770023062,-0.6867212460363321,15
cifar_average_colless_index,402,-0.7068573401091244,-0.6127648498676496,-0.7669607378712224,-0.7901956641834498,15
cifar_sackin_index,402,-0.8345080803663733,-0.8999199124928665,-0.7638634011365539,-0.7414100538502404,15
cifar_average_sackin_index,402,-0.6895511450057056,-0.6243650995920264,-0.8878066517882071,-0.904771688194162,15
cifar_leaf_count,402,-0.526452754322765,-0.5910874991400615,-0.0632847066479918,-0.0063041228072383,15
densenet_average_branching_factor,201,-0.0009791961689785,-0.0482014135526175,0.4377001467436109,0.447680263167911,15
densenet_colless_index,201,-0.9680099637642288,-0.9520266448327088,-0.603011028232478,-0.6312823033005946,15
densenet_average_colless_index,201,-0.7686778050934338,-0.6769601767271244,-0.8670809592221794,-0.8979780329135054,15
densenet_sackin_index,201,-0.8846517060374828,-0.9367489449857248,-0.7580304738283294,-0.8074893692978145,15
densenet_average_sackin_index,201,-0.6744814026401047,-0.6338605173018964,-0.8927808398558956,-0.9414401667509668,15
densenet_leaf_count,201,-0.4261300283103876,-0.4717078666839321,0.2582382609294079,0.2989009076881006,15
resnet_average_branching_factor,201,-0.326448013238618,-0.3805577448795446,-0.0044072394169327,0.0029161315695576,15
resnet_colless_index,201,-0.9271611858069616,-0.9450209152918184,-0.7372223968945524,-0.7021477982267019,15
resnet_average_colless_index,201,-0.6397161852884085,-0.5406095395550734,-0.6354123911559485,-0.6092592948679217,15
resnet_sackin_index,201,-0.8090571147345079,-0.8855579178368742,-0.9225986381746334,-0.8892828801719492,15
resnet_average_sackin_index,201,-0.7148570805088132,-0.6154523385987928,-0.8934245657408177,-0.8685460024434213,15
resnet_leaf_count,201,-0.7364316228142416,-0.8273066078219721,-0.4865842863706073,-0.4501381267440187,15
cifar_densenet_average_branching_factor,201,-0.0009791961689785,-0.0482014135526175,0.4377001467436109,0.447680263167911,15
cifar_densenet_colless_index,201,-0.9680099637642288,-0.9520266448327088,-0.603011028232478,-0.6312823033005946,15
cifar_densenet_average_colless_index,201,-0.7686778050934338,-0.6769601767271244,-0.8670809592221794,-0.8979780329135054,15
cifar_densenet_sackin_index,201,-0.8846517060374828,-0.9367489449857248,-0.7580304738283294,-0.8074893692978145,15
cifar_densenet_average_sackin_index,201,-0.6744814026401047,-0.6338605173018964,-0.8927808398558956,-0.9414401667509668,15
cifar_densenet_leaf_count,201,-0.4261300283103876,-0.4717078666839321,0.2582382609294079,0.2989009076881006,15
cifar_resnet_average_branching_factor,201,-0.326448013238618,-0.3805577448795446,-0.0044072394169327,0.0029161315695576,15
cifar_resnet_colless_index,201,-0.9271611858069616,-0.9450209152918184,-0.7372223968945524,-0.7021477982267019,15
cifar_resnet_average_colless_index,201,-0.6397161852884085,-0.5406095395550734,-0.6354123911559485,-0.6092592948679217,15
cifar_resnet_sackin_index,201,-0.8090571147345079,-0.8855579178368742,-0.9225986381746334,-0.8892828801719492,15
cifar_resnet_average_sackin_index,201,-0.7148570805088132,-0.6154523385987928,-0.8934245657408177,-0.8685460024434213,15
cifar_resnet_leaf_count,201,-0.7364316228142416,-0.8273066078219721,-0.4865842863706073,-0.4501381267440187,15
full_average_branching_factor,402,-0.1429923459408017,-0.1792341947513163,0.198828383372727,0.2221506323986375,20
full_colless_index,402,-0.91580080636367,-0.944590178775232,-0.6251201527199028,-0.6265754255315934,20
full_average_colless_index,402,-0.6522411973653145,-0.5796711685674195,-0.6986356285287286,-0.7309037920469842,20
full_sackin_index,402,-0.7934455096028705,-0.8687598683480532,-0.7183321078158279,-0.6851547504410174,20
full_average_sackin_index,402,-0.6817975833063413,-0.6162062707786099,-0.8831812426455264,-0.8997821027899238,20
full_leaf_count,402,-0.4801881979479666,-0.5519097767026085,-0.0163791668648679,0.0486020731792021,20
cifar_average_branching_factor,402,-0.1429923459408017,-0.1792341947513163,0.198828383372727,0.2221506323986375,20
cifar_colless_index,402,-0.91580080636367,-0.944590178775232,-0.6251201527199028,-0.6265754255315934,20
cifar_average_colless_index,402,-0.6522411973653145,-0.5796711685674195,-0.6986356285287286,-0.7309037920469842,20
cifar_sackin_index,402,-0.7934455096028705,-0.8687598683480532,-0.7183321078158279,-0.6851547504410174,20
cifar_average_sackin_index,402,-0.6817975833063413,-0.6162062707786099,-0.8831812426455264,-0.8997821027899238,20
cifar_leaf_count,402,-0.4801881979479666,-0.5519097767026085,-0.0163791668648679,0.0486020731792021,20
densenet_average_branching_factor,201,-0.0419467818737827,-0.0725547040362226,0.3354918830573989,0.3575681425979796,20
densenet_colless_index,201,-0.9571724227714092,-0.9671521521959692,-0.5488892164718421,-0.56736996497461,20
