,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,4744,-0.207430548064339,-0.25183396703186145,-0.2602205798940779,-0.34432876920477956
full_colless_index,4744,-0.685569639059373,-0.6086230482192256,-0.22138380807768857,-0.23238891641750428
full_sackin_index,4744,-0.5786731842359936,-0.5624531139514721,-0.5323021745948102,-0.6060277042289529
full_total_volume,4744,0.033059588987342646,0.0790911777289898,0.1755566974490259,0.23978930735303597
full_missing_colless_frac,4744,0.2255246613546636,0.35611807194841866,0.4494629318076564,0.550281505835505
cifar_average_branching_factor,2400,-0.26470651705956266,-0.4245823434753558,-0.22465304905822292,-0.4548130912779481
cifar_colless_index,2400,-0.7099628846708391,-0.7197335382350195,-0.36720059721227094,-0.40656829891916696
cifar_sackin_index,2400,-0.5315354287892551,-0.5934172020420743,-0.47031250220893683,-0.6696313705273208
cifar_total_volume,2400,-0.0014976777871092007,-0.002383712919974579,0.0,0.0
cifar_missing_colless_frac,2400,0.21453214033365473,0.3282333350720479,0.39322315900843574,0.5859944118131136
mnist_average_branching_factor,2344,-0.15892357799949045,-0.1911663408583604,-0.4365162586681509,-0.7730684199326614
mnist_colless_index,2344,-0.7385837420226793,-0.7459093032985272,-0.032619014042767076,-0.10430491625883118
mnist_sackin_index,2344,-0.6296277635673553,-0.6357928265885214,-0.4769115318351054,-0.6594888826319888
mnist_total_volume,2344,-0.003041887250309038,-0.0035979321176799733,0.0,0.0
mnist_missing_colless_frac,2344,0.09587235636188315,0.1026785725958306,0.2959904297371412,0.5013070821677341
densenet_average_branching_factor,1206,0.05198432190214538,0.2788663642304772,0.2963896266713775,0.4492095484528598
densenet_colless_index,1206,-0.6444946821245825,-0.5245184852651745,-0.11485399810861821,-0.0889750784238532
densenet_sackin_index,1206,-0.6277907980473134,-0.5567727626243656,-0.4459924886751604,-0.48914923908576324
densenet_total_volume,1206,0.03288038083863048,0.09390789551369452,0.14126041486694269,0.25217479919195923
densenet_missing_colless_frac,1206,0.13439797789524738,0.37264317191584123,0.33715511124991165,0.5208085818517612
resnet_average_branching_factor,1206,-0.16531625351612467,-0.0974710746857197,-0.1548779081115826,-0.0988020609954502
resnet_colless_index,1206,-0.6442133130692346,-0.5223439103563924,-0.14578330549962162,-0.1386896667439267
resnet_sackin_index,1206,-0.652632611353696,-0.5622318500466547,-0.5279325603146686,-0.4971269818055195
resnet_total_volume,1206,0.050666940102595044,0.10479836890630745,0.21728927818719584,0.2585285176250941
resnet_missing_colless_frac,1206,0.020718699577902514,0.13691969825107875,0.19953059236669277,0.2439016040728991
vgg_average_branching_factor,1194,-0.5466817576869112,-0.3933765854085424,-0.387679877736889,-0.032993158255637055
vgg_colless_index,1194,-0.7108598033372827,-0.6775559995451084,-0.1570682944392238,-0.10342415790893116
vgg_sackin_index,1194,-0.5754671573996464,-0.5492282079477805,-0.41294624162446797,-0.19671620592419584
vgg_total_volume,1194,0.00574213632638636,0.04719409822544627,0.09595271951044845,0.2317147003928355
vgg_missing_colless_frac,1194,0.31397782442150585,0.2572312572325212,0.4638373018761113,0.17226517773479827
wres_average_branching_factor,1138,-0.45145729198814005,-0.6609231320894096,-0.7645213696322735,-0.7312139476886119
