,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,402,-0.06129680362479051,-0.06327529236697027,0.03091973882013307,0.08077131389478609
full_colless_index,402,-0.7833180641197097,-0.8570556148994012,-0.3636729208362892,-0.37058634601951446
full_average_colless_index,402,-0.29726192203929597,-0.2924190047429733,-0.41502049459790724,-0.4693202701261439
full_sackin_index,402,-0.753456619486655,-0.8333617442295752,-0.6495647856785584,-0.5993501181443113
full_average_sackin_index,402,-0.6610756743084718,-0.5956839802504902,-0.8707937428780916,-0.8874534194851789
full_leaf_count,402,-0.3918007431816242,-0.4631530460298472,0.00564366644441274,0.07587693057576171
cifar_average_branching_factor,402,-0.06129680362479051,-0.06327529236697027,0.03091973882013307,0.08077131389478609
cifar_colless_index,402,-0.7833180641197097,-0.8570556148994012,-0.3636729208362892,-0.37058634601951446
cifar_average_colless_index,402,-0.29726192203929597,-0.2924190047429733,-0.41502049459790724,-0.4693202701261439
cifar_sackin_index,402,-0.753456619486655,-0.8333617442295752,-0.6495647856785584,-0.5993501181443113
cifar_average_sackin_index,402,-0.6610756743084718,-0.5956839802504902,-0.8707937428780916,-0.8874534194851789
cifar_leaf_count,402,-0.3918007431816242,-0.4631530460298472,0.00564366644441274,0.07587693057576171
densenet_average_branching_factor,201,0.045739569066578896,0.03016290830411745,0.2607460733775273,0.3098860226778561
densenet_colless_index,201,-0.8406254690383868,-0.8903630487174422,-0.3054385963028088,-0.32313052089897565
densenet_average_colless_index,201,-0.5668675005648657,-0.527273971146061,-0.6893784984007961,-0.7462119057489398
densenet_sackin_index,201,-0.7708551518472558,-0.8448643947021646,-0.5785192237541331,-0.5430066093869353
densenet_average_sackin_index,201,-0.6429761146117535,-0.6049160629309314,-0.880859677353901,-0.9315701002134918
densenet_leaf_count,201,-0.2310942101941652,-0.2859417635451743,0.4101982712473535,0.49304642894927186
resnet_average_branching_factor,201,-0.22867176801976036,-0.21151307463374935,-0.29861644882581934,-0.27127892262809916
resnet_colless_index,201,-0.7297872566935045,-0.8261779831863095,-0.4136483587415313,-0.3950099971690287
resnet_average_colless_index,201,-0.049527075758141664,-0.07540927746503891,-0.049590159846913735,-0.043725145674010354
resnet_sackin_index,201,-0.7601319088053163,-0.8460380011576197,-0.8836232773497082,-0.8560935313812841
resnet_average_sackin_index,201,-0.6889667964703939,-0.5860942491110749,-0.869195101065261,-0.8403012888125391
resnet_leaf_count,201,-0.6810494362160092,-0.780812051600758,-0.48506845481017735,-0.4730687242125992
cifar_densenet_average_branching_factor,201,0.045739569066578896,0.03016290830411745,0.2607460733775273,0.3098860226778561
cifar_densenet_colless_index,201,-0.8406254690383868,-0.8903630487174422,-0.3054385963028088,-0.32313052089897565
cifar_densenet_average_colless_index,201,-0.5668675005648657,-0.527273971146061,-0.6893784984007961,-0.7462119057489398
cifar_densenet_sackin_index,201,-0.7708551518472558,-0.8448643947021646,-0.5785192237541331,-0.5430066093869353
cifar_densenet_average_sackin_index,201,-0.6429761146117535,-0.6049160629309314,-0.880859677353901,-0.9315701002134918
cifar_densenet_leaf_count,201,-0.2310942101941652,-0.2859417635451743,0.4101982712473535,0.49304642894927186
cifar_resnet_average_branching_factor,201,-0.22867176801976036,-0.21151307463374935,-0.29861644882581934,-0.27127892262809916
cifar_resnet_colless_index,201,-0.7297872566935045,-0.8261779831863095,-0.4136483587415313,-0.3950099971690287
cifar_resnet_average_colless_index,201,-0.049527075758141664,-0.07540927746503891,-0.049590159846913735,-0.043725145674010354
cifar_resnet_sackin_index,201,-0.7601319088053163,-0.8460380011576197,-0.8836232773497082,-0.8560935313812841
cifar_resnet_average_sackin_index,201,-0.6889667964703939,-0.5860942491110749,-0.869195101065261,-0.8403012888125391
cifar_resnet_leaf_count,201,-0.6810494362160092,-0.780812051600758,-0.48506845481017735,-0.4730687242125992
