dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,trainUval,densenet,60,0,a1,1e-06,1e-06,623,2.0733333333333333,766037.0,2765.476534296029,277,23,0.07666666666666666,18383292.0,56914.21671826625,323,60000,0.09992,0.0998
cifar,trainUval,densenet,60,27,a1,1e-06,1e-06,83,2.0,124099.0,3182.025641025641,39,2,0.04878048780487805,1859911.0,44283.59523809524,42,60000,0.92928,0.8185
cifar,trainUval,densenet,60,55,a1,1e-06,1e-06,48,1.9583333333333333,126673.0,5507.521739130435,23,1,0.041666666666666664,930395.0,38766.458333333336,24,60000,0.97576,0.8387
cifar,trainUval,densenet,60,76,a1,1e-06,1e-06,56,1.9642857142857142,110708.0,4100.2962962962965,27,1,0.03571428571428571,1047807.0,37421.67857142857,28,60000,0.93106,0.8272
cifar,trainUval,densenet,60,106,a1,1e-06,1e-06,115,2.0,96308.0,1751.0545454545454,55,2,0.03508771929824561,1714129.0,29553.94827586207,58,60000,0.98184,0.8491
cifar,trainUval,densenet,60,133,a1,1e-06,1e-06,226,2.0454545454545454,168045.0,1631.504854368932,103,7,0.06363636363636363,1243557.0,10720.318965517241,116,60000,0.99976,0.873
cifar,trainUval,densenet,60,169,a1,1e-06,1e-06,106,1.9811320754716981,134125.0,2579.326923076923,52,1,0.018867924528301886,1665868.0,31431.471698113208,53,60000,0.95996,0.838
cifar,trainUval,densenet,60,192,a1,1e-06,1e-06,103,2.0816326530612246,126599.0,2944.1627906976746,43,6,0.12244897959183673,1242312.0,23005.777777777777,54,60000,0.97034,0.8451
cifar,trainUval,resnet,60,25,a1,1e-06,1e-06,87,2.0,87694.0,2138.878048780488,41,2,0.046511627906976744,1918984.0,43613.27272727273,44,60000,0.90082,0.82
cifar,trainUval,resnet,60,43,a1,1e-06,1e-06,76,1.9736842105263157,87893.0,2375.4864864864867,37,1,0.02631578947368421,1599048.0,42080.21052631579,38,60000,0.9033,0.8205
cifar,trainUval,resnet,60,71,a1,1e-06,1e-06,84,1.9761904761904763,89355.0,2179.390243902439,41,1,0.023809523809523808,1786766.0,42542.04761904762,42,60000,0.89708,0.8014
cifar,trainUval,resnet,60,100,a1,1e-06,1e-06,77,2.0,122479.0,3402.1944444444443,36,2,0.05263157894736842,1427315.0,36597.820512820515,39,60000,0.96114,0.8363
