dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.0,0.0,1702,2.087116564417178,4037002.0,5375.501997336884,751,64,0.0785276073619632,39114298.0,44097.291995490414,887,50000,0.09992,0.0998
cifar,train,densenet,20,28,a1,0.0,0.0,286,2.0652173913043477,511053.0,3961.6511627906975,129,9,0.06521739130434782,6167899.0,41674.99324324324,148,50000,0.9328,0.8186
cifar,train,densenet,20,56,a1,0.0,0.0,337,2.1,290172.0,2001.1862068965518,145,15,0.09375,7031995.0,39728.78531073446,177,50000,0.98054,0.8416
cifar,train,densenet,20,84,a1,0.0,0.0,291,2.027972027972028,393636.0,2873.2554744525546,137,6,0.04195804195804196,5799058.0,39182.82432432433,148,50000,0.9396,0.8237
cifar,train,densenet,20,112,a1,0.0,0.0,436,2.0813397129186604,277676.0,1438.7357512953367,193,16,0.07655502392344497,8559805.0,37708.39207048458,227,50000,0.98932,0.8511
cifar,train,densenet,20,140,a1,0.0,0.0,751,2.0604395604395602,400603.0,1178.2441176470588,340,24,0.06593406593406594,15287171.0,39501.733850129196,387,50000,0.99982,0.874
cifar,train,densenet,20,168,a1,0.0,0.0,333,2.075,303337.0,2063.517006802721,147,13,0.08125,6703965.0,38751.242774566475,173,50000,0.95934,0.8445
cifar,train,densenet,20,196,a1,0.0,0.0,433,2.0669856459330145,175362.0,903.9278350515464,194,15,0.07177033492822966,8232012.0,36750.05357142857,224,50000,0.97668,0.8533
cifar,val,densenet,20,38,a1,0.0,0.0,104,2.019607843137255,22933.0,477.7708333333333,48,3,0.058823529411764705,440521.0,8311.716981132075,53,10000,0.88806,0.8012
cifar,val,densenet,20,70,a1,0.0,0.0,157,2.08,17314.0,258.4179104477612,67,8,0.10666666666666667,691564.0,8433.707317073171,82,10000,0.99714,0.8502
cifar,val,densenet,20,96,a1,0.0,0.0,138,2.014705882352941,46072.0,708.8,65,3,0.04411764705882353,560108.0,8001.542857142857,70,10000,0.97416,0.846
cifar,val,densenet,20,123,a1,0.0,0.0,178,2.0344827586206895,30313.0,369.6707317073171,82,5,0.05747126436781609,761682.0,8370.131868131868,91,10000,0.99754,0.863
cifar,val,densenet,20,140,a1,0.0,0.0,210,2.111111111111111,19446.0,220.97727272727272,88,11,0.1111111111111111,932937.0,8404.837837837838,111,10000,0.99982,0.874
cifar,val,densenet,20,173,a1,0.0,0.0,111,2.0,24272.0,457.9622641509434,53,2,0.03636363636363636,467695.0,8351.69642857143,56,10000,0.95934,0.8405
cifar,val,densenet,20,137,a1,0.0,0.0,210,2.0096153846153846,23586.0,233.52475247524754,101,3,0.028846153846153848,876802.0,8271.716981132075,106,10000,0.99978,0.874
cifar,trainUval,densenet,20,23,a1,0.0,0.0,284,2.050724637681159,438442.0,3398.7751937984494,129,9,0.06521739130434782,7249128.0,49651.561643835616,146,60000,0.89836,0.805
cifar,trainUval,densenet,20,51,a1,0.0,0.0,310,2.019607843137255,398803.0,2676.530201342282,149,4,0.026143790849673203,7566464.0,48194.03821656051,157,60000,0.96086,0.8322
cifar,trainUval,densenet,20,81,a1,0.0,0.0,302,2.0337837837837838,484998.0,3439.7021276595747,141,7,0.0472972972972973,7480772.0,48576.44155844156,154,60000,0.94396,0.8272
cifar,trainUval,densenet,20,109,a1,0.0,0.0,483,2.0956521739130434,353459.0,1707.5314009661836,207,23,0.1,12265545.0,48480.41501976285,253,60000,0.98506,0.854
cifar,trainUval,densenet,20,137,a1,0.0,0.0,818,2.0841836734693877,612569.0,1711.0865921787708,358,34,0.08673469387755102,20816439.0,48864.880281690144,426,60000,0.99978,0.874
cifar,trainUval,densenet,20,165,a1,0.0,0.0,335,2.049079754601227,275985.0,1803.8235294117646,153,10,0.06134969325153374,8137744.0,47312.46511627907,172,60000,0.9545,0.8387
cifar,trainUval,densenet,20,192,a1,0.0,0.0,451,2.0361990950226243,433037.0,2023.53738317757,214,7,0.03167420814479638,10770328.0,46827.51304347826,230,60000,0.97034,0.8451
cifar,train,resnet,20,18,a1,0.0,0.0,276,2.0676691729323307,320875.0,2608.7398373983738,123,10,0.07518796992481203,5982657.0,41836.76223776224,143,50000,0.82292,0.7717
cifar,train,resnet,20,28,a1,0.0,0.0,283,2.0434782608695654,562709.0,4328.530769230769,130,8,0.057971014492753624,6042411.0,41671.8,145,50000,0.91558,0.8236
cifar,train,resnet,20,58,a1,0.0,0.0,297,2.0413793103448277,586016.0,4277.489051094891,137,8,0.05517241379310345,6336364.0,41686.60526315789,152,50000,0.96932,0.8424
cifar,train,resnet,20,85,a1,0.0,0.0,372,2.0497237569060776,916050.0,5388.529411764706,170,11,0.06077348066298342,7741321.0,40530.476439790575,191,50000,0.9331,0.8219
cifar,train,resnet,20,113,a1,0.0,0.0,298,2.0342465753424657,388885.0,2797.73381294964,139,7,0.04794520547945205,5820788.0,38294.65789473684,152,50000,0.97938,0.8427
