,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,1206,0.15800934344609577,0.12697615023565267,0.2867393604298686,0.2971597641200171
full_colless_index,1206,-0.5240767326362212,-0.5625854264533511,-0.3109649394985663,-0.3133324111255045
full_sackin_index,1206,-0.0969570994215691,-0.15462333925379804,0.3539876081791743,0.36038102388067994
full_total_volume,1206,7.266643861659139e-18,5.762642553067705e-17,0.0,0.0
full_missing_colless_frac,1206,0.11054898569278095,0.0965632127742009,0.15729870777812907,0.16506311590234188
cifar_average_branching_factor,1206,0.15800934344609577,0.12697615023565267,0.2867393604298686,0.2971597641200171
cifar_colless_index,1206,-0.5240767326362212,-0.5625854264533511,-0.3109649394985663,-0.3133324111255045
cifar_sackin_index,1206,-0.0969570994215691,-0.15462333925379804,0.3539876081791743,0.36038102388067994
cifar_total_volume,1206,7.266643861659139e-18,5.762642553067705e-17,0.0,0.0
cifar_missing_colless_frac,1206,0.11054898569278095,0.0965632127742009,0.15729870777812907,0.16506311590234188
densenet_average_branching_factor,603,0.2087099812283554,0.1750915864998972,0.37987646569643013,0.3898958203826061
densenet_colless_index,603,-0.5618057087626522,-0.6021464976562662,-0.22976091400795948,-0.23806702779618144
densenet_sackin_index,603,-0.041056639026358505,-0.08613124236168217,0.43123008760277143,0.42842696005940045
densenet_total_volume,603,1.1550903551061746e-17,3.299579736484353e-17,0.0,0.0
densenet_missing_colless_frac,603,0.15227468202865035,0.1352110219339056,0.21351364118201,0.22107765346610653
resnet_average_branching_factor,603,0.09748591076337054,0.06892843980664415,0.15928286111273265,0.15811006206351574
resnet_colless_index,603,-0.4929704099186773,-0.5339969626886323,-0.34999150913529997,-0.33490306895430205
resnet_sackin_index,603,-0.17856543465533795,-0.2534564293877833,0.26877992114713534,0.2720433167831108
resnet_total_volume,603,-1.4676215192562392e-17,-1.3470488029726762e-16,0.0,0.0
resnet_missing_colless_frac,603,0.06478723870763335,0.05375394367393515,0.08062455954588127,0.08086633479133411
cifar_densenet_average_branching_factor,603,0.2087099812283554,0.1750915864998972,0.37987646569643013,0.3898958203826061
cifar_densenet_colless_index,603,-0.5618057087626522,-0.6021464976562662,-0.22976091400795948,-0.23806702779618144
cifar_densenet_sackin_index,603,-0.041056639026358505,-0.08613124236168217,0.43123008760277143,0.42842696005940045
cifar_densenet_total_volume,603,1.1550903551061746e-17,3.299579736484353e-17,0.0,0.0
cifar_densenet_missing_colless_frac,603,0.15227468202865035,0.1352110219339056,0.21351364118201,0.22107765346610653
cifar_resnet_average_branching_factor,603,0.09748591076337054,0.06892843980664415,0.15928286111273265,0.15811006206351574
cifar_resnet_colless_index,603,-0.4929704099186773,-0.5339969626886323,-0.34999150913529997,-0.33490306895430205
cifar_resnet_sackin_index,603,-0.17856543465533795,-0.2534564293877833,0.26877992114713534,0.2720433167831108
cifar_resnet_total_volume,603,-1.4676215192562392e-17,-1.3470488029726762e-16,0.0,0.0
cifar_resnet_missing_colless_frac,603,0.06478723870763335,0.05375394367393515,0.08062455954588127,0.08086633479133411
