dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist-r0.0,train,densenet,20,200,a1,0.0,0.0,491,2.130434782608696,220670.0,1092.4257425742574,202,28,0.12173913043478261,2501695.0,9585.038314176245,261,60000,0.9999666666666667,0.9754
mnist-r0.05,train,densenet,20,200,a5,0.0,0.0,2417,2.136162687886826,4072620.0,4084.874623871615,997,134,0.1184792219274978,68421703.0,53205.056765163295,1286,60000,0.9984,0.9571
mnist-r0.1,trainUval,densenet,20,200,a1,0.0,0.0,720,2.1209439528023597,196278.0,649.9271523178808,302,37,0.10914454277286136,16050738.0,42127.92125984252,381,70000,0.9991,0.9301
mnist-r0.15,trainUval,densenet,20,200,a5,0.0,0.0,3290,2.1609724047306176,6142818.0,4674.899543378995,1314,208,0.1366622864651774,111118570.0,62849.86990950226,1768,70000,0.9991666666666666,0.9029
mnist-r0.2,val,densenet,20,200,a1,0.0,0.0,127,2.1,9659.0,182.24528301886792,53,7,0.11666666666666667,432200.0,6450.746268656716,67,10000,0.9991333333333333,0.8578
mnist-r0.25,val,densenet,20,200,a5,0.0,0.0,512,2.1470588235294117,126379.0,622.5566502463054,203,35,0.14705882352941177,2443625.0,8918.339416058394,274,10000,0.9981,0.8267
mnist-r0.35,train,densenet,20,200,a1,0.0,0.0,1036,2.1165644171779143,2734746.0,6215.331818181819,440,49,0.10020449897750511,25870740.0,47295.68555758684,547,60000,0.9922666666666666,0.735
mnist-r0.4,train,densenet,20,200,a5,0.0,0.0,3349,2.1572164948453607,6277320.0,4670.625,1344,208,0.13402061855670103,95933518.0,53385.37451307735,1797,60000,0.9890333333333333,0.7028
mnist-r0.45,trainUval,densenet,20,200,a1,0.0,0.0,1693,2.1336696090794454,6334099.0,8971.811614730877,706,87,0.10970996216897856,51666828.0,57407.58666666667,900,70000,0.98165,0.6491
mnist-r0.5,trainUval,densenet,20,200,a5,0.0,0.0,3957,2.171240395170143,8318708.0,5339.350449293966,1558,264,0.14489571899012074,133649000.0,62599.063231850116,2135,70000,0.9771333333333333,0.5933
mnist-r0.6,val,densenet,20,200,a1,0.0,0.0,285,2.1194029850746268,59705.0,501.7226890756302,119,15,0.11194029850746269,1365659.0,9044.099337748345,151,10000,0.9523333333333334,0.5088
mnist-r0.7,val,densenet,20,200,a5,0.0,0.0,479,2.2027649769585254,107140.0,605.3107344632768,177,40,0.18433179723502305,2382602.0,9093.900763358779,262,10000,0.9321833333333334,0.4065
mnist-r0.9,train,densenet,20,200,a1,0.0,0.0,5489,2.445632798573975,14444761.0,8481.950088079859,1703,541,0.2410873440285205,164551737.0,50709.318027734975,3245,60000,0.8673833333333333,0.2009
mnist-r1.0,train,densenet,20,200,a5,0.0,0.0,4435,2.25419420437214,8345080.0,5275.018963337548,1582,385,0.19572953736654805,130370276.0,52824.260940032415,2468,60000,0.8492833333333333,0.0991
mnist-r0.0,trainUval,resnet,20,200,a4,0.0,0.0,2107,2.118712273641851,3534958.0,4007.8888888888887,882,112,0.11267605633802817,59943363.0,53857.46900269542,1113,70000,1.0,0.9813
mnist-r0.1,trainUval,resnet,20,200,a2,0.0,0.0,2910,2.1436993367722916,4905294.0,4164.086587436333,1178,179,0.13190862196020633,97044925.0,62488.68319381842,1553,70000,0.9999666666666667,0.941
mnist-r0.2,train,resnet,20,200,a5,0.0,0.0,3236,2.1552298467688207,5553450.0,4278.46687211094,1298,203,0.13524317121918722,92945387.0,53570.82824207493,1735,60000,1.0,0.8754
mnist-r0.3,train,resnet,20,200,a3,0.0,0.0,3219,2.136786188579017,6425406.0,4871.422289613343,1319,187,0.12416998671978752,90576599.0,52876.00642148278,1713,60000,0.9999,0.8042
mnist-r0.4,train,resnet,20,200,a1,0.0,0.0,1975,2.1668496158068056,5558030.0,6973.688833124216,797,114,0.1251372118551043,54319322.0,51051.99436090225,1064,60000,0.9999,0.7172
