dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar-r0.0,train,densenet,20,200,a1,0.0,0.0,1946,2.1256830601092895,2328686.0,2853.781862745098,816,99,0.10819672131147541,42862506.0,41573.72065955383,1031,50000,0.99864,0.8365
cifar-r0.05,train,densenet,20,200,a5,0.0,0.0,2327,2.155699721964782,3680541.0,3932.201923076923,936,143,0.13253012048192772,56537154.0,45302.206730769234,1248,50000,0.99688,0.8074
cifar-r0.1,trainUval,densenet,20,200,a1,0.0,0.0,2828,2.0987379361544174,6778323.0,5501.885551948052,1232,115,0.08537490720118783,78208074.0,52807.61242403781,1481,60000,0.9955,0.7726
cifar-r0.15,trainUval,densenet,20,200,a5,0.0,0.0,3547,2.155623100303951,7174550.0,5017.167832167832,1430,215,0.13069908814589665,102296492.0,53783.644584647736,1902,60000,0.99446,0.7457
cifar-r0.2,val,densenet,20,200,a1,0.0,0.0,470,2.1221719457013575,119790.0,608.0710659898477,197,24,0.1085972850678733,2228258.0,8948.827309236947,249,10000,0.9943,0.7188
cifar-r0.25,val,densenet,20,200,a5,0.0,0.0,519,2.1493775933609958,147194.0,707.6634615384615,208,33,0.13692946058091288,2519185.0,9061.81654676259,278,10000,0.99266,0.6933
cifar-r0.35,train,densenet,20,200,a1,0.0,0.0,3256,2.142857142857143,6830355.0,5166.683055975795,1322,197,0.12969058591178406,75886335.0,43688.16062176166,1737,50000,0.99074,0.6086
cifar-r0.4,train,densenet,20,200,a5,0.0,0.0,3102,2.179198875614898,5106786.0,4230.974316487158,1207,216,0.151791988756149,75064846.0,44708.06789755807,1679,50000,0.98562,0.5638
cifar-r0.45,trainUval,densenet,20,200,a1,0.0,0.0,4064,2.146328578975172,10228423.0,6191.539346246974,1652,241,0.12731114632857898,113669394.0,52358.08106863197,2171,60000,0.98492,0.5336
cifar-r0.5,trainUval,densenet,20,200,a5,0.0,0.0,3831,2.1724333522404993,7918533.0,5257.990039840637,1506,257,0.14577424844015882,110625921.0,53494.15909090909,2068,60000,0.98472,0.5092
cifar-r0.6,val,densenet,20,200,a1,0.0,0.0,549,2.115830115830116,171208.0,747.6331877729258,229,30,0.11583011583011583,2601909.0,8972.1,290,10000,0.98172,0.4162
cifar-r0.7,val,densenet,20,200,a5,0.0,0.0,591,2.193308550185874,172023.0,771.4035874439462,223,46,0.17100371747211895,2904731.0,9020.903726708075,322,10000,0.97752,0.3136
cifar-r0.9,train,densenet,20,200,a1,0.0,0.0,3411,2.156862745098039,6832503.0,4998.1733723482075,1367,214,0.13535736875395318,79682948.0,43542.59453551913,1830,50000,0.94792,0.1563
cifar-r1.0,train,densenet,20,200,a5,0.0,0.0,3490,2.1550339715874,7636859.0,5400.890381895332,1414,205,0.1266213712168005,81240627.0,43420.96579369321,1871,50000,0.91354,0.101
cifar-r0.0,trainUval,resnet,20,200,a4,0.0,0.0,2445,2.2218181818181817,3887899.0,4216.810195227766,922,178,0.1618181818181818,74530852.0,55413.27286245353,1345,60000,0.99552,0.8326
cifar-r0.1,trainUval,resnet,20,200,a2,0.0,0.0,3350,2.1236525047558654,8351555.0,5991.072453371593,1394,183,0.1160431198478123,93626463.0,52806.80372250423,1773,60000,0.99212,0.7727
cifar-r0.2,train,resnet,20,200,a5,0.0,0.0,3135,2.2498205312275665,5015210.0,4473.871543264942,1121,272,0.19526202440775306,77812982.0,44668.76119402985,1742,50000,0.98526,0.7109
cifar-r0.3,train,resnet,20,200,a3,0.0,0.0,3252,2.167333333333333,5959991.0,4612.99613003096,1292,208,0.13866666666666666,77802874.0,44408.033105022834,1752,50000,0.98254,0.6435
cifar-r0.4,train,resnet,20,200,a1,0.0,0.0,2755,2.1217257318952236,6446336.0,5571.595505617977,1157,141,0.1086286594761171,63467771.0,43560.584076870284,1457,50000,0.97728,0.5608
cifar-r0.45,val,resnet,20,200,a4,0.0,0.0,550,2.14453125,163256.0,742.0727272727273,220,36,0.140625,2659446.0,9045.734693877552,294,10000,0.97488,0.5223
cifar-r0.6,val,resnet,20,200,a2,0.0,0.0,651,2.159468438538206,197944.0,767.2248062015503,258,43,0.14285714285714285,3126148.0,8931.851428571428,350,10000,0.97206,0.4108
cifar-r0.8,trainUval,resnet,20,200,a5,0.0,0.0,4074,2.193322563274098,9494085.0,6066.507987220447,1565,292,0.15724286483575659,117022227.0,52784.044654939105,2217,60000,0.94646,0.2278
cifar-r1.0,trainUval,resnet,20,200,a3,0.0,0.0,4074,2.138057742782152,10243601.0,6144.931613677265,1667,238,0.12493438320209974,113832487.0,52481.552328261874,2169,60000,0.87664,0.097
cifar-r0.0,val,vgg,20,200,a7,0.0,0.0,653,2.536964980544747,198698.0,1018.9641025641025,195,62,0.24124513618677043,3534212.0,8924.777777777777,396,10000,0.9958,0.8916
cifar-r0.1,train,vgg,20,200,a7,0.0,0.0,3003,2.5248107653490326,3801795.0,4379.948156682028,868,321,0.26997476871320436,81420968.0,44884.76736493936,1814,50000,0.98082,0.8442
cifar-r0.15,trainUval,vgg,20,200,a7,0.0,0.0,5580,2.8507920286152273,9002533.0,6898.492720306514,1305,652,0.3331630045988758,185606062.0,51229.93706872757,3623,60000,0.96344,0.8114
cifar-r0.2,val,vgg,20,200,a7,0.0,0.0,571,2.533333333333333,122303.0,779.0,157,68,0.3022222222222222,3128413.0,9041.656069364162,346,10000,0.9542,0.79
cifar-r0.3,train,vgg,20,200,a7,0.0,0.0,2909,2.5221162185602775,4155374.0,4877.199530516432,852,301,0.2610581092801388,78667638.0,44799.33826879271,1756,50000,0.92966,0.7058
cifar-r0.35,trainUval,vgg,20,200,a7,0.0,0.0,3948,2.6489932885906042,6418097.0,6153.496644295302,1043,447,0.3,130808802.0,53217.57607811229,2458,60000,0.90418,0.6512
cifar-r0.4,val,vgg,20,200,a7,0.0,0.0,497,2.517766497461929,119833.0,820.7739726027397,146,51,0.25888324873096447,2730732.0,9102.44,300,10000,0.89634,0.6153
cifar-r0.5,train,vgg,20,200,a7,0.0,0.0,3449,2.6523076923076925,4499982.0,4988.893569844789,902,398,0.30615384615384617,95263218.0,44329.09167054444,2149,50000,0.86394,0.5262
cifar-r0.6,trainUval,vgg,20,200,a7,0.0,0.0,3689,2.5971830985915494,5635174.0,5497.730731707317,1025,395,0.27816901408450706,122112946.0,53817.9576906126,2269,60000,0.8331,0.4654
cifar-r0.7,val,vgg,20,200,a7,0.0,0.0,629,2.5737704918032787,164470.0,967.4705882352941,170,74,0.30327868852459017,3435909.0,8924.43896103896,385,10000,0.82944,0.3394
cifar-r0.9,train,vgg,20,200,a7,0.0,0.0,3669,2.71301775147929,5640498.0,6144.333333333333,918,434,0.3210059171597633,100189452.0,43241.02373759171,2317,50000,0.68164,0.1617
