dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet_c,20,40,a4,1e-06,1e-06,285,2.0285714285714285,58993.0,440.24626865671644,134,6,0.04285714285714286,1105477.0,7623.979310344827,145,10000,0.9910833333333333,0.9751
mnist,val,resnet_c,20,104,a5,1e-06,1e-06,342,2.066666666666667,122325.0,804.7697368421053,152,13,0.07878787878787878,1432893.0,8095.440677966101,177,10000,0.9995666666666667,0.9787
mnist,train,resnet_c,20,48,a5,1e-06,1e-06,1880,2.0808416389811737,2129909.0,2563.0673886883274,831,72,0.07973421926910298,46994697.0,48101.02047082907,977,60000,0.9941166666666666,0.9759
mnist,train,resnet_c,20,32,a5,1e-06,1e-06,1644,2.087674714104193,1461572.0,2035.6155988857938,718,69,0.08767471410419314,39991584.0,46664.625437572926,857,60000,0.9856166666666667,0.974
mnist,trainUval,resnet_c,20,128,a5,1e-06,1e-06,1952,2.075531914893617,4971160.0,5720.552359033371,869,71,0.07553191489361702,58152499.0,57462.94367588933,1012,70000,0.9996666666666667,0.9804
mnist,trainUval,resnet_c,20,128,a4,1e-06,1e-06,1816,2.0742857142857143,3249739.0,4012.0234567901234,810,65,0.07428571428571429,51025527.0,54224.78958554729,941,70000,0.9996666666666667,0.9804
mnist,val,resnet_a,20,80,a5,1e-06,1e-06,395,2.0414507772020727,117449.0,641.7978142076503,183,10,0.05181347150259067,1612800.0,7984.158415841584,202,10000,0.9982333333333333,0.979
mnist,val,resnet_a,20,96,a2,1e-06,1e-06,296,2.048611111111111,23452.0,172.44117647058823,136,8,0.05555555555555555,887630.0,5839.671052631579,152,10000,0.99905,0.9783
mnist,train,resnet_a,20,48,a3,1e-06,1e-06,1657,2.0777917189460475,1295750.0,1760.5298913043478,736,61,0.07653701380175659,35143243.0,40864.23604651163,860,60000,0.99415,0.9771
mnist,train,resnet_a,20,72,a5,1e-06,1e-06,1854,2.0867117117117115,3091502.0,3797.914004914005,814,74,0.08333333333333333,48062999.0,49754.65734989648,966,60000,0.99605,0.9787
mnist,trainUval,resnet_a,20,8,a5,1e-06,1e-06,1592,2.074315514993481,1487131.0,2094.550704225352,710,57,0.07431551499348109,42747840.0,51815.56363636364,825,70000,0.9588833333333333,0.957
mnist,val,resnet_b,20,32,a4,1e-06,1e-06,303,2.0827586206896553,56946.0,431.40909090909093,132,13,0.0896551724137931,1208188.0,7646.7594936708865,158,10000,0.9854833333333334,0.9749
