,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,57,-0.11735443980458947,-0.12820292674799566,-0.2161653166038194,-0.30025396579430674
full_colless_index,57,-0.1770691852176759,-0.15670421044969082,0.11292285886744144,0.1409830688362276
full_sackin_index,57,-0.43025156320851565,-0.44078872206429837,-0.48764357949227305,-0.4783876074539582
full_average_sackin_index,57,-0.6102102141464888,-0.6107682872873803,-0.4793619203000966,-0.4703982421156232
full_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
full_missing_colless_frac,57,-0.1768625303286453,-0.18707677519241864,-0.23569009670576954,-0.3403329920600468
mnist_average_branching_factor,57,-0.11735443980458947,-0.12820292674799566,-0.2161653166038194,-0.30025396579430674
mnist_colless_index,57,-0.1770691852176759,-0.15670421044969082,0.11292285886744144,0.1409830688362276
mnist_sackin_index,57,-0.43025156320851565,-0.44078872206429837,-0.48764357949227305,-0.4783876074539582
mnist_average_sackin_index,57,-0.6102102141464888,-0.6107682872873803,-0.4793619203000966,-0.4703982421156232
mnist_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_missing_colless_frac,57,-0.1768625303286453,-0.18707677519241864,-0.23569009670576954,-0.3403329920600468
resnet_average_branching_factor,57,-0.11735443980458947,-0.12820292674799566,-0.2161653166038194,-0.30025396579430674
resnet_colless_index,57,-0.1770691852176759,-0.15670421044969082,0.11292285886744144,0.1409830688362276
resnet_sackin_index,57,-0.43025156320851565,-0.44078872206429837,-0.48764357949227305,-0.4783876074539582
resnet_average_sackin_index,57,-0.6102102141464888,-0.6107682872873803,-0.4793619203000966,-0.4703982421156232
resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
resnet_missing_colless_frac,57,-0.1768625303286453,-0.18707677519241864,-0.23569009670576954,-0.3403329920600468
mnist_resnet_average_branching_factor,57,-0.11735443980458947,-0.12820292674799566,-0.2161653166038194,-0.30025396579430674
mnist_resnet_colless_index,57,-0.1770691852176759,-0.15670421044969082,0.11292285886744144,0.1409830688362276
mnist_resnet_sackin_index,57,-0.43025156320851565,-0.44078872206429837,-0.48764357949227305,-0.4783876074539582
mnist_resnet_average_sackin_index,57,-0.6102102141464888,-0.6107682872873803,-0.4793619203000966,-0.4703982421156232
mnist_resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_resnet_missing_colless_frac,57,-0.1768625303286453,-0.18707677519241864,-0.23569009670576954,-0.3403329920600468
