dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,val,resnet,20,40,a4,1e-06,1e-06,324,2.0974025974025974,138521.0,1003.7753623188406,138,16,0.1038961038961039,1496910.0,8805.35294117647,170,10000,0.85102,0.8129
cifar,val,resnet,20,104,a5,1e-06,1e-06,374,2.095505617977528,110686.0,696.1383647798742,159,19,0.10674157303370786,1787748.0,9121.163265306122,196,10000,0.94004,0.8348
cifar,train,resnet,20,48,a5,1e-06,1e-06,1805,2.137440758293839,3035717.0,4085.7563930013457,743,101,0.11966824644549763,43771646.0,45548.01873048907,961,50000,0.8891,0.8237
cifar,train,resnet,20,32,a5,1e-06,1e-06,1869,2.149597238204833,3149784.0,4171.899337748345,755,114,0.13118527042577677,45387922.0,45387.922,1000,50000,0.81416,0.7761
cifar,trainUval,resnet,20,128,a5,1e-06,1e-06,2766,2.184044233807267,5077569.0,4658.320183486238,1090,176,0.13902053712480253,82045932.0,54697.288,1500,60000,0.9858,0.856
cifar,trainUval,resnet,20,128,a4,1e-06,1e-06,2617,2.19279128248114,4983193.0,4856.913255360624,1026,167,0.1399832355406538,77534022.0,54448.04915730337,1424,60000,0.9858,0.856
mnist,val,resnet,20,80,a5,1e-06,1e-06,323,2.050955414012739,120608.0,820.4625850340136,147,10,0.06369426751592357,1359471.0,8189.584337349397,166,10000,0.9974833333333334,0.9774
mnist,val,resnet,20,96,a2,1e-06,1e-06,274,2.0681818181818183,25772.0,211.24590163934425,122,10,0.07575757575757576,894887.0,6302.021126760564,142,10000,0.9994,0.9782
mnist,train,resnet,20,48,a3,1e-06,1e-06,1581,2.0927152317880795,977237.0,1414.2358900144718,691,64,0.0847682119205298,34014364.0,41179.617433414045,826,60000,0.9947,0.9774
mnist,train,resnet,20,72,a5,1e-06,1e-06,1838,2.0994285714285716,2272752.0,2869.6363636363635,792,83,0.09485714285714286,45741610.0,47499.07580477674,963,60000,0.9960833333333333,0.9764
mnist,trainUval,resnet,20,8,a5,1e-06,1e-06,1500,2.0935754189944134,1121622.0,1720.2791411042945,652,64,0.0893854748603352,40118425.0,51171.460459183676,784,70000,0.9588166666666667,0.9547
cifar,val,resnet,20,120,a2,1e-06,1e-06,253,2.0826446280991737,51149.0,464.9909090909091,110,11,0.09090909090909091,962188.0,7289.30303030303,132,10000,0.97464,0.8543
cifar,val,resnet,20,56,a5,1e-06,1e-06,397,2.073298429319372,148097.0,846.2685714285715,175,16,0.08376963350785341,1852434.0,8992.398058252427,206,10000,0.9302,0.8365
cifar,train,resnet,20,64,a4,1e-06,1e-06,1561,2.1052631578947367,2756605.0,4083.859259259259,675,66,0.08906882591093117,37111995.0,45258.53048780488,820,50000,0.9617,0.8472
cifar,train,resnet,20,144,a3,1e-06,1e-06,1915,2.1172566371681416,3591078.0,4433.42962962963,810,94,0.10398230088495575,45368721.0,44875.094955489614,1011,50000,0.99438,0.8646
cifar,trainUval,resnet,20,120,a3,1e-06,1e-06,1919,2.1123348017621146,4390649.0,5413.870530209618,811,97,0.10682819383259912,53734042.0,53149.39861523244,1011,60000,0.97464,0.8543
cifar,trainUval,resnet,20,0,a1,1e-06,1e-06,972,2.0442105263157893,3901569.0,8612.735099337748,453,22,0.04631578947368421,24807581.0,49914.649899396376,497,60000,0.39672,0.5212
mnist,val,resnet,20,8,a3,1e-06,1e-06,218,2.066666666666667,24688.0,254.51546391752578,97,8,0.0761904761904762,710576.0,6288.283185840708,113,10000,0.9588166666666667,0.9547
mnist,val,resnet,20,16,a5,1e-06,1e-06,264,2.0708661417322833,48392.0,417.17241379310343,116,11,0.08661417322834646,1120782.0,8180.890510948905,137,10000,0.9756166666666667,0.9688
mnist,train,resnet,20,120,a4,1e-06,1e-06,1620,2.0729833546734957,2978332.0,4108.044137931034,725,56,0.07170294494238157,40685555.0,48492.914183551846,839,60000,0.9996833333333334,0.9784
mnist,train,resnet,20,120,a1,1e-06,1e-06,370,2.0847457627118646,133290.0,822.7777777777778,162,15,0.0847457627118644,2145005.0,11114.015544041451,193,60000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,128,a3,1e-06,1e-06,1823,2.0894495412844036,2516176.0,3153.1027568922304,798,74,0.08486238532110092,48627293.0,51132.800210304944,951,70000,0.9996666666666667,0.9793
cifar,val,resnet,20,32,a4,1e-06,1e-06,283,2.073529411764706,103595.0,828.76,125,11,0.08088235294117647,1308156.0,8899.020408163266,147,10000,0.81416,0.7761
cifar,val,resnet,20,112,a4,1e-06,1e-06,477,2.2037037037037037,149217.0,810.9619565217391,184,32,0.14814814814814814,2341369.0,8970.76245210728,261,10000,0.95624,0.8422
cifar,train,resnet,20,48,a2,1e-06,1e-06,653,2.050314465408805,1266526.0,4207.72757475083,301,17,0.05345911949685535,12736244.0,38018.63880597015,335,50000,0.8891,0.8237
cifar,train,resnet,20,112,a3,1e-06,1e-06,1519,2.099585062240664,3036612.0,4650.248085758039,653,70,0.09681881051175657,34914885.0,43862.92085427135,796,50000,0.95624,0.8422
cifar,trainUval,resnet,20,104,a2,1e-06,1e-06,987,2.0670859538784065,2185278.0,4921.7972972972975,444,33,0.06918238993710692,22089463.0,43312.67254901961,510,60000,0.94004,0.8348
cifar,trainUval,resnet,20,88,a4,1e-06,1e-06,2149,2.1544633901705117,4923767.0,5627.162285714286,875,122,0.12236710130391174,61842774.0,53682.963541666664,1152,60000,0.90218,0.8205
mnist,val,resnet,20,0,a4,1e-06,1e-06,193,2.0,34115.0,362.9255319148936,94,2,0.020833333333333332,658036.0,6783.876288659794,97,10000,0.71875,0.8881
mnist,val,resnet,20,56,a3,1e-06,1e-06,335,2.0365853658536586,89544.0,570.343949044586,157,7,0.042682926829268296,1256974.0,7350.725146198831,171,10000,0.9957166666666667,0.976
