,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,38,0.3152082155743925,0.3816167624129744,0.3240669804093247,0.3587610813177191
full_colless_index,38,-0.9069836943565741,-0.7878545706640163,-0.5335959760556512,-0.47669074481099605
full_sackin_index,38,-0.9334959599537739,-0.7422118521011236,-0.8693368403991165,-0.7506018867444034
full_average_sackin_index,38,-0.8493556591550561,-0.8118584033058066,-0.9615889748976635,-0.873057567057421
full_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
full_missing_colless_frac,38,0.3105631292002372,0.3577023301705873,0.2550886423678677,0.29207704267689355
cifar_average_branching_factor,19,0.2820507365304253,0.22049124375827542,0.6035087719298246,0.6157894736842106
cifar_colless_index,19,-0.9592316836052227,-0.964289279064289,-0.8701754385964912,-0.8245614035087718
cifar_sackin_index,19,-0.9593180886661674,-0.9785118169452616,-0.9122807017543859,-0.8754385964912281
cifar_average_sackin_index,19,-0.7902767901247992,-0.7237450510143483,-0.9771929824561404,-0.9491228070175438
cifar_total_volume,19,,,,
cifar_missing_colless_frac,19,0.3435169694050709,0.2832638894937286,0.6070175438596491,0.6070175438596491
mnist_average_branching_factor,19,0.02794510203360425,-0.020162921085046002,-0.554238085947994,-0.5836627703842187
mnist_colless_index,19,-0.7788822601829872,-0.72293517676053,0.11589117723801572,0.17471472932094795
mnist_sackin_index,19,-0.8556311348587429,-0.8803501186900499,-0.9675157372446465,-0.956980175677554
mnist_average_sackin_index,19,-0.9955282600830452,-0.9955089875405448,-0.9622479564611003,-0.9402988698629913
mnist_total_volume,19,,,,
mnist_missing_colless_frac,19,-0.048188077823410884,-0.09700618306125297,-0.5820897765818516,-0.6242320228502211
resnet_average_branching_factor,38,0.3152082155743925,0.3816167624129744,0.3240669804093247,0.3587610813177191
resnet_colless_index,38,-0.9069836943565741,-0.7878545706640163,-0.5335959760556512,-0.47669074481099605
resnet_sackin_index,38,-0.9334959599537739,-0.7422118521011236,-0.8693368403991165,-0.7506018867444034
resnet_average_sackin_index,38,-0.8493556591550561,-0.8118584033058066,-0.9615889748976635,-0.873057567057421
resnet_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
resnet_missing_colless_frac,38,0.3105631292002372,0.3577023301705873,0.2550886423678677,0.29207704267689355
cifar_resnet_average_branching_factor,19,0.2820507365304253,0.22049124375827542,0.6035087719298246,0.6157894736842106
cifar_resnet_colless_index,19,-0.9592316836052227,-0.964289279064289,-0.8701754385964912,-0.8245614035087718
cifar_resnet_sackin_index,19,-0.9593180886661674,-0.9785118169452616,-0.9122807017543859,-0.8754385964912281
cifar_resnet_average_sackin_index,19,-0.7902767901247992,-0.7237450510143483,-0.9771929824561404,-0.9491228070175438
cifar_resnet_total_volume,19,,,,
cifar_resnet_missing_colless_frac,19,0.3435169694050709,0.2832638894937286,0.6070175438596491,0.6070175438596491
mnist_resnet_average_branching_factor,19,0.02794510203360425,-0.020162921085046002,-0.554238085947994,-0.5836627703842187
mnist_resnet_colless_index,19,-0.7788822601829872,-0.72293517676053,0.11589117723801572,0.17471472932094795
mnist_resnet_sackin_index,19,-0.8556311348587429,-0.8803501186900499,-0.9675157372446465,-0.956980175677554
mnist_resnet_average_sackin_index,19,-0.9955282600830452,-0.9955089875405448,-0.9622479564611003,-0.9402988698629913
mnist_resnet_total_volume,19,,,,
mnist_resnet_missing_colless_frac,19,-0.048188077823410884,-0.09700618306125297,-0.5820897765818516,-0.6242320228502211
