dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,304,2.0472972972972974,45882.0,330.0863309352518,139,9,0.060810810810810814,1201935.0,7704.711538461538,156,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,391,2.0634920634920637,116694.0,666.8228571428572,175,14,0.07407407407407407,1700996.0,8420.772277227723,202,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,1517,2.088154269972452,1623416.0,2448.5912518853697,663,63,0.08677685950413223,37625562.0,47567.0821744627,791,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,1466,2.080965909090909,1096060.0,1683.6559139784947,651,53,0.07528409090909091,33761043.0,44305.830708661415,762,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,2142,2.0726040658276865,4301885.0,4495.177638453501,957,76,0.07357212003872217,64050996.0,57755.63210099188,1109,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,1981,2.088607594936709,2913702.0,3349.0827586206897,870,78,0.08227848101265822,57007062.0,55185.92642787996,1033,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,301,2.027027027027027,23645.0,166.51408450704224,142,6,0.04054054054054054,793138.0,5183.908496732026,153,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,374,2.0722222222222224,121313.0,730.8012048192771,166,14,0.07777777777777778,1592176.0,8207.092783505155,194,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,1502,2.0732044198895028,1184822.0,1768.3910447761193,670,54,0.07458563535911603,34336363.0,44134.14267352185,778,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,1571,2.0877659574468086,1037463.0,1510.1353711790393,687,65,0.08643617021276596,36011672.0,43970.295482295485,819,60000,0.9997,0.9789
mnist,trainUval,resnet,20,120,a3,1e-06,1e-06,1696,2.0721271393643033,1101257.0,1449.0223684210525,760,58,0.07090464547677261,42317321.0,48197.40432801822,878,70000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,0,a1,1e-06,1e-06,1888,2.222614840989399,12527573.0,17208.20467032967,728,121,0.1425206124852768,50869435.0,48959.99518768046,1039,70000,0.71875,0.8881
mnist,val,resnet,20,32,a4,1e-06,1e-06,285,2.0431654676258995,54129.0,413.19847328244276,131,8,0.05755395683453238,1058381.0,7249.184931506849,146,10000,0.9854666666666667,0.9744
mnist,val,resnet,20,112,a4,1e-06,1e-06,395,2.0846560846560847,129168.0,750.9767441860465,172,17,0.08994708994708994,1710370.0,8302.766990291262,206,10000,0.9996833333333334,0.9791
mnist,train,resnet,20,48,a2,1e-06,1e-06,1074,2.067437379576108,235824.0,488.24844720496895,483,36,0.06936416184971098,16021355.0,28867.306306306305,555,60000,0.9947,0.9774
mnist,train,resnet,20,112,a3,1e-06,1e-06,1585,2.078740157480315,1218106.0,1725.3626062322946,706,56,0.07349081364829396,34935906.0,42449.46051032807,823,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,104,a2,1e-06,1e-06,1375,2.104134762633997,271151.0,461.9267461669506,587,66,0.10107197549770292,24805449.0,34356.57756232687,722,70000,0.9994,0.9785
mnist,trainUval,resnet,20,88,a4,1e-06,1e-06,1857,2.076062639821029,1965546.0,2368.1277108433733,830,64,0.07158836689038031,51242808.0,53211.63862928349,963,70000,0.9991,0.9773
mnist,val,resnet,20,72,a3,1e-06,1e-06,330,2.0434782608695654,47282.0,311.0657894736842,152,9,0.055900621118012424,1217088.0,7201.704142011834,169,10000,0.9960833333333333,0.9764
mnist,val,resnet,20,24,a3,1e-06,1e-06,256,2.0238095238095237,33718.0,278.6611570247934,121,5,0.03968253968253968,875947.0,6738.053846153846,130,10000,0.9832,0.9713
mnist,train,resnet,20,144,a5,1e-06,1e-06,1902,2.095920617420066,2745287.0,3319.57315598549,827,80,0.08820286659316427,49451685.0,49700.18592964824,995,60000,0.9997,0.9789
mnist,train,resnet,20,112,a5,1e-06,1e-06,1861,2.0828667413213884,3176702.0,3864.60097323601,822,71,0.07950727883538634,47742130.0,49320.38223140496,968,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,32,a2,1e-06,1e-06,1067,2.077972709551657,222230.0,468.8396624472574,474,39,0.07602339181286549,17157704.0,30970.584837545128,554,70000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,120,a5,1e-06,1e-06,1998,2.08455114822547,3819784.0,4330.820861678005,882,76,0.07933194154488518,59852370.0,57550.355769230766,1040,70000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a2,1e-06,1e-06,271,2.0454545454545454,22786.0,183.75806451612902,124,8,0.06060606060606061,743994.0,5352.474820143885,139,10000,0.9957166666666667,0.976
mnist,val,resnet,20,80,a2,1e-06,1e-06,274,2.0526315789473686,13177.0,105.416,125,8,0.06015037593984962,699110.0,4958.22695035461,141,10000,0.9974833333333334,0.9774
mnist,train,resnet,20,40,a1,1e-06,1e-06,615,2.0604026845637584,177630.0,636.6666666666666,279,19,0.06375838926174497,4974379.0,15692.047318611987,317,60000,0.9912666666666666,0.9746
mnist,train,resnet,20,88,a1,1e-06,1e-06,691,2.065868263473054,189070.0,607.9421221864952,311,23,0.0688622754491018,4811963.0,13478.887955182074,357,60000,0.9991,0.9773
mnist,trainUval,resnet,20,96,a3,1e-06,1e-06,1715,2.0750605326876514,1145582.0,1499.4528795811518,764,62,0.07506053268765134,43190934.0,48583.727784026996,889,70000,0.9994,0.9782
mnist,trainUval,resnet,20,72,a2,1e-06,1e-06,1304,2.0748407643312103,319689.0,551.1879310344827,580,48,0.07643312101910828,23175505.0,34283.291420118345,676,70000,0.9960833333333333,0.9764
mnist,val,resnet,20,112,a2,1e-06,1e-06,320,2.0714285714285716,17718.0,124.77464788732394,142,12,0.07792207792207792,900838.0,5426.734939759036,166,10000,0.9996833333333334,0.9791
mnist,val,resnet,20,104,a1,1e-06,1e-06,153,2.054054054054054,37703.0,546.4202898550725,69,5,0.06756756756756757,145061.0,1836.2151898734178,79,10000,0.9994,0.9785
mnist,train,resnet,20,8,a2,1e-06,1e-06,755,2.0886426592797784,248127.0,754.1854103343466,329,32,0.0886426592797784,11338671.0,28778.352791878173,394,60000,0.9588166666666667,0.9547
mnist,train,resnet,20,112,a1,1e-06,1e-06,665,2.068535825545171,207214.0,697.6902356902357,297,24,0.07476635514018691,4336481.0,12606.04941860465,344,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,16,a1,1e-06,1e-06,621,2.0805369127516777,157241.0,575.974358974359,273,25,0.08389261744966443,6353656.0,19670.76160990712,323,70000,0.9756166666666667,0.9688
