dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,val,resnet,20,40,a4,1e-06,1e-06,549,2.4355555555555557,142655.0,880.5864197530864,162,63,0.28,2938547.0,9069.589506172839,324,10000,0.85102,0.8129
cifar,val,resnet,20,104,a5,1e-06,1e-06,580,2.306772908366534,172890.0,860.1492537313433,201,50,0.199203187250996,2965851.0,9014.744680851063,329,10000,0.94004,0.8348
cifar,train,resnet,20,48,a5,1e-06,1e-06,2836,2.3086319218241043,4294039.0,4346.193319838057,988,240,0.19543973941368079,72696342.0,45209.16791044776,1608,50000,0.8891,0.8237
cifar,train,resnet,20,32,a5,1e-06,1e-06,2950,2.3021077283372366,4319775.0,4173.695652173913,1035,246,0.1920374707259953,75367810.0,45157.465548232474,1669,50000,0.81416,0.7761
cifar,trainUval,resnet,20,128,a5,1e-06,1e-06,3285,2.3323863636363638,6391663.0,5696.669340463458,1122,286,0.203125,101370110.0,54006.45178476292,1877,60000,0.9858,0.856
cifar,trainUval,resnet,20,128,a4,1e-06,1e-06,3521,2.4701754385964914,7027501.0,6543.297020484171,1074,351,0.2463157894736842,112210587.0,53535.58540076336,2096,60000,0.9858,0.856
mnist,val,resnet,20,80,a5,1e-06,1e-06,603,2.119718309859155,243358.0,973.432,250,34,0.11971830985915492,2811728.0,8814.19435736677,319,10000,0.9974833333333334,0.9774
mnist,val,resnet,20,96,a2,1e-06,1e-06,526,2.142857142857143,258692.0,1208.8411214953271,214,31,0.12653061224489795,2448123.0,8712.181494661922,281,10000,0.9994,0.9782
mnist,train,resnet,20,48,a3,1e-06,1e-06,2981,2.0956399437412094,9705431.0,7465.716153846154,1300,122,0.08579465541490858,80935271.0,51914.86273252084,1559,60000,0.9947,0.9774
mnist,train,resnet,20,72,a5,1e-06,1e-06,3378,2.1145898559799625,9483955.0,6646.079187105816,1427,170,0.10644959298685035,93461106.0,52476.758001122966,1781,60000,0.9960833333333333,0.9764
mnist,trainUval,resnet,20,8,a5,1e-06,1e-06,3471,2.095410628019324,12891564.0,8514.9035667107,1514,142,0.08574879227053141,109865577.0,60531.99834710744,1815,70000,0.9588166666666667,0.9547
cifar,val,resnet,20,120,a2,1e-06,1e-06,404,2.1550802139037435,171705.0,1073.15625,160,27,0.1443850267379679,1943069.0,8954.235023041474,217,10000,0.97464,0.8543
cifar,val,resnet,20,56,a5,1e-06,1e-06,594,2.2895752895752897,215550.0,1021.5639810426541,211,48,0.18532818532818532,2978994.0,8892.519402985075,335,10000,0.9302,0.8365
cifar,train,resnet,20,64,a4,1e-06,1e-06,2732,2.4318788958147817,4239708.0,4918.454756380511,862,261,0.23241317898486197,72543910.0,45086.33312616532,1609,50000,0.9617,0.8472
cifar,train,resnet,20,144,a3,1e-06,1e-06,2387,2.2257462686567164,4663503.0,5164.455149501661,903,169,0.15764925373134328,58699221.0,44638.19087452471,1315,50000,0.99438,0.8646
cifar,trainUval,resnet,20,120,a3,1e-06,1e-06,3350,2.360112755461593,7366259.0,6513.049513704686,1131,288,0.2029598308668076,103448689.0,53572.59917141378,1931,60000,0.97464,0.8543
cifar,trainUval,resnet,20,0,a1,1e-06,1e-06,3428,2.129894344313238,11563503.0,8035.790826963169,1439,170,0.10565568676196395,91944247.0,50546.589884551955,1819,60000,0.39672,0.5212
mnist,val,resnet,20,8,a3,1e-06,1e-06,479,2.0964912280701755,213376.0,1030.8019323671497,207,21,0.09210526315789473,2213203.0,8817.541832669323,251,10000,0.9588166666666667,0.9547
mnist,val,resnet,20,16,a5,1e-06,1e-06,588,2.1115107913669067,266688.0,1084.0975609756097,246,32,0.11510791366906475,2715834.0,8760.754838709678,310,10000,0.9756166666666667,0.9688
mnist,train,resnet,20,120,a4,1e-06,1e-06,3392,2.107520198881293,9751156.0,6706.434662998625,1454,155,0.09633312616532007,93209531.0,52276.79809310151,1783,60000,0.9996833333333334,0.9784
mnist,train,resnet,20,120,a1,1e-06,1e-06,2403,2.088695652173913,9545629.0,9005.31037735849,1060,90,0.0782608695652174,63828205.0,50940.30726256983,1253,60000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,128,a3,1e-06,1e-06,3742,2.1052335396736073,13192449.0,8209.364654635967,1607,170,0.09566685424873382,119534212.0,60831.66005089058,1965,70000,0.9996666666666667,0.9793
cifar,val,resnet,20,32,a4,1e-06,1e-06,590,2.3373015873015874,188210.0,955.3807106598985,197,55,0.21825396825396826,3030500.0,8965.976331360947,338,10000,0.81416,0.7761
cifar,val,resnet,20,112,a4,1e-06,1e-06,660,2.38768115942029,261496.0,1199.5229357798164,218,58,0.21014492753623187,3369274.0,8774.151041666666,384,10000,0.95624,0.8422
cifar,train,resnet,20,48,a2,1e-06,1e-06,2402,2.198717948717949,3943802.0,4277.44251626898,922,170,0.15567765567765568,59392302.0,45337.63511450381,1310,50000,0.8891,0.8237
cifar,train,resnet,20,112,a3,1e-06,1e-06,2309,2.3033932135728543,4567467.0,5543.042475728155,824,178,0.17764471057884232,58469789.0,44735.875286916606,1307,50000,0.95624,0.8422
cifar,trainUval,resnet,20,104,a2,1e-06,1e-06,2603,2.1865546218487393,6564074.0,6379.0806608357625,1029,161,0.13529411764705881,75900308.0,53715.716914366596,1413,60000,0.94004,0.8348
cifar,trainUval,resnet,20,88,a4,1e-06,1e-06,3585,2.522167487684729,6463084.0,6091.502356267672,1061,360,0.2533427163969036,116479049.0,53825.80822550832,2164,60000,0.90218,0.8205
mnist,val,resnet,20,0,a4,1e-06,1e-06,515,2.1152263374485596,234058.0,1073.6605504587155,218,25,0.102880658436214,2364518.0,8693.08088235294,272,10000,0.71875,0.8881
mnist,val,resnet,20,56,a3,1e-06,1e-06,582,2.1050724637681157,252808.0,1031.869387755102,245,31,0.11231884057971014,2682565.0,8766.552287581699,306,10000,0.9957166666666667,0.976
mnist,train,resnet,20,16,a4,1e-06,1e-06,3088,2.1187371310912835,10038673.0,7739.917501927525,1297,160,0.10981468771448182,84486022.0,51800.13611281422,1631,60000,0.9756166666666667,0.9688
mnist,train,resnet,20,88,a2,1e-06,1e-06,2871,2.1149594694178333,9461853.0,7800.373454245672,1213,144,0.10611643330876934,78609474.0,51921.71334214003,1514,60000,0.9991,0.9773
mnist,trainUval,resnet,20,136,a3,1e-06,1e-06,3680,2.0998858447488584,12465349.0,7849.715994962216,1588,164,0.09360730593607305,118015109.0,61211.15612033195,1928,70000,0.9997166666666667,0.9786
cifar,val,resnet,20,72,a3,1e-06,1e-06,605,2.3410852713178296,156970.0,804.974358974359,195,63,0.2441860465116279,3136726.0,9039.556195965419,347,10000,0.86884,0.7945
cifar,val,resnet,20,24,a3,1e-06,1e-06,623,2.229390681003584,173807.0,762.311403508772,228,51,0.1827956989247312,3095257.0,8997.84011627907,344,10000,0.85482,0.8124
cifar,train,resnet,20,144,a5,1e-06,1e-06,2909,2.3171314741035856,4480516.0,4431.766567754698,1011,244,0.1944223107569721,74486695.0,45034.277509068925,1654,50000,0.99438,0.8646
cifar,train,resnet,20,112,a5,1e-06,1e-06,2843,2.3333333333333335,4203658.0,4365.169262720665,963,255,0.20935960591133004,73379051.0,45156.339076923075,1625,50000,0.95624,0.8422
cifar,trainUval,resnet,20,32,a2,1e-06,1e-06,3093,2.189801699716714,6188074.0,5191.337248322147,1192,220,0.1558073654390935,91108032.0,54198.71029149316,1681,60000,0.81416,0.7761
cifar,trainUval,resnet,20,120,a5,1e-06,1e-06,3186,2.283154121863799,6177409.0,5433.077396657872,1137,258,0.18494623655913978,96847841.0,54074.72975991067,1791,60000,0.97464,0.8543
mnist,val,resnet,20,144,a2,1e-06,1e-06,540,2.122047244094488,236248.0,1068.9954751131222,221,33,0.12992125984251968,2498923.0,8737.493006993007,286,10000,0.9997,0.9789
mnist,val,resnet,20,88,a3,1e-06,1e-06,546,2.1042471042471043,246331.0,1066.3679653679653,231,28,0.10810810810810811,2508645.0,8740.923344947736,287,10000,0.9991,0.9773
mnist,train,resnet,20,0,a2,1e-06,1e-06,4196,2.1523858388917394,15320110.0,9043.748524203069,1694,255,0.13083632632119035,112619909.0,50120.11971517579,2247,60000,0.71875,0.8881
mnist,train,resnet,20,56,a1,1e-06,1e-06,2078,2.079079079079079,8915598.0,9596.983853606029,929,70,0.07007007007007007,54412869.0,50428.97961075069,1079,60000,0.9957166666666667,0.976
mnist,trainUval,resnet,20,72,a1,1e-06,1e-06,2297,2.0759493670886076,11916489.0,11546.985465116279,1032,74,0.06690777576853527,69932919.0,58717.8161209068,1191,70000,0.9960833333333333,0.9764
cifar,val,resnet,20,56,a2,1e-06,1e-06,481,2.2018348623853212,142610.0,775.054347826087,184,34,0.1559633027522936,2393784.0,9101.84030418251,263,10000,0.9302,0.8365
cifar,val,resnet,20,80,a2,1e-06,1e-06,508,2.273542600896861,138416.0,782.0112994350283,177,46,0.2062780269058296,2600073.0,9123.063157894738,285,10000,0.8875,0.8156
cifar,train,resnet,20,40,a1,1e-06,1e-06,2338,2.178005591798695,4284866.0,4682.913661202186,915,158,0.14725069897483692,56776145.0,44882.328063241104,1265,50000,0.85102,0.8129
cifar,train,resnet,20,88,a1,1e-06,1e-06,1896,2.1706758304696447,3204876.0,4290.3293172690765,747,126,0.14432989690721648,46612487.0,45564.50342130987,1023,50000,0.90218,0.8205
cifar,trainUval,resnet,20,96,a3,1e-06,1e-06,3150,2.3766037735849057,6588725.0,6305.0,1045,280,0.21132075471698114,98438278.0,53938.78246575342,1825,60000,0.92108,0.818
cifar,trainUval,resnet,20,72,a2,1e-06,1e-06,2983,2.203991130820399,6019484.0,5298.841549295775,1136,217,0.16038433111603842,88558120.0,54330.134969325154,1630,60000,0.86884,0.7945
mnist,val,resnet,20,136,a1,1e-06,1e-06,351,2.0833333333333335,183668.0,1177.3589743589744,156,12,0.07142857142857142,1613036.0,8814.4043715847,183,10000,0.9997166666666667,0.9786
mnist,val,resnet,20,40,a3,1e-06,1e-06,491,2.130434782608696,204039.0,1015.1194029850747,201,29,0.12608695652173912,2309561.0,8848.892720306514,261,10000,0.9912666666666666,0.9746
mnist,train,resnet,20,96,a5,1e-06,1e-06,3370,2.122873345935728,9089384.0,6437.240793201133,1412,175,0.11027095148078135,93777232.0,52595.19461581604,1783,60000,0.9994,0.9782
mnist,train,resnet,20,64,a1,1e-06,1e-06,1925,2.0732758620689653,8741418.0,10070.758064516129,868,60,0.06465517241379311,49965669.0,50116.01705115346,997,60000,0.9967,0.9764
mnist,trainUval,resnet,20,0,a5,1e-06,1e-06,3527,2.101311084624553,11518076.0,7592.667106130521,1517,161,0.09594755661501787,113611075.0,61444.60519199567,1849,70000,0.71875,0.8881
cifar,val,resnet,20,112,a2,1e-06,1e-06,451,2.1951219512195124,157142.0,903.1149425287356,174,31,0.15121951219512195,2223486.0,9038.560975609756,246,10000,0.95624,0.8422
cifar,val,resnet,20,104,a1,1e-06,1e-06,428,2.103448275862069,166273.0,918.6353591160221,181,22,0.10837438423645321,2004118.0,8907.191111111111,225,10000,0.94004,0.8348
cifar,train,resnet,20,8,a2,1e-06,1e-06,2675,2.188216039279869,4108821.0,3996.9075875486383,1028,194,0.15875613747954173,65810417.0,45292.78527185134,1453,50000,0.75392,0.7532
cifar,train,resnet,20,112,a1,1e-06,1e-06,1493,2.1623188405797102,2930347.0,4892.06510851419,599,91,0.1318840579710145,36426879.0,45363.485678704856,803,50000,0.95624,0.8422
cifar,trainUval,resnet,20,16,a1,1e-06,1e-06,3134,2.1517857142857144,8138442.0,6388.102040816327,1274,182,0.125,88787005.0,52912.398688915375,1678,60000,0.77984,0.7613
cifar,trainUval,resnet,20,96,a1,1e-06,1e-06,2395,2.160649819494585,5504347.0,5733.694791666667,960,148,0.13357400722021662,69575853.0,54060.49184149184,1287,60000,0.92108,0.818
mnist,val,resnet,20,24,a2,1e-06,1e-06,472,2.1312217194570136,222286.0,1151.740932642487,193,28,0.12669683257918551,2203403.0,8778.498007968128,251,10000,0.9832,0.9713
mnist,val,resnet,20,16,a3,1e-06,1e-06,553,2.075187969924812,270551.0,1104.2897959183674,245,21,0.07894736842105263,2494566.0,8691.867595818816,287,10000,0.9756166666666667,0.9688
mnist,train,resnet,20,144,a1,1e-06,1e-06,2579,2.1044897959183673,9892233.0,8895.89298561151,1112,113,0.09224489795918367,69159794.0,51078.13441654357,1354,60000,0.9997,0.9789
mnist,train,resnet,20,40,a5,1e-06,1e-06,3347,2.105726872246696,10115305.0,7034.287204450626,1438,151,0.09502831969792322,91714121.0,52169.57963594994,1758,60000,0.9912666666666666,0.9746
mnist,trainUval,resnet,20,56,a4,1e-06,1e-06,3761,2.0900500277932186,13761539.0,8340.326666666666,1650,149,0.08282379099499722,118951235.0,60627.54077471967,1962,70000,0.9957166666666667,0.976
cifar,val,resnet,20,104,a3,1e-06,1e-06,504,2.350467289719626,162909.0,969.6964285714286,168,46,0.21495327102803738,2612047.0,9007.058620689655,290,10000,0.94004,0.8348
cifar,val,resnet,20,88,a5,1e-06,1e-06,600,2.3217054263565893,195672.0,936.2296650717703,209,49,0.18992248062015504,3064007.0,8959.084795321638,342,10000,0.90218,0.8205
cifar,train,resnet,20,144,a4,1e-06,1e-06,2824,2.491615180935569,4391865.0,5136.684210526316,855,278,0.24536628420123566,75818051.0,44836.22176227085,1691,50000,0.99438,0.8646
cifar,train,resnet,20,48,a1,1e-06,1e-06,2107,2.175619834710744,3822119.0,4638.493932038835,824,144,0.1487603305785124,51317377.0,45054.76470588235,1139,50000,0.8891,0.8237
cifar,trainUval,resnet,20,128,a2,1e-06,1e-06,2893,2.1760722347629797,8256909.0,7148.838961038961,1155,174,0.1309255079006772,82424914.0,52701.35166240409,1564,60000,0.9858,0.856
cifar,trainUval,resnet,20,128,a1,1e-06,1e-06,1875,2.1295454545454544,5356249.0,6814.566157760814,786,94,0.10681818181818181,53098408.0,53365.23417085427,995,60000,0.9858,0.856
mnist,val,resnet,20,16,a2,1e-06,1e-06,493,2.111587982832618,251081.0,1201.3444976076555,209,24,0.10300429184549356,2266316.0,8716.6,260,10000,0.9756166666666667,0.9688
mnist,val,resnet,20,104,a4,1e-06,1e-06,619,2.1020408163265305,274402.0,1023.8880597014926,268,26,0.08843537414965986,2849266.0,8766.972307692307,325,10000,0.9994,0.9785
