,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,57,-0.8975732802196996,-0.9018177761597509,-0.32971280994308566,-0.4083411307539811
full_colless_index,57,-0.16048935375905155,-0.15466889328330372,0.11379974042896603,0.10697955050599717
full_sackin_index,57,-0.2896664002416025,-0.2798637000045632,0.14215224425159367,0.12178910576730095
full_average_sackin_index,57,-0.0006946474809884635,-0.0006510865784046785,0.07190428804501449,0.06089455288365048
full_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
full_missing_colless_frac,57,-0.8514892233892473,-0.8591647443972942,-0.32961003584862336,-0.3513372123175098
mnist_average_branching_factor,57,-0.8975732802196996,-0.9018177761597509,-0.32971280994308566,-0.4083411307539811
mnist_colless_index,57,-0.16048935375905155,-0.15466889328330372,0.11379974042896603,0.10697955050599717
mnist_sackin_index,57,-0.2896664002416025,-0.2798637000045632,0.14215224425159367,0.12178910576730095
mnist_average_sackin_index,57,-0.0006946474809884635,-0.0006510865784046785,0.07190428804501449,0.06089455288365048
mnist_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_missing_colless_frac,57,-0.8514892233892473,-0.8591647443972942,-0.32961003584862336,-0.3513372123175098
resnet_average_branching_factor,57,-0.8975732802196996,-0.9018177761597509,-0.32971280994308566,-0.4083411307539811
resnet_colless_index,57,-0.16048935375905155,-0.15466889328330372,0.11379974042896603,0.10697955050599717
resnet_sackin_index,57,-0.2896664002416025,-0.2798637000045632,0.14215224425159367,0.12178910576730095
resnet_average_sackin_index,57,-0.0006946474809884635,-0.0006510865784046785,0.07190428804501449,0.06089455288365048
resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
resnet_missing_colless_frac,57,-0.8514892233892473,-0.8591647443972942,-0.32961003584862336,-0.3513372123175098
mnist_resnet_average_branching_factor,57,-0.8975732802196996,-0.9018177761597509,-0.32971280994308566,-0.4083411307539811
mnist_resnet_colless_index,57,-0.16048935375905155,-0.15466889328330372,0.11379974042896603,0.10697955050599717
mnist_resnet_sackin_index,57,-0.2896664002416025,-0.2798637000045632,0.14215224425159367,0.12178910576730095
mnist_resnet_average_sackin_index,57,-0.0006946474809884635,-0.0006510865784046785,0.07190428804501449,0.06089455288365048
mnist_resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_resnet_missing_colless_frac,57,-0.8514892233892473,-0.8591647443972942,-0.32961003584862336,-0.3513372123175098
