dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,val,resnet,20,40,a4,1e-06,1e-06,334,2.0943396226415096,146442.0,1009.9448275862069,145,14,0.0880503144654088,1546576.0,8837.577142857142,175,10000,0.85102,0.8129
cifar,val,resnet,20,104,a5,1e-06,1e-06,382,2.1166666666666667,113522.0,718.493670886076,158,22,0.12222222222222222,1841036.0,9114.039603960397,202,10000,0.94004,0.8348
cifar,train,resnet,20,48,a5,1e-06,1e-06,1870,2.1384439359267735,3169256.0,4094.645994832041,774,100,0.11441647597254005,45309326.0,45491.291164658636,996,50000,0.8891,0.8237
cifar,train,resnet,20,32,a5,1e-06,1e-06,1823,2.1511216056670603,3049715.0,4149.272108843537,735,112,0.1322314049586777,44281258.0,45370.141393442624,976,50000,0.81416,0.7761
cifar,trainUval,resnet,20,128,a5,1e-06,1e-06,2644,2.1788953009068424,4734701.0,4552.597115384616,1040,173,0.14262159934047816,78482226.0,54844.32285115304,1431,60000,0.9858,0.856
cifar,trainUval,resnet,20,128,a4,1e-06,1e-06,2466,2.230769230769231,4348986.0,4752.990163934426,915,190,0.17194570135746606,74330909.0,54614.92211609111,1361,60000,0.9858,0.856
mnist,val,resnet,20,80,a5,1e-06,1e-06,355,2.058139534883721,124690.0,779.3125,160,12,0.06976744186046512,1518828.0,8299.606557377048,183,10000,0.9974833333333334,0.9774
mnist,val,resnet,20,96,a2,1e-06,1e-06,287,2.072463768115942,16029.0,126.21259842519684,127,11,0.07971014492753623,925129.0,6208.919463087248,149,10000,0.9994,0.9782
mnist,train,resnet,20,48,a3,1e-06,1e-06,1293,2.094003241491086,525473.0,936.6720142602495,561,56,0.09076175040518639,25646033.0,37937.918639053256,676,60000,0.9947,0.9774
mnist,train,resnet,20,72,a5,1e-06,1e-06,1508,2.0757575757575757,1527862.0,2263.4992592592594,675,51,0.07024793388429752,37122817.0,47471.632992327366,782,60000,0.9960833333333333,0.9764
mnist,trainUval,resnet,20,8,a5,1e-06,1e-06,1186,2.050173010380623,783748.0,1432.8117001828155,547,31,0.05363321799307959,29060292.0,47796.53289473684,608,70000,0.9588166666666667,0.9547
cifar,val,resnet,20,120,a2,1e-06,1e-06,256,2.073170731707317,63092.0,558.3362831858407,113,10,0.08130081300813008,968934.0,7285.2180451127815,133,10000,0.97464,0.8543
cifar,val,resnet,20,56,a5,1e-06,1e-06,418,2.106060606060606,137783.0,782.8579545454545,176,22,0.1111111111111111,1986809.0,9030.95,220,10000,0.9302,0.8365
cifar,train,resnet,20,64,a4,1e-06,1e-06,1634,2.1515151515151514,2700877.0,4117.190548780488,656,103,0.13570487483530963,39793570.0,45478.36571428571,875,50000,0.9617,0.8472
cifar,train,resnet,20,144,a3,1e-06,1e-06,1723,2.1180811808118083,3082750.0,4217.168262653899,731,82,0.1008610086100861,40932282.0,44980.52967032967,910,50000,0.99438,0.8646
cifar,trainUval,resnet,20,120,a3,1e-06,1e-06,1788,2.107311320754717,4102634.0,5348.9361147327245,767,81,0.09551886792452831,50339916.0,53553.10212765957,940,60000,0.97464,0.8543
cifar,trainUval,resnet,20,0,a1,1e-06,1e-06,2386,2.180073126142596,8020700.0,8407.442348008386,954,140,0.12797074954296161,64472253.0,49901.1246130031,1292,60000,0.39672,0.5212
mnist,val,resnet,20,8,a3,1e-06,1e-06,218,2.047169811320755,32490.0,328.1818181818182,99,7,0.0660377358490566,680550.0,6076.339285714285,112,10000,0.9588166666666667,0.9547
mnist,val,resnet,20,16,a5,1e-06,1e-06,275,2.0601503759398496,38324.0,311.5772357723577,123,10,0.07518796992481203,1147148.0,8078.507042253521,142,10000,0.9756166666666667,0.9688
mnist,train,resnet,20,120,a4,1e-06,1e-06,1615,2.0825806451612903,1933000.0,2703.4965034965035,715,60,0.07741935483870968,39028134.0,46462.06428571429,840,60000,0.9996833333333334,0.9784
mnist,train,resnet,20,120,a1,1e-06,1e-06,636,2.088815789473684,227528.0,827.3745454545455,275,29,0.09539473684210527,4269570.0,12860.150602409638,332,60000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,128,a3,1e-06,1e-06,1832,2.0901826484018264,1802585.0,2250.41822721598,801,75,0.08561643835616438,48246449.0,50466.99686192469,956,70000,0.9996666666666667,0.9793
cifar,val,resnet,20,32,a4,1e-06,1e-06,292,2.0785714285714287,109862.0,858.296875,128,12,0.08571428571428572,1357649.0,8931.901315789473,152,10000,0.81416,0.7761
cifar,val,resnet,20,112,a4,1e-06,1e-06,432,2.256544502617801,133963.0,881.3355263157895,152,39,0.20418848167539266,2168393.0,8997.48132780083,241,10000,0.95624,0.8422
cifar,train,resnet,20,48,a2,1e-06,1e-06,700,2.0558823529411763,1286618.0,4020.68125,320,20,0.058823529411764705,13888477.0,38579.10277777778,360,50000,0.8891,0.8237
cifar,train,resnet,20,112,a3,1e-06,1e-06,1448,2.091040462427746,2958094.0,4673.134281200632,633,59,0.08526011560693642,33074438.0,43749.25661375662,756,50000,0.95624,0.8422
cifar,trainUval,resnet,20,104,a2,1e-06,1e-06,1000,2.085594989561587,2629423.0,5962.410430839002,441,38,0.07933194154488518,22550142.0,43282.42226487524,521,60000,0.94004,0.8348
cifar,trainUval,resnet,20,88,a4,1e-06,1e-06,2185,2.136986301369863,5311008.0,5829.866081229418,911,111,0.1086105675146771,62295722.0,53564.67927773001,1163,60000,0.90218,0.8205
mnist,val,resnet,20,0,a4,1e-06,1e-06,202,2.0303030303030303,33040.0,347.7894736842105,95,4,0.04040404040404041,680045.0,6602.378640776699,103,10000,0.71875,0.8881
mnist,val,resnet,20,56,a3,1e-06,1e-06,346,2.0294117647058822,71336.0,434.9756097560976,164,6,0.03529411764705882,1300256.0,7387.818181818182,176,10000,0.9957166666666667,0.976
mnist,train,resnet,20,16,a4,1e-06,1e-06,1153,2.057142857142857,855326.0,1619.935606060606,528,32,0.05714285714285714,25954331.0,43767.843170320404,593,60000,0.9756166666666667,0.9688
mnist,train,resnet,20,88,a2,1e-06,1e-06,1230,2.069023569023569,284039.0,512.7057761732852,554,40,0.06734006734006734,19375557.0,30464.712264150945,636,60000,0.9991,0.9773
