,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,38,-0.3294153839650668,0.09471175496660819,0.4569927801493846,0.595753997876736
full_colless_index,38,-0.7737218070210957,-0.47157837800111974,-0.6604289818490268,-0.6043992157004433
full_sackin_index,38,-0.873786401273008,-0.5929504771251326,-0.9381702835777476,-0.8738235990164838
full_average_sackin_index,38,-0.8418861506563965,-0.8559639730680431,-0.9838039017104807,-0.9376231178927028
full_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
full_missing_colless_frac,38,-0.1571322656896738,0.23329518535728452,0.4526154546690265,0.5821842888876261
cifar_average_branching_factor,19,-0.6949401614077171,-0.7633339763974765,0.20175438596491227,0.18070175438596495
cifar_colless_index,19,-0.9694729467286776,-0.9777224401650283,-0.9245614035087718,-0.9017543859649122
cifar_sackin_index,19,-0.9230233822339309,-0.9580428059700256,-0.9526315789473684,-0.9368421052631579
cifar_average_sackin_index,19,-0.8037369481289945,-0.7416303935855494,-0.9684210526315788,-0.9473684210526316
cifar_total_volume,19,,,,
cifar_missing_colless_frac,19,-0.5547363090752786,-0.6296807984742798,0.2631578947368421,0.22807017543859648
mnist_average_branching_factor,19,-0.8796914757518091,-0.8553896923969907,-0.2071993774861493,-0.20983326787792236
mnist_colless_index,19,-0.985190140112659,-0.9608535988769252,0.12730470226903243,0.12906062919688113
mnist_sackin_index,19,-0.9896691331968894,-0.9681485967820954,-0.8454788157591602,-0.8525025234705551
mnist_average_sackin_index,19,-0.9912998179996153,-0.9951374796637589,-0.9262514544402014,-0.9385429429351424
mnist_total_volume,19,,,,
mnist_missing_colless_frac,19,-0.6874976020567979,-0.6588903765698988,-0.20895530441399804,-0.20895530441399804
resnet_average_branching_factor,38,-0.3294153839650668,0.09471175496660819,0.4569927801493846,0.595753997876736
resnet_colless_index,38,-0.7737218070210957,-0.47157837800111974,-0.6604289818490268,-0.6043992157004433
resnet_sackin_index,38,-0.873786401273008,-0.5929504771251326,-0.9381702835777476,-0.8738235990164838
resnet_average_sackin_index,38,-0.8418861506563965,-0.8559639730680431,-0.9838039017104807,-0.9376231178927028
resnet_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
resnet_missing_colless_frac,38,-0.1571322656896738,0.23329518535728452,0.4526154546690265,0.5821842888876261
cifar_resnet_average_branching_factor,19,-0.6949401614077171,-0.7633339763974765,0.20175438596491227,0.18070175438596495
cifar_resnet_colless_index,19,-0.9694729467286776,-0.9777224401650283,-0.9245614035087718,-0.9017543859649122
cifar_resnet_sackin_index,19,-0.9230233822339309,-0.9580428059700256,-0.9526315789473684,-0.9368421052631579
cifar_resnet_average_sackin_index,19,-0.8037369481289945,-0.7416303935855494,-0.9684210526315788,-0.9473684210526316
cifar_resnet_total_volume,19,,,,
cifar_resnet_missing_colless_frac,19,-0.5547363090752786,-0.6296807984742798,0.2631578947368421,0.22807017543859648
mnist_resnet_average_branching_factor,19,-0.8796914757518091,-0.8553896923969907,-0.2071993774861493,-0.20983326787792236
mnist_resnet_colless_index,19,-0.985190140112659,-0.9608535988769252,0.12730470226903243,0.12906062919688113
mnist_resnet_sackin_index,19,-0.9896691331968894,-0.9681485967820954,-0.8454788157591602,-0.8525025234705551
mnist_resnet_average_sackin_index,19,-0.9912998179996153,-0.9951374796637589,-0.9262514544402014,-0.9385429429351424
mnist_resnet_total_volume,19,,,,
mnist_resnet_missing_colless_frac,19,-0.6874976020567979,-0.6588903765698988,-0.20895530441399804,-0.20895530441399804
