dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet_c,20,40,a4,1e-06,1e-06,285,2.0431654676258995,55355.0,422.55725190839695,131,8,0.05755395683453238,1096763.0,7512.075342465753,146,10000,0.9910833333333333,0.9751
mnist,val,resnet_c,20,104,a5,1e-06,1e-06,288,2.064748201438849,124004.0,953.876923076923,130,9,0.06474820143884892,1192896.0,8006.013422818792,149,10000,0.9995666666666667,0.9787
mnist,train,resnet_c,20,48,a5,1e-06,1e-06,3523,2.15281173594132,4853742.0,3447.259943181818,1408,228,0.1393643031784841,101489873.0,53783.71648118707,1887,60000,0.9941166666666666,0.9759
mnist,train,resnet_c,20,32,a5,1e-06,1e-06,3500,2.1732919254658385,4323369.0,3162.6693489392833,1367,243,0.15093167701863355,101347028.0,53622.76613756614,1890,60000,0.9856166666666667,0.974
mnist,trainUval,resnet_c,20,128,a5,1e-06,1e-06,3265,2.1194805194805193,5203884.0,3806.7915142648135,1367,173,0.11233766233766233,107477219.0,62305.63420289855,1725,70000,0.9996666666666667,0.9804
mnist,trainUval,resnet_c,20,128,a4,1e-06,1e-06,3241,2.0998055735580037,4562874.0,3263.8583690987125,1398,145,0.09397278029812055,105000960.0,61838.02120141343,1698,70000,0.9996666666666667,0.9804
mnist,val,resnet_a,20,80,a5,1e-06,1e-06,366,2.0277777777777777,107072.0,615.3563218390805,174,6,0.03333333333333333,1473339.0,7921.177419354839,186,10000,0.9982333333333333,0.979
mnist,val,resnet_a,20,96,a2,1e-06,1e-06,260,2.072,18021.0,156.70434782608694,115,10,0.08,767570.0,5685.7037037037035,135,10000,0.99905,0.9783
mnist,train,resnet_a,20,48,a3,1e-06,1e-06,3350,2.1564713457823568,3732378.0,2779.1347728965,1343,210,0.13522215067611076,95807508.0,53315.25208681135,1797,60000,0.99415,0.9771
mnist,train,resnet_a,20,72,a5,1e-06,1e-06,3644,2.17103694874851,4673998.0,3270.817354793562,1429,249,0.14839094159713945,105135155.0,53476.68107833164,1966,60000,0.99605,0.9787
mnist,trainUval,resnet_a,20,8,a5,1e-06,1e-06,2800,2.087248322147651,4464035.0,3641.1378466557912,1226,115,0.08575689783743475,90190498.0,61816.653872515424,1459,70000,0.9588833333333333,0.957
