dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,554,2.1106870229007635,220055.0,944.4420600858369,233,29,0.11068702290076336,2593398.0,8881.5,292,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,614,2.1433566433566433,225930.0,914.6963562753036,247,39,0.13636363636363635,2903758.0,8852.920731707318,328,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,3633,2.1104009296920396,9076788.0,5878.748704663212,1544,177,0.10284718187100524,100918116.0,52781.441422594144,1912,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,3493,2.124087591240876,9688610.0,6636.034246575343,1460,184,0.11192214111922141,96781583.0,52342.662520281236,1849,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,4490,2.126480341070583,11822854.0,6335.934619506967,1866,245,0.11605873993368072,146952479.0,61770.69314838167,2379,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,4433,2.129745314752523,11592036.0,6310.308111050626,1837,244,0.11725132148005767,145325794.0,61788.17772108843,2352,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,494,2.080168776371308,238957.0,1106.2824074074074,216,21,0.08860759493670886,2245845.0,8738.696498054474,257,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,581,2.1245421245421245,211102.0,865.172131147541,244,29,0.10622710622710622,2726546.0,8852.422077922078,308,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,3675,2.1323273360417874,9002659.0,5922.801973684211,1520,203,0.11781775972141613,102727296.0,52626.688524590165,1952,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,3732,2.13810888252149,8076221.0,5282.028122956181,1529,216,0.12378223495702005,105523729.0,53107.06039255158,1987,60000,0.9997,0.9789
mnist,trainUval,resnet,20,120,a3,1e-06,1e-06,4370,2.11778962675715,12317584.0,6694.339130434782,1840,223,0.10809500727096462,141780373.0,61456.59861291721,2307,70000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,0,a1,1e-06,1e-06,5027,2.299176578225069,20910322.0,11616.845555555556,1800,386,0.17657822506861848,167465863.0,58946.09750087997,2841,70000,0.71875,0.8881
mnist,val,resnet,20,32,a4,1e-06,1e-06,576,2.1062271062271063,247682.0,1010.9469387755101,245,28,0.10256410256410256,2671234.0,8815.953795379539,303,10000,0.9854666666666667,0.9744
mnist,val,resnet,20,112,a4,1e-06,1e-06,598,2.1245551601423487,241119.0,976.1902834008097,247,34,0.12099644128113879,2784366.0,8783.488958990536,317,10000,0.9996833333333334,0.9791
mnist,train,resnet,20,48,a2,1e-06,1e-06,3377,2.108682073703935,9902992.0,6867.539528432732,1442,159,0.09931292941911306,91971317.0,51785.651463963964,1776,60000,0.9947,0.9774
mnist,train,resnet,20,112,a3,1e-06,1e-06,3835,2.1264559068219633,9063236.0,5692.98743718593,1592,211,0.11702717692734331,107034968.0,52674.688976377955,2032,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,104,a2,1e-06,1e-06,4266,2.124003984063745,12903805.0,7233.074551569507,1784,224,0.11155378486055777,137903233.0,61073.17670504872,2258,70000,0.9994,0.9785
mnist,trainUval,resnet,20,88,a4,1e-06,1e-06,4305,2.119153126538651,11851669.0,6551.503040353787,1809,222,0.10930576070901034,140353241.0,61720.862357080034,2274,70000,0.9991,0.9773
mnist,val,resnet,20,72,a3,1e-06,1e-06,571,2.111111111111111,270663.0,1123.0829875518673,241,29,0.10740740740740741,2622374.0,8712.205980066445,301,10000,0.9960833333333333,0.9764
mnist,val,resnet,20,24,a3,1e-06,1e-06,539,2.077220077220077,257547.0,1082.1302521008404,238,21,0.08108108108108109,2443221.0,8725.789285714285,280,10000,0.9832,0.9713
mnist,train,resnet,20,144,a5,1e-06,1e-06,3898,2.1506622516556293,7942710.0,5078.459079283887,1564,248,0.1368653421633554,111018598.0,53220.80441035474,2086,60000,0.9997,0.9789
mnist,train,resnet,20,112,a5,1e-06,1e-06,3918,2.1276480173818575,8704426.0,5356.569846153846,1625,216,0.11732753938077133,110018551.0,52969.93307655272,2077,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,32,a2,1e-06,1e-06,3862,2.1040871934604906,15419596.0,9266.584134615385,1664,171,0.09318801089918256,120200699.0,59299.802170695606,2027,70000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,120,a5,1e-06,1e-06,4618,2.138490041685966,12253009.0,6486.505558496559,1889,270,0.12505789717461788,151656629.0,61674.10695404636,2459,70000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a2,1e-06,1e-06,474,2.1210762331838566,215684.0,1078.42,200,23,0.1031390134529148,2205294.0,8786.03187250996,251,10000,0.9957166666666667,0.976
mnist,val,resnet,20,80,a2,1e-06,1e-06,506,2.1041666666666665,228283.0,1061.7813953488371,215,25,0.10416666666666667,2322650.0,8731.766917293233,266,10000,0.9974833333333334,0.9774
mnist,train,resnet,20,40,a1,1e-06,1e-06,3190,2.1331103678929764,11505362.0,8742.676291793314,1316,179,0.1197324414715719,84249619.0,49704.78997050147,1695,60000,0.9912666666666666,0.9746
mnist,train,resnet,20,88,a1,1e-06,1e-06,3431,2.125154894671623,10772876.0,7507.230662020906,1435,179,0.11090458488228006,92844134.0,51097.48706659328,1817,60000,0.9991,0.9773
mnist,trainUval,resnet,20,96,a3,1e-06,1e-06,4225,2.1194179628700454,12454183.0,7000.664980326026,1779,214,0.10737581535373808,136966960.0,61365.12544802867,2232,70000,0.9994,0.9782
mnist,trainUval,resnet,20,72,a2,1e-06,1e-06,3993,2.1324786324786325,13242044.0,8025.481212121212,1650,222,0.11858974358974358,128212516.0,60449.08816595945,2121,70000,0.9960833333333333,0.9764
mnist,val,resnet,20,112,a2,1e-06,1e-06,528,2.08300395256917,277772.0,1192.1545064377683,233,20,0.07905138339920949,2384531.0,8671.021818181818,275,10000,0.9996833333333334,0.9791
mnist,val,resnet,20,104,a1,1e-06,1e-06,358,2.087719298245614,187762.0,1203.6025641025642,156,15,0.08771929824561403,1636116.0,8749.283422459894,187,10000,0.9994,0.9785
mnist,train,resnet,20,8,a2,1e-06,1e-06,2982,2.108203677510608,13066063.0,10231.842599843383,1277,137,0.09688826025459689,77095586.0,49168.10331632653,1568,60000,0.9588166666666667,0.9547
mnist,train,resnet,20,112,a1,1e-06,1e-06,3326,2.1314102564102564,10109043.0,7267.464414090582,1391,169,0.10833333333333334,90642501.0,51326.444507361266,1766,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,16,a1,1e-06,1e-06,3651,2.1147161066048668,19721098.0,12706.893041237114,1552,174,0.10081112398609501,107363384.0,55773.186493506495,1925,70000,0.9756166666666667,0.9688
mnist,trainUval,resnet,20,96,a1,1e-06,1e-06,3952,2.157837247405789,14443941.0,9084.23962264151,1590,241,0.1316220644456581,125469021.0,59155.596888260254,2121,70000,0.9994,0.9782
mnist,val,resnet,20,104,a3,1e-06,1e-06,575,2.1025641025641026,243930.0,999.7131147540983,244,29,0.10622710622710622,2653554.0,8786.602649006623,302,10000,0.9994,0.9785
mnist,val,resnet,20,88,a5,1e-06,1e-06,630,2.1036789297658864,248973.0,918.719557195572,271,28,0.09364548494983277,2907014.0,8782.519637462236,331,10000,0.9991,0.9773
mnist,train,resnet,20,144,a4,1e-06,1e-06,3874,2.144518272425249,8372925.0,5333.073248407643,1570,236,0.13067552602436322,109695673.0,53044.32930367505,2068,60000,0.9997,0.9789
mnist,train,resnet,20,48,a1,1e-06,1e-06,3171,2.1232417950435365,11440917.0,8595.730277986477,1331,162,0.10850636302746149,83636315.0,49842.85756853397,1678,60000,0.9947,0.9774
mnist,trainUval,resnet,20,128,a2,1e-06,1e-06,4343,2.131566028473245,12954491.0,7221.009476031215,1794,243,0.11929307805596466,140502244.0,60928.98699045967,2306,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a1,1e-06,1e-06,3842,2.13270405330372,13320857.0,8351.63448275862,1595,206,0.11438089950027762,121984442.0,59766.99755022048,2041,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,0,a3,1e-06,1e-06,495,2.1201716738197427,230926.0,1121.0,206,27,0.11587982832618025,2289609.0,8738.965648854963,262,10000,0.71875,0.8881
mnist,val,resnet,20,80,a1,1e-06,1e-06,315,2.0794701986754967,147658.0,1062.2877697841727,139,12,0.07947019867549669,1450162.0,8842.451219512195,164,10000,0.9974833333333334,0.9774
mnist,train,resnet,20,72,a4,1e-06,1e-06,3715,2.1174458380843784,9008386.0,5767.2125480153645,1562,192,0.10946408209806158,103309838.0,52682.22233554309,1961,60000,0.9960833333333333,0.9764
mnist,train,resnet,20,64,a5,1e-06,1e-06,3808,2.109141274238227,9585914.0,5902.656403940887,1624,181,0.10027700831024931,105305612.0,52573.945082376435,2003,60000,0.9967,0.9764
mnist,trainUval,resnet,20,80,a3,1e-06,1e-06,4322,2.10986328125,12792641.0,6948.745790331342,1841,207,0.10107421875,139473106.0,61333.819700967455,2274,70000,0.9974833333333334,0.9774
mnist,trainUval,resnet,20,136,a2,1e-06,1e-06,4243,2.1167664670658684,12789273.0,7089.397450110865,1804,200,0.0998003992015968,137122089.0,61242.558731576595,2239,70000,0.9997166666666667,0.9786
mnist,val,resnet,20,80,a4,1e-06,1e-06,584,2.11231884057971,235400.0,953.0364372469636,247,29,0.10507246376811594,2719201.0,8828.574675324675,308,10000,0.9974833333333334,0.9774
mnist,val,resnet,20,136,a5,1e-06,1e-06,607,2.082474226804124,228716.0,853.4179104477612,268,23,0.07903780068728522,2805673.0,8878.712025316456,316,10000,0.9997166666666667,0.9786
mnist,train,resnet,20,64,a3,1e-06,1e-06,3633,2.1227352425482175,9503068.0,6256.134298880843,1519,192,0.11221507890122735,100587034.0,52334.5650364204,1922,60000,0.9967,0.9764
