dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,8,1.75,2843.0,947.6666666666666,3,1,0.25,33459.0,8364.75,4,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,20,1.9,8535.0,948.3333333333334,9,1,0.1,87213.0,8721.3,10,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,68,1.9705882352941178,135522.0,4106.727272727273,33,1,0.029411764705882353,1876819.0,55200.55882352941,34,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,58,1.9655172413793103,121038.0,4322.785714285715,28,1,0.034482758620689655,1594465.0,54981.55172413793,29,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,57,2.0,168912.0,6496.615384615385,26,2,0.07142857142857142,1809092.0,62382.48275862069,29,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,58,2.0357142857142856,175636.0,7025.44,25,3,0.10714285714285714,1869877.0,62329.23333333333,30,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,52,1.9615384615384615,29084.0,1163.36,25,1,0.038461538461538464,225066.0,8656.384615384615,26,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,10,1.8,982.0,245.5,4,1,0.2,44735.0,8947.0,5,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,60,1.9666666666666666,251590.0,8675.51724137931,29,1,0.03333333333333333,1488914.0,49630.46666666667,30,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,107,2.0,525271.0,10299.43137254902,51,2,0.03773584905660377,2642839.0,48941.46296296296,54,60000,0.9997,0.9789
mnist,trainUval,resnet,20,120,a3,1e-06,1e-06,119,2.0344827586206895,918726.0,16704.109090909093,55,3,0.05172413793103448,3287480.0,53893.11475409836,61,70000,0.9996833333333334,0.9784
