dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,184,2.0795454545454546,93877.0,1173.4625,80,8,0.09090909090909091,834929.0,8697.177083333334,96,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,110,2.056603773584906,47693.0,993.6041666666666,48,5,0.09433962264150944,505305.0,8865.0,57,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,612,2.0434782608695654,2240400.0,7833.566433566433,286,13,0.043478260869565216,16368418.0,52295.26517571885,313,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,637,2.0319488817891376,2211101.0,7345.85049833887,301,12,0.038338658146964855,17043893.0,52604.608024691355,324,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,637,2.0319488817891376,2868316.0,9497.735099337748,302,11,0.03514376996805112,19454094.0,60043.5,324,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,1046,2.037037037037037,5127376.0,10421.49593495935,492,21,0.04093567251461988,31620169.0,59324.894934333955,533,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,420,2.033980582524272,343611.0,1744.218274111675,197,9,0.043689320388349516,1636444.0,7646.934579439252,214,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,109,2.0,58224.0,1119.6923076923076,52,2,0.037037037037037035,480328.0,8733.236363636364,55,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,909,2.0636363636363635,3620876.0,8809.917274939173,411,29,0.0659090909090909,24079970.0,51343.21961620469,469,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,1474,2.074647887323944,7180334.0,10846.425981873112,662,48,0.0676056338028169,37286780.0,48804.68586387434,764,60000,0.9997,0.9789
mnist,trainUval,resnet,20,120,a3,1e-06,1e-06,1793,2.0764774044032444,10856695.0,13587.853566958698,799,64,0.07415990730011587,52317475.0,56255.34946236559,930,70000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,0,a1,1e-06,1e-06,12430,2.0991386590103023,150759735.0,27975.45648543329,5389,532,0.08984968755277825,247682545.0,38052.31909663543,6509,70000,0.71875,0.8881
mnist,val,resnet,20,32,a4,1e-06,1e-06,164,2.116883116883117,76757.0,1145.6268656716418,67,10,0.12987012987012986,760899.0,8745.965517241379,87,10000,0.9854666666666667,0.9744
mnist,val,resnet,20,112,a4,1e-06,1e-06,191,2.043010752688172,75024.0,862.3448275862069,87,6,0.06451612903225806,881151.0,8991.336734693878,98,10000,0.9996833333333334,0.9791
mnist,train,resnet,20,48,a2,1e-06,1e-06,2257,2.0754369825206993,12126463.0,12030.22123015873,1008,79,0.07267709291628335,54364361.0,46465.265811965815,1170,60000,0.9947,0.9774
mnist,train,resnet,20,112,a3,1e-06,1e-06,1501,2.0833333333333335,7347727.0,11082.544494720965,663,57,0.07916666666666666,37806261.0,48407.50448143406,781,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,104,a2,1e-06,1e-06,2690,2.084496124031008,17992946.0,15082.100586756078,1193,97,0.07519379844961241,74261249.0,53043.749285714286,1400,70000,0.9994,0.9785
mnist,trainUval,resnet,20,88,a4,1e-06,1e-06,974,2.0658174097664546,4858183.0,11041.325,440,31,0.06581740976645435,29839303.0,59322.66998011928,503,70000,0.9991,0.9773
mnist,val,resnet,20,72,a3,1e-06,1e-06,287,2.0575539568345325,218744.0,1682.6461538461538,130,9,0.06474820143884892,1199116.0,8102.135135135135,148,10000,0.9960833333333333,0.9764
mnist,val,resnet,20,24,a3,1e-06,1e-06,274,2.0526315789473686,175975.0,1419.1532258064517,124,9,0.06766917293233082,1164200.0,8256.737588652482,141,10000,0.9832,0.9713
mnist,train,resnet,20,144,a5,1e-06,1e-06,566,2.03971119133574,2114988.0,8011.318181818182,264,13,0.04693140794223827,14979481.0,51832.11418685121,289,60000,0.9997,0.9789
mnist,train,resnet,20,112,a5,1e-06,1e-06,635,2.0584415584415585,2251589.0,7790.965397923876,289,19,0.06168831168831169,17159704.0,52476.159021406726,327,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,32,a2,1e-06,1e-06,2515,2.0691358024691358,16996843.0,15014.878975265017,1132,83,0.06831275720164609,69626211.0,53558.623846153845,1300,70000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,120,a5,1e-06,1e-06,677,2.0484848484848484,3400241.0,10898.208333333334,312,18,0.05454545454545454,20636102.0,59470.03458213257,347,70000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a2,1e-06,1e-06,404,2.088082901554404,282726.0,1606.3977272727273,176,17,0.08808290155440414,1636969.0,7758.1469194312795,211,10000,0.9957166666666667,0.976
mnist,val,resnet,20,80,a2,1e-06,1e-06,415,2.080402010050251,286750.0,1566.9398907103825,183,16,0.08040201005025126,1701528.0,7877.444444444444,216,10000,0.9974833333333334,0.9774
mnist,train,resnet,20,40,a1,1e-06,1e-06,2015,2.097916666666667,6443644.0,7406.487356321839,870,90,0.09375,46203037.0,43794.34786729858,1055,60000,0.9912666666666666,0.9746
mnist,train,resnet,20,88,a1,1e-06,1e-06,2053,2.108941418293936,6669898.0,7570.826333711691,881,92,0.09455292908530319,48925969.0,45301.82314814815,1080,60000,0.9991,0.9773
mnist,trainUval,resnet,20,96,a3,1e-06,1e-06,1793,2.083720930232558,10910625.0,13828.42205323194,789,71,0.08255813953488372,52067416.0,55806.448017148985,933,70000,0.9994,0.9782
mnist,trainUval,resnet,20,72,a2,1e-06,1e-06,2701,2.0849420849420848,19112926.0,16034.33389261745,1192,103,0.07953667953667953,73912103.0,52569.06330014225,1406,70000,0.9960833333333333,0.9764
mnist,val,resnet,20,112,a2,1e-06,1e-06,447,2.064814814814815,336957.0,1684.785,200,16,0.07407407407407407,1738722.0,7526.935064935065,231,10000,0.9996833333333334,0.9791
mnist,val,resnet,20,104,a1,1e-06,1e-06,424,2.073529411764706,150822.0,798.0,189,15,0.07352941176470588,1357213.0,6169.15,220,10000,0.9994,0.9785
mnist,train,resnet,20,8,a2,1e-06,1e-06,2266,2.085635359116022,13731507.0,13690.435692921235,1003,83,0.07642725598526703,53689420.0,45499.50847457627,1180,60000,0.9588166666666667,0.9547
mnist,train,resnet,20,112,a1,1e-06,1e-06,2055,2.0810536980749745,6289732.0,6896.6359649122805,912,75,0.07598784194528875,45798695.0,42882.67322097378,1068,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,16,a1,1e-06,1e-06,2307,2.0756075607560756,9940562.0,9604.4077294686,1035,76,0.06840684068406841,61701405.0,51589.803511705686,1196,70000,0.9756166666666667,0.9688
mnist,trainUval,resnet,20,96,a1,1e-06,1e-06,2324,2.1041666666666665,8342373.0,8342.373,1000,104,0.09420289855072464,59248013.0,48563.94508196721,1220,70000,0.9994,0.9782
mnist,val,resnet,20,104,a3,1e-06,1e-06,260,2.0555555555555554,188004.0,1606.871794871795,117,9,0.07142857142857142,1086525.0,8108.395522388059,134,10000,0.9994,0.9785
mnist,val,resnet,20,88,a5,1e-06,1e-06,114,2.0545454545454547,73975.0,1450.4901960784314,51,4,0.07272727272727272,500009.0,8474.728813559323,59,10000,0.9991,0.9773
mnist,train,resnet,20,144,a4,1e-06,1e-06,897,2.055045871559633,3735217.0,9088.119221411192,411,25,0.05733944954128441,23406064.0,50772.373101952275,461,60000,0.9997,0.9789
mnist,train,resnet,20,48,a1,1e-06,1e-06,2051,2.0854526958290944,6452586.0,7129.929281767956,905,78,0.07934893184130214,46330281.0,43380.41292134832,1068,60000,0.9947,0.9774
