,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,57,-0.04128996438193783,-0.030343542714571046,0.04968995515305879,-0.050177111576127996
full_colless_index,57,-0.7659344716867869,-0.749872691560177,-0.1340654476286449,-0.1373781113055155
full_sackin_index,57,-0.5712153155184011,-0.5584908180788439,-0.07141713162194528,-0.07414520759113281
full_average_sackin_index,57,0.08566294303753609,0.08350670236228154,-0.03351636190716122,-0.052905187545315535
full_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
full_missing_colless_frac,57,-0.021721307457850808,-0.00845032825475922,0.06011510260673975,-0.03906994513015015
mnist_average_branching_factor,57,-0.04128996438193783,-0.030343542714571046,0.04968995515305879,-0.050177111576127996
mnist_colless_index,57,-0.7659344716867869,-0.749872691560177,-0.1340654476286449,-0.1373781113055155
mnist_sackin_index,57,-0.5712153155184011,-0.5584908180788439,-0.07141713162194528,-0.07414520759113281
mnist_average_sackin_index,57,0.08566294303753609,0.08350670236228154,-0.03351636190716122,-0.052905187545315535
mnist_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_missing_colless_frac,57,-0.021721307457850808,-0.00845032825475922,0.06011510260673975,-0.03906994513015015
resnet_average_branching_factor,57,-0.04128996438193783,-0.030343542714571046,0.04968995515305879,-0.050177111576127996
resnet_colless_index,57,-0.7659344716867869,-0.749872691560177,-0.1340654476286449,-0.1373781113055155
resnet_sackin_index,57,-0.5712153155184011,-0.5584908180788439,-0.07141713162194528,-0.07414520759113281
resnet_average_sackin_index,57,0.08566294303753609,0.08350670236228154,-0.03351636190716122,-0.052905187545315535
resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
resnet_missing_colless_frac,57,-0.021721307457850808,-0.00845032825475922,0.06011510260673975,-0.03906994513015015
mnist_resnet_average_branching_factor,57,-0.04128996438193783,-0.030343542714571046,0.04968995515305879,-0.050177111576127996
mnist_resnet_colless_index,57,-0.7659344716867869,-0.749872691560177,-0.1340654476286449,-0.1373781113055155
mnist_resnet_sackin_index,57,-0.5712153155184011,-0.5584908180788439,-0.07141713162194528,-0.07414520759113281
mnist_resnet_average_sackin_index,57,0.08566294303753609,0.08350670236228154,-0.03351636190716122,-0.052905187545315535
mnist_resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_resnet_missing_colless_frac,57,-0.021721307457850808,-0.00845032825475922,0.06011510260673975,-0.03906994513015015
