dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,266,2.0384615384615383,55162.0,448.4715447154472,123,7,0.05384615384615385,1030328.0,7575.941176470588,136,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,171,2.0238095238095237,119660.0,1495.75,80,4,0.047619047619047616,671672.0,7720.367816091954,87,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,1422,2.065406976744186,2635793.0,4092.8462732919256,644,44,0.06395348837209303,35502972.0,48369.17166212534,734,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,1488,2.0884831460674156,1620466.0,2485.377300613497,652,60,0.08426966292134831,36567475.0,47123.03479381443,776,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,855,2.0628019323671496,4376471.0,11279.564432989691,388,26,0.06280193236714976,23326966.0,52895.61451247166,441,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,815,2.0871794871794873,3745183.0,10461.40502793296,358,32,0.08205128205128205,22188906.0,52209.190588235295,425,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,117,2.0,23778.0,424.60714285714283,56,2,0.034482758620689655,288623.0,4891.9152542372885,59,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,292,2.034965034965035,129775.0,947.2627737226277,137,6,0.04195804195804196,1189436.0,7982.791946308725,149,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,1267,2.0618892508143323,1238333.0,2142.444636678201,578,36,0.05863192182410423,28485712.0,43622.836140888205,653,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,634,2.022364217252396,2101417.0,6889.891803278689,305,8,0.025559105431309903,14010479.0,43646.35202492212,321,60000,0.9997,0.9789
mnist,trainUval,resnet,20,120,a3,1e-06,1e-06,742,2.041322314049587,1902253.0,5481.997118155619,347,16,0.0440771349862259,17385333.0,45871.591029023744,379,70000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,0,a1,1e-06,1e-06,348,2.0532544378698225,306451.0,1939.5632911392406,158,11,0.0650887573964497,9585658.0,53551.16201117318,179,70000,0.71875,0.8881
mnist,val,resnet,20,32,a4,1e-06,1e-06,257,2.0317460317460316,57804.0,481.7,120,6,0.047619047619047616,948139.0,7237.702290076336,131,10000,0.9854666666666667,0.9744
mnist,val,resnet,20,112,a4,1e-06,1e-06,185,2.0444444444444443,121955.0,1451.845238095238,84,6,0.06666666666666667,728196.0,7665.221052631579,95,10000,0.9996833333333334,0.9791
mnist,train,resnet,20,48,a2,1e-06,1e-06,982,2.069620253164557,253691.0,577.883826879271,439,35,0.07383966244725738,14693424.0,28924.062992125986,508,60000,0.9947,0.9774
mnist,train,resnet,20,112,a3,1e-06,1e-06,727,2.0625,1570029.0,4772.12462006079,329,23,0.06534090909090909,15524912.0,41399.76533333334,375,60000,0.9996833333333334,0.9791
mnist,trainUval,resnet,20,104,a2,1e-06,1e-06,611,2.060810810810811,307934.0,1111.6750902527076,277,19,0.06418918918918919,10716147.0,34019.514285714286,315,70000,0.9994,0.9785
mnist,trainUval,resnet,20,88,a4,1e-06,1e-06,1158,2.0697674418604652,2578212.0,4958.1,520,39,0.06976744186046512,30685534.0,51227.93656093489,599,70000,0.9991,0.9773
mnist,val,resnet,20,72,a3,1e-06,1e-06,225,2.0,55020.0,500.1818181818182,110,2,0.017857142857142856,804001.0,7115.053097345132,113,10000,0.9960833333333333,0.9764
