,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,57,-0.28786169277647944,-0.310163630504766,-0.48025789875487573,-0.46222141656452814
full_colless_index,57,-0.057348069185135894,-0.044833634278000044,0.11935332365195496,0.15345427326679922
full_sackin_index,57,-0.5832602943670404,-0.603503453441573,-0.5250571927839879,-0.5026479973228046
full_average_sackin_index,57,-0.612411711794678,-0.6120302200362066,-0.474198062215563,-0.4589987818158039
full_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
full_missing_colless_frac,57,-0.21369224727346528,-0.22332193339371512,-0.2344949867280666,-0.23098706255511398
mnist_average_branching_factor,57,-0.28786169277647944,-0.310163630504766,-0.48025789875487573,-0.46222141656452814
mnist_colless_index,57,-0.057348069185135894,-0.044833634278000044,0.11935332365195496,0.15345427326679922
mnist_sackin_index,57,-0.5832602943670404,-0.603503453441573,-0.5250571927839879,-0.5026479973228046
mnist_average_sackin_index,57,-0.612411711794678,-0.6120302200362066,-0.474198062215563,-0.4589987818158039
mnist_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_missing_colless_frac,57,-0.21369224727346528,-0.22332193339371512,-0.2344949867280666,-0.23098706255511398
resnet_average_branching_factor,57,-0.28786169277647944,-0.310163630504766,-0.48025789875487573,-0.46222141656452814
resnet_colless_index,57,-0.057348069185135894,-0.044833634278000044,0.11935332365195496,0.15345427326679922
resnet_sackin_index,57,-0.5832602943670404,-0.603503453441573,-0.5250571927839879,-0.5026479973228046
resnet_average_sackin_index,57,-0.612411711794678,-0.6120302200362066,-0.474198062215563,-0.4589987818158039
resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
resnet_missing_colless_frac,57,-0.21369224727346528,-0.22332193339371512,-0.2344949867280666,-0.23098706255511398
mnist_resnet_average_branching_factor,57,-0.28786169277647944,-0.310163630504766,-0.48025789875487573,-0.46222141656452814
mnist_resnet_colless_index,57,-0.057348069185135894,-0.044833634278000044,0.11935332365195496,0.15345427326679922
mnist_resnet_sackin_index,57,-0.5832602943670404,-0.603503453441573,-0.5250571927839879,-0.5026479973228046
mnist_resnet_average_sackin_index,57,-0.612411711794678,-0.6120302200362066,-0.474198062215563,-0.4589987818158039
mnist_resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_resnet_missing_colless_frac,57,-0.21369224727346528,-0.22332193339371512,-0.2344949867280666,-0.23098706255511398
