dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
cifar,val,resnet,20,40,a4,1e-06,1e-06,316,2.1,135762.0,1013.1492537313433,134,16,0.10666666666666667,1462144.0,8808.096385542169,166,10000,0.85102,0.8129
cifar,val,resnet,20,104,a5,1e-06,1e-06,324,2.0838709677419356,108806.0,777.1857142857143,140,15,0.0967741935483871,1531618.0,9062.828402366864,169,10000,0.94004,0.8348
cifar,train,resnet,20,48,a5,1e-06,1e-06,1671,2.121982210927573,2991009.0,4260.696581196581,702,85,0.10800508259212198,40116579.0,45380.74547511312,884,50000,0.8891,0.8237
cifar,train,resnet,20,32,a5,1e-06,1e-06,1875,2.1441647597254003,3164423.0,4163.71447368421,760,114,0.13043478260869565,45420340.0,45374.96503496503,1001,50000,0.81416,0.7761
cifar,trainUval,resnet,20,128,a5,1e-06,1e-06,2427,2.171888988361683,4824092.0,5009.441329179647,963,154,0.1378692927484333,71346529.0,54462.99923664122,1310,60000,0.9858,0.856
cifar,trainUval,resnet,20,128,a4,1e-06,1e-06,2276,2.1584440227703983,4852006.0,5239.747300215983,926,128,0.12144212523719165,66169245.0,54148.318330605565,1222,60000,0.9858,0.856
mnist,val,resnet,20,80,a5,1e-06,1e-06,229,2.0357142857142856,111624.0,1053.0566037735848,106,6,0.05357142857142857,924071.0,7898.042735042735,117,10000,0.9974833333333334,0.9774
mnist,val,resnet,20,96,a2,1e-06,1e-06,158,2.0657894736842106,24611.0,351.5857142857143,70,6,0.07894736842105263,503776.0,6143.609756097561,82,10000,0.9994,0.9782
mnist,train,resnet,20,48,a3,1e-06,1e-06,1228,2.0796610169491525,981438.0,1797.5054945054944,546,44,0.07457627118644068,25946914.0,40669.14420062696,638,60000,0.9947,0.9774
mnist,train,resnet,20,72,a5,1e-06,1e-06,1291,2.0673076923076925,2240211.0,3855.7848537005166,581,43,0.06891025641025642,30780683.0,46147.95052473763,667,60000,0.9960833333333333,0.9764
mnist,trainUval,resnet,20,8,a5,1e-06,1e-06,1480,2.086036671368124,1076073.0,1652.9539170506912,651,58,0.08180535966149506,39216287.0,50864.185473411155,771,70000,0.9588166666666667,0.9547
cifar,val,resnet,20,120,a2,1e-06,1e-06,217,2.057142857142857,55632.0,573.5257731958762,97,8,0.0761904761904762,811598.0,7246.410714285715,112,10000,0.97464,0.8543
cifar,val,resnet,20,56,a5,1e-06,1e-06,265,2.046511627906977,136412.0,1127.3719008264463,121,8,0.06201550387596899,1189006.0,8742.691176470587,136,10000,0.9302,0.8365
cifar,train,resnet,20,64,a4,1e-06,1e-06,859,2.0774818401937045,2484251.0,6469.403645833333,384,29,0.07021791767554479,19305393.0,43285.63452914798,446,50000,0.9617,0.8472
cifar,train,resnet,20,144,a3,1e-06,1e-06,1600,2.087467362924282,3411908.0,4846.460227272727,704,62,0.08093994778067885,37129229.0,44519.45923261391,834,50000,0.99438,0.8646
cifar,trainUval,resnet,20,120,a3,1e-06,1e-06,1639,2.0892857142857144,4403984.0,6142.23709902371,717,67,0.08545918367346939,44996577.0,52627.57543859649,855,60000,0.97464,0.8543
cifar,trainUval,resnet,20,0,a1,1e-06,1e-06,1486,2.0482758620689654,5958506.0,8635.515942028986,690,35,0.04827586206896552,37770370.0,49632.54927726676,761,60000,0.39672,0.5212
mnist,val,resnet,20,8,a3,1e-06,1e-06,220,2.0660377358490565,24867.0,253.74489795918367,98,8,0.07547169811320754,719182.0,6308.6140350877195,114,10000,0.9588166666666667,0.9547
mnist,val,resnet,20,16,a5,1e-06,1e-06,259,2.064,45020.0,391.4782608695652,115,10,0.08,1093497.0,8160.425373134329,134,10000,0.9756166666666667,0.9688
mnist,train,resnet,20,120,a4,1e-06,1e-06,658,2.0340557275541795,2584375.0,8309.887459807074,311,12,0.03715170278637771,15101055.0,45077.77611940299,335,60000,0.9996833333333334,0.9784
mnist,train,resnet,20,120,a1,1e-06,1e-06,130,2.0806451612903225,147429.0,2680.5272727272727,55,7,0.11290322580645161,752156.0,11061.117647058823,68,60000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,128,a3,1e-06,1e-06,762,2.045698924731183,2343178.0,6637.898016997167,353,19,0.051075268817204304,18837950.0,48302.4358974359,390,70000,0.9996666666666667,0.9793
cifar,val,resnet,20,32,a4,1e-06,1e-06,280,2.051470588235294,100297.0,783.5703125,128,8,0.058823529411764705,1285483.0,8926.965277777777,144,10000,0.81416,0.7761
cifar,val,resnet,20,112,a4,1e-06,1e-06,397,2.2,139352.0,904.8831168831168,154,26,0.14444444444444443,1932289.0,8904.557603686635,217,10000,0.95624,0.8422
cifar,train,resnet,20,48,a2,1e-06,1e-06,565,2.028776978417266,1287800.0,4787.360594795539,269,9,0.03237410071942446,10740772.0,37424.29268292683,287,50000,0.8891,0.8237
cifar,train,resnet,20,112,a3,1e-06,1e-06,1345,2.074074074074074,2957697.0,4929.495,600,48,0.07407407407407407,30334826.0,43521.98852223816,697,50000,0.95624,0.8422
cifar,trainUval,resnet,20,104,a2,1e-06,1e-06,803,2.056410256410256,2263550.0,6167.711171662126,367,23,0.05897435897435897,17620097.0,42663.67312348668,413,60000,0.94004,0.8348
cifar,trainUval,resnet,20,88,a4,1e-06,1e-06,1982,2.143939393939394,4925708.0,6081.120987654321,810,114,0.12337662337662338,56466751.0,53371.2202268431,1058,60000,0.90218,0.8205
mnist,val,resnet,20,0,a4,1e-06,1e-06,198,2.010204081632653,32395.0,341.0,95,3,0.030612244897959183,666506.0,6665.06,100,10000,0.71875,0.8881
mnist,val,resnet,20,56,a3,1e-06,1e-06,262,2.0232558139534884,83804.0,675.8387096774194,124,5,0.03875968992248062,962870.0,7239.624060150376,133,10000,0.9957166666666667,0.976
mnist,train,resnet,20,16,a4,1e-06,1e-06,1412,2.0811209439528024,1433705.0,2297.6041666666665,624,54,0.07964601769911504,33161172.0,45178.70844686648,734,60000,0.9756166666666667,0.9688
mnist,train,resnet,20,88,a2,1e-06,1e-06,639,2.0580645161290323,310182.0,1062.2671232876712,292,18,0.05806451612903226,9519432.0,28934.44376899696,329,60000,0.9991,0.9773
mnist,trainUval,resnet,20,136,a3,1e-06,1e-06,645,2.050955414012739,1883206.0,6340.760942760943,297,17,0.054140127388535034,15763444.0,47623.69788519637,331,70000,0.9997166666666667,0.9786
cifar,val,resnet,20,72,a3,1e-06,1e-06,231,2.090909090909091,97179.0,962.1683168316831,101,9,0.08181818181818182,1011005.0,8355.413223140496,121,10000,0.86884,0.7945
cifar,val,resnet,20,24,a3,1e-06,1e-06,218,2.047169811320755,91633.0,925.5858585858585,99,7,0.0660377358490566,958975.0,8562.276785714286,112,10000,0.85482,0.8124
cifar,train,resnet,20,144,a5,1e-06,1e-06,2107,2.1801242236024843,3094256.0,3746.072639225182,826,140,0.14492753623188406,52075532.0,45640.25591586328,1141,50000,0.99438,0.8646
cifar,train,resnet,20,112,a5,1e-06,1e-06,2113,2.170606372045221,3328929.0,3996.313325330132,833,140,0.14388489208633093,51716647.0,45365.4798245614,1140,50000,0.95624,0.8422
cifar,trainUval,resnet,20,32,a2,1e-06,1e-06,612,2.0231788079470197,1663288.0,5676.750853242321,293,9,0.029801324503311258,14473489.0,46688.67419354839,310,60000,0.81416,0.7761
cifar,trainUval,resnet,20,120,a5,1e-06,1e-06,2454,2.1669611307420493,4789904.0,4907.688524590164,976,156,0.13780918727915195,71965012.0,54436.468986384265,1322,60000,0.97464,0.8543
mnist,val,resnet,20,144,a2,1e-06,1e-06,133,2.0,14863.0,232.234375,64,2,0.030303030303030304,355637.0,5308.014925373134,67,10000,0.9997,0.9789
mnist,val,resnet,20,88,a3,1e-06,1e-06,236,2.06140350877193,75477.0,718.8285714285714,105,9,0.07894736842105263,918953.0,7532.401639344263,122,10000,0.9991,0.9773
mnist,train,resnet,20,0,a2,1e-06,1e-06,613,2.0887372013651877,493859.0,1835.907063197026,269,24,0.08191126279863481,15831225.0,49472.578125,320,60000,0.71875,0.8881
