,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,38,0.022534337232578572,0.29367318264810516,0.10781523707317986,0.2725481627535207
full_colless_index,38,-0.8953152890046606,-0.780123797154408,-0.5274677203831498,-0.4866491602788106
full_sackin_index,38,-0.922946434921702,-0.7421644131592412,-0.9022762146388112,-0.7808054325588742
full_average_sackin_index,38,-0.8555055046082771,-0.8129792661080641,-0.9701247595843616,-0.8842197470323341
full_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
full_missing_colless_frac,38,0.1395561472819197,0.4330199400929759,0.21384404956775516,0.3891655272584122
cifar_average_branching_factor,19,-0.390764786146494,-0.4033364261119277,-0.17112770405637295,-0.15620887857453528
cifar_colless_index,19,-0.9672654769968545,-0.9779508875138236,-0.8859649122807017,-0.83859649122807
cifar_sackin_index,19,-0.9570659286246062,-0.9795486256346942,-0.9771929824561404,-0.9649122807017543
cifar_average_sackin_index,19,-0.8069452516702708,-0.7429425164852276,-0.9842105263157893,-0.9543859649122807
cifar_total_volume,19,,,,
cifar_missing_colless_frac,19,-0.20300284807271932,-0.22129316597394388,0.06932865959206903,0.08336990710438681
mnist_average_branching_factor,19,-0.2067211571424526,-0.25895074296152315,-0.7655841405420432,-0.6698861229742877
mnist_colless_index,19,-0.4762700215221411,-0.41249951234080107,0.10535561567092337,0.16154527736208252
mnist_sackin_index,19,-0.8378984452035115,-0.8720897774001708,-0.988586860378831,-0.9429327602547644
mnist_average_sackin_index,19,-0.9960012789568284,-0.9944688285494071,-0.9675157372446465,-0.9367870160072936
mnist_total_volume,19,,,,
mnist_missing_colless_frac,19,-0.23786925700272887,-0.28700458427796316,-0.7137842961705059,-0.6066727535717338
resnet_average_branching_factor,38,0.022534337232578572,0.29367318264810516,0.10781523707317986,0.2725481627535207
resnet_colless_index,38,-0.8953152890046606,-0.780123797154408,-0.5274677203831498,-0.4866491602788106
resnet_sackin_index,38,-0.922946434921702,-0.7421644131592412,-0.9022762146388112,-0.7808054325588742
resnet_average_sackin_index,38,-0.8555055046082771,-0.8129792661080641,-0.9701247595843616,-0.8842197470323341
resnet_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
resnet_missing_colless_frac,38,0.1395561472819197,0.4330199400929759,0.21384404956775516,0.3891655272584122
cifar_resnet_average_branching_factor,19,-0.390764786146494,-0.4033364261119277,-0.17112770405637295,-0.15620887857453528
cifar_resnet_colless_index,19,-0.9672654769968545,-0.9779508875138236,-0.8859649122807017,-0.83859649122807
cifar_resnet_sackin_index,19,-0.9570659286246062,-0.9795486256346942,-0.9771929824561404,-0.9649122807017543
cifar_resnet_average_sackin_index,19,-0.8069452516702708,-0.7429425164852276,-0.9842105263157893,-0.9543859649122807
cifar_resnet_total_volume,19,,,,
cifar_resnet_missing_colless_frac,19,-0.20300284807271932,-0.22129316597394388,0.06932865959206903,0.08336990710438681
mnist_resnet_average_branching_factor,19,-0.2067211571424526,-0.25895074296152315,-0.7655841405420432,-0.6698861229742877
mnist_resnet_colless_index,19,-0.4762700215221411,-0.41249951234080107,0.10535561567092337,0.16154527736208252
mnist_resnet_sackin_index,19,-0.8378984452035115,-0.8720897774001708,-0.988586860378831,-0.9429327602547644
mnist_resnet_average_sackin_index,19,-0.9960012789568284,-0.9944688285494071,-0.9675157372446465,-0.9367870160072936
mnist_resnet_total_volume,19,,,,
mnist_resnet_missing_colless_frac,19,-0.23786925700272887,-0.28700458427796316,-0.7137842961705059,-0.6066727535717338
