dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,569,2.088235294117647,223418.0,886.5793650793651,252,20,0.07352941176470588,2633513.0,8867.047138047137,297,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,637,2.099009900990099,239666.0,871.5127272727273,275,28,0.0924092409240924,2950613.0,8834.170658682635,334,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,3445,2.1077111383108935,10024249.0,6805.328581126952,1473,161,0.09853121175030599,94592389.0,52232.13086692435,1811,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,3260,2.1121192482177578,9510933.0,6852.257204610951,1388,155,0.10045366169799093,89799411.0,52300.181129877696,1717,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,4237,2.128643216080402,13204782.0,7485.7040816326535,1764,226,0.1135678391959799,137662584.0,61265.05740987984,2247,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,4123,2.126934984520124,13360145.0,7767.5261627906975,1720,218,0.11248710010319918,133685472.0,61183.2823798627,2185,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,508,2.1125,253249.0,1177.9023255813954,215,25,0.10416666666666667,2337058.0,8720.365671641792,268,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,571,2.150943396226415,200510.0,887.212389380531,226,39,0.1471698113207547,2711007.0,8859.5,306,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,3306,2.1172325432415118,9576778.0,6850.3419170243205,1398,163,0.10442024343369635,91314931.0,52329.47335243553,1745,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,3386,2.1143035602748284,9682249.0,6742.513231197771,1436,165,0.10306058713304185,93515613.0,52389.69915966387,1785,60000,0.9997,0.9789
