,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,171,-0.7665698073016197,-0.7659234171395438,-0.45971366007903064,-0.4115574789012233
full_colless_index,171,-0.24311373164278668,-0.23403820990108418,0.07809931809994627,0.07303496444370979
full_sackin_index,171,-0.2779179267831092,-0.2649716407188297,0.167487370684808,0.1566923450515792
full_average_sackin_index,171,0.005606504827692007,0.005861521810218207,0.10584403873990599,0.10527322306331932
full_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
full_missing_colless_frac,171,-0.6640558844768782,-0.6736837780872048,-0.44852787609816386,-0.40392487548956446
mnist_average_branching_factor,171,-0.7665698073016197,-0.7659234171395438,-0.45971366007903064,-0.4115574789012233
mnist_colless_index,171,-0.24311373164278668,-0.23403820990108418,0.07809931809994627,0.07303496444370979
mnist_sackin_index,171,-0.2779179267831092,-0.2649716407188297,0.167487370684808,0.1566923450515792
mnist_average_sackin_index,171,0.005606504827692007,0.005861521810218207,0.10584403873990599,0.10527322306331932
mnist_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
mnist_missing_colless_frac,171,-0.6640558844768782,-0.6736837780872048,-0.44852787609816386,-0.40392487548956446
resnet_a_average_branching_factor,57,-0.7835072274117821,-0.7803665756250463,-0.39074596516152627,-0.3113510494760136
resnet_a_colless_index,57,-0.23845164607757685,-0.23213051245628527,0.029593117441231685,0.015582160749503337
resnet_a_sackin_index,57,-0.2789532455631555,-0.266102288711114,0.1625674543646609,0.15796415459809007
resnet_a_average_sackin_index,57,0.005648026024203574,0.006311417021077885,0.19878008491774704,0.20383414030444055
resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
resnet_a_missing_colless_frac,57,-0.752117483325673,-0.7570927962388913,-0.540968037637016,-0.4561825404222904
resnet_b_average_branching_factor,57,-0.7908329424414786,-0.7901354763914888,-0.5945003184550242,-0.557313627502049
resnet_b_colless_index,57,-0.2296816883851216,-0.22097584585117588,0.09812454730513664,0.09948738823993021
resnet_b_sackin_index,57,-0.2980705354958528,-0.2862844980050351,0.18593044181826487,0.16295683748888767
resnet_b_average_sackin_index,57,0.0037136572449347626,0.0038879853075981254,0.05023042302524852,0.024725828388397524
resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
resnet_b_missing_colless_frac,57,-0.6623504917277416,-0.6686550429810573,-0.5076664746590717,-0.4765153199340664
resnet_c_average_branching_factor,57,-0.7332676692909178,-0.7361655401552414,-0.37040669915201685,-0.3497764825043372
resnet_c_colless_index,57,-0.26120271024495456,-0.24991633769182905,0.10688566760023814,0.09553812309539234
resnet_c_sackin_index,57,-0.2564268542095817,-0.2425824561823313,0.16548782779636143,0.1674108395524765
resnet_c_average_sackin_index,57,0.007445619367283814,0.007415606918986194,0.0677526636154515,0.08316978300047408
resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
resnet_c_missing_colless_frac,57,-0.5792894021055607,-0.5924843874728933,-0.278028561362483,-0.25054004808632413
mnist_resnet_a_average_branching_factor,57,-0.7835072274117821,-0.7803665756250463,-0.39074596516152627,-0.3113510494760136
mnist_resnet_a_colless_index,57,-0.23845164607757685,-0.23213051245628527,0.029593117441231685,0.015582160749503337
mnist_resnet_a_sackin_index,57,-0.2789532455631555,-0.266102288711114,0.1625674543646609,0.15796415459809007
mnist_resnet_a_average_sackin_index,57,0.005648026024203574,0.006311417021077885,0.19878008491774704,0.20383414030444055
mnist_resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
mnist_resnet_a_missing_colless_frac,57,-0.752117483325673,-0.7570927962388913,-0.540968037637016,-0.4561825404222904
mnist_resnet_b_average_branching_factor,57,-0.7908329424414786,-0.7901354763914888,-0.5945003184550242,-0.557313627502049
mnist_resnet_b_colless_index,57,-0.2296816883851216,-0.22097584585117588,0.09812454730513664,0.09948738823993021
mnist_resnet_b_sackin_index,57,-0.2980705354958528,-0.2862844980050351,0.18593044181826487,0.16295683748888767
mnist_resnet_b_average_sackin_index,57,0.0037136572449347626,0.0038879853075981254,0.05023042302524852,0.024725828388397524
mnist_resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
mnist_resnet_b_missing_colless_frac,57,-0.6623504917277416,-0.6686550429810573,-0.5076664746590717,-0.4765153199340664
mnist_resnet_c_average_branching_factor,57,-0.7332676692909178,-0.7361655401552414,-0.37040669915201685,-0.3497764825043372
mnist_resnet_c_colless_index,57,-0.26120271024495456,-0.24991633769182905,0.10688566760023814,0.09553812309539234
mnist_resnet_c_sackin_index,57,-0.2564268542095817,-0.2425824561823313,0.16548782779636143,0.1674108395524765
mnist_resnet_c_average_sackin_index,57,0.007445619367283814,0.007415606918986194,0.0677526636154515,0.08316978300047408
mnist_resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
mnist_resnet_c_missing_colless_frac,57,-0.5792894021055607,-0.5924843874728933,-0.278028561362483,-0.25054004808632413
