dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet,20,40,a4,1e-06,1e-06,316,2.0588235294117645,47379.0,333.65492957746477,142,11,0.0718954248366013,1239292.0,7603.018404907975,163,10000,0.9912666666666666,0.9746
mnist,val,resnet,20,104,a5,1e-06,1e-06,384,2.0702702702702704,119710.0,700.0584795321637,171,14,0.07567567567567568,1673759.0,8410.849246231155,199,10000,0.9994,0.9785
mnist,train,resnet,20,48,a5,1e-06,1e-06,1919,2.0847826086956522,2403694.0,2841.245862884161,846,74,0.08043478260869565,48594922.0,48643.565565565565,999,60000,0.9947,0.9774
mnist,train,resnet,20,32,a5,1e-06,1e-06,1688,2.0930521091811416,1497622.0,2023.8135135135135,740,66,0.08188585607940446,41942444.0,47553.791383219956,882,60000,0.9854666666666667,0.9744
mnist,trainUval,resnet,20,128,a5,1e-06,1e-06,2440,2.089974293059126,4749007.0,4438.324299065421,1070,97,0.0831191088260497,75157144.0,59039.39041633935,1273,70000,0.9996666666666667,0.9793
mnist,trainUval,resnet,20,128,a4,1e-06,1e-06,2275,2.103607770582794,3120556.0,3174.522889114954,983,98,0.09065679925994449,67140844.0,56231.862646566165,1194,70000,0.9996666666666667,0.9793
mnist,val,resnet,20,120,a2,1e-06,1e-06,301,2.0547945205479454,26021.0,191.3308823529412,136,10,0.0684931506849315,797963.0,5148.148387096774,155,10000,0.9996833333333334,0.9784
mnist,val,resnet,20,56,a5,1e-06,1e-06,378,2.0828729281767955,101602.0,619.5243902439024,164,17,0.09392265193370165,1604859.0,8146.492385786802,197,10000,0.9957166666666667,0.976
mnist,train,resnet,20,64,a4,1e-06,1e-06,1806,2.111111111111111,1019178.0,1328.7848761408084,767,88,0.10292397660818714,41809554.0,43963.77917981073,951,60000,0.9967,0.9764
mnist,train,resnet,20,144,a3,1e-06,1e-06,1909,2.122358175750834,1976536.0,2486.2088050314464,795,104,0.11568409343715239,48087591.0,47611.47623762376,1010,60000,0.9997,0.9789
mnist,trainUval,resnet,20,120,a3,1e-06,1e-06,2141,2.083739045764362,1525994.0,1609.698312236287,948,79,0.07692307692307693,55198181.0,49549.53411131059,1114,70000,0.9996833333333334,0.9784
mnist,trainUval,resnet,20,0,a1,1e-06,1e-06,430,2.0526315789473686,898520.0,4537.979797979798,198,11,0.05263157894736842,11125276.0,50340.61538461538,221,70000,0.71875,0.8881
mnist,val,resnet,20,32,a4,1e-06,1e-06,298,2.0482758620689654,48096.0,353.6470588235294,136,9,0.06206896551724138,1120849.0,7325.81045751634,153,10000,0.9854666666666667,0.9744
mnist,val,resnet,20,112,a4,1e-06,1e-06,390,2.058201058201058,104283.0,592.5170454545455,176,13,0.06878306878306878,1652809.0,8222.930348258706,201,10000,0.9996833333333334,0.9791
mnist,train,resnet,20,48,a2,1e-06,1e-06,1406,2.069219440353461,271351.0,427.99842271293375,634,45,0.0662739322533137,20549234.0,28265.79642365887,727,60000,0.9947,0.9774
