,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,57,0.08109051758757944,0.08355778497883838,0.11682389641318008,0.14561577413636168
full_colless_index,57,-0.5617841878949782,-0.5423053604519996,0.16777667210503383,0.15257739170527465
full_sackin_index,57,-0.41959724129275716,-0.42041574117549424,-0.3474399609329562,-0.32902544814094026
full_average_sackin_index,57,-0.6135550134779807,-0.6139156627944176,-0.45734244997736856,-0.4446763829775693
full_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
full_missing_colless_frac,57,0.17164683349621404,0.16546262546997229,0.16305918177553133,0.18171817986935518
mnist_average_branching_factor,57,0.08109051758757944,0.08355778497883838,0.11682389641318008,0.14561577413636168
mnist_colless_index,57,-0.5617841878949782,-0.5423053604519996,0.16777667210503383,0.15257739170527465
mnist_sackin_index,57,-0.41959724129275716,-0.42041574117549424,-0.3474399609329562,-0.32902544814094026
mnist_average_sackin_index,57,-0.6135550134779807,-0.6139156627944176,-0.45734244997736856,-0.4446763829775693
mnist_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_missing_colless_frac,57,0.17164683349621404,0.16546262546997229,0.16305918177553133,0.18171817986935518
resnet_average_branching_factor,57,0.08109051758757944,0.08355778497883838,0.11682389641318008,0.14561577413636168
resnet_colless_index,57,-0.5617841878949782,-0.5423053604519996,0.16777667210503383,0.15257739170527465
resnet_sackin_index,57,-0.41959724129275716,-0.42041574117549424,-0.3474399609329562,-0.32902544814094026
resnet_average_sackin_index,57,-0.6135550134779807,-0.6139156627944176,-0.45734244997736856,-0.4446763829775693
resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
resnet_missing_colless_frac,57,0.17164683349621404,0.16546262546997229,0.16305918177553133,0.18171817986935518
mnist_resnet_average_branching_factor,57,0.08109051758757944,0.08355778497883838,0.11682389641318008,0.14561577413636168
mnist_resnet_colless_index,57,-0.5617841878949782,-0.5423053604519996,0.16777667210503383,0.15257739170527465
mnist_resnet_sackin_index,57,-0.41959724129275716,-0.42041574117549424,-0.3474399609329562,-0.32902544814094026
mnist_resnet_average_sackin_index,57,-0.6135550134779807,-0.6139156627944176,-0.45734244997736856,-0.4446763829775693
mnist_resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_resnet_missing_colless_frac,57,0.17164683349621404,0.16546262546997229,0.16305918177553133,0.18171817986935518
