,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,171,0.07812109473538358,0.07302815083696472,-0.1558493501964455,-0.0966345925027929
full_colless_index,171,-0.3524821124601042,-0.33753799620835234,0.13513353357253832,0.1275338306911614
full_sackin_index,171,-0.3984150350944299,-0.41118032418909267,-0.47850190814290017,-0.4585721191736165
full_average_sackin_index,171,-0.612287972835947,-0.6153958089158748,-0.4574043976653499,-0.444459326182373
full_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
full_missing_colless_frac,171,0.06234906097892061,0.05507766582957787,-0.1568940515571045,-0.09121501301194711
mnist_average_branching_factor,171,0.07812109473538358,0.07302815083696472,-0.1558493501964455,-0.0966345925027929
mnist_colless_index,171,-0.3524821124601042,-0.33753799620835234,0.13513353357253832,0.1275338306911614
mnist_sackin_index,171,-0.3984150350944299,-0.41118032418909267,-0.47850190814290017,-0.4585721191736165
mnist_average_sackin_index,171,-0.612287972835947,-0.6153958089158748,-0.4574043976653499,-0.444459326182373
mnist_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
mnist_missing_colless_frac,171,0.06234906097892061,0.05507766582957787,-0.1568940515571045,-0.09121501301194711
resnet_a_average_branching_factor,57,-0.0719285160309081,-0.07790456751644495,-0.17590667683776462,-0.13001576058563002
resnet_a_colless_index,57,-0.38077599724296934,-0.3653726776179689,0.1006555376126104,0.07119099692429338
resnet_a_sackin_index,57,-0.3656924309099378,-0.3786052950666306,-0.49159619433625007,-0.4651274983726746
resnet_a_average_sackin_index,57,-0.6103932643191611,-0.6146580456384405,-0.45986146971177133,-0.4458445744451643
resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
resnet_a_missing_colless_frac,57,-0.10666798093960506,-0.11423276427447336,-0.16861655491312144,-0.12749188263639905
resnet_b_average_branching_factor,57,0.19637377236360778,0.2075277691994854,-0.09248298798045114,-0.01051385547567234
resnet_b_colless_index,57,-0.28528961471242426,-0.2677861460130354,0.13414248629610942,0.1549744834422396
resnet_b_sackin_index,57,-0.3851382978743721,-0.3927905434863489,-0.46278184314347187,-0.42540106321770543
resnet_b_average_sackin_index,57,-0.6096730643987199,-0.6116680518241914,-0.45771986252852437,-0.43104711851899313
resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
resnet_b_missing_colless_frac,57,0.19941388342015245,0.20812831884597938,-0.07992865775489665,0.02307319352973265
resnet_c_average_branching_factor,57,0.10020503372269432,0.08925828343619653,-0.20348895700749492,-0.1726519020390537
resnet_c_colless_index,57,-0.38782898040266267,-0.36856821804230133,0.19235526336800596,0.1765653589928097
resnet_c_sackin_index,57,-0.44288737557292773,-0.4609427613598798,-0.49081742808779655,-0.4840208682814474
resnet_c_average_sackin_index,57,-0.6166700068355919,-0.6208537714092253,-0.4666756743857392,-0.47330813276616385
resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
resnet_c_missing_colless_frac,57,0.0751415822487465,0.061393078461097615,-0.22770654167391305,-0.197711480032269
mnist_resnet_a_average_branching_factor,57,-0.0719285160309081,-0.07790456751644495,-0.17590667683776462,-0.13001576058563002
mnist_resnet_a_colless_index,57,-0.38077599724296934,-0.3653726776179689,0.1006555376126104,0.07119099692429338
mnist_resnet_a_sackin_index,57,-0.3656924309099378,-0.3786052950666306,-0.49159619433625007,-0.4651274983726746
mnist_resnet_a_average_sackin_index,57,-0.6103932643191611,-0.6146580456384405,-0.45986146971177133,-0.4458445744451643
mnist_resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
mnist_resnet_a_missing_colless_frac,57,-0.10666798093960506,-0.11423276427447336,-0.16861655491312144,-0.12749188263639905
mnist_resnet_b_average_branching_factor,57,0.19637377236360778,0.2075277691994854,-0.09248298798045114,-0.01051385547567234
mnist_resnet_b_colless_index,57,-0.28528961471242426,-0.2677861460130354,0.13414248629610942,0.1549744834422396
mnist_resnet_b_sackin_index,57,-0.3851382978743721,-0.3927905434863489,-0.46278184314347187,-0.42540106321770543
mnist_resnet_b_average_sackin_index,57,-0.6096730643987199,-0.6116680518241914,-0.45771986252852437,-0.43104711851899313
mnist_resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
mnist_resnet_b_missing_colless_frac,57,0.19941388342015245,0.20812831884597938,-0.07992865775489665,0.02307319352973265
mnist_resnet_c_average_branching_factor,57,0.10020503372269432,0.08925828343619653,-0.20348895700749492,-0.1726519020390537
mnist_resnet_c_colless_index,57,-0.38782898040266267,-0.36856821804230133,0.19235526336800596,0.1765653589928097
mnist_resnet_c_sackin_index,57,-0.44288737557292773,-0.4609427613598798,-0.49081742808779655,-0.4840208682814474
mnist_resnet_c_average_sackin_index,57,-0.6166700068355919,-0.6208537714092253,-0.4666756743857392,-0.47330813276616385
mnist_resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
mnist_resnet_c_missing_colless_frac,57,0.0751415822487465,0.061393078461097615,-0.22770654167391305,-0.197711480032269
