dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet_c,20,40,a4,1e-06,1e-06,613,2.0887372013651877,304408.0,1148.7094339622643,265,28,0.09556313993174062,2765631.0,8642.596875,320,10000,0.9910833333333333,0.9751
mnist,val,resnet_c,20,104,a5,1e-06,1e-06,597,2.1209964412811386,235275.0,944.8795180722891,249,32,0.11387900355871886,2793025.0,8838.68670886076,316,10000,0.9995666666666667,0.9787
mnist,train,resnet_c,20,48,a5,1e-06,1e-06,3631,2.0994794679005206,9111146.0,5806.976418100701,1569,160,0.09253903990746096,100129035.0,52644.07728706625,1902,60000,0.9941166666666666,0.9759
mnist,train,resnet_c,20,32,a5,1e-06,1e-06,3587,2.1094117647058823,10127200.0,6636.435124508519,1526,174,0.10235294117647059,98733532.0,52323.016428192896,1887,60000,0.9856166666666667,0.974
mnist,trainUval,resnet_c,20,128,a5,1e-06,1e-06,4547,2.126286248830683,12095174.0,6409.737148913619,1887,251,0.11739943872778298,148677025.0,61717.32046492321,2409,70000,0.9996666666666667,0.9804
mnist,trainUval,resnet_c,20,128,a4,1e-06,1e-06,4484,2.123638086215064,12115593.0,6441.0382775119615,1881,230,0.10895310279488395,146168942.0,61596.688579856724,2373,70000,0.9996666666666667,0.9804
mnist,val,resnet_a,20,80,a5,1e-06,1e-06,596,2.0950704225352115,234654.0,913.0505836575876,257,27,0.09507042253521127,2753929.0,8826.695512820514,312,10000,0.9982333333333333,0.979
mnist,val,resnet_a,20,96,a2,1e-06,1e-06,468,2.1036036036036037,215550.0,1077.75,200,22,0.0990990990990991,2165931.0,8804.59756097561,246,10000,0.99905,0.9783
mnist,train,resnet_a,20,48,a3,1e-06,1e-06,3569,2.111242603550296,9777670.0,6428.44838921762,1521,169,0.1,98302979.0,52316.646620542844,1879,60000,0.99415,0.9771
mnist,train,resnet_a,20,72,a5,1e-06,1e-06,3838,2.1257617728531857,9480909.0,5903.430261519303,1606,199,0.11024930747922437,106859325.0,52562.3831775701,2033,60000,0.99605,0.9787
mnist,trainUval,resnet_a,20,8,a5,1e-06,1e-06,3867,2.1102620087336246,15403335.0,9301.53079710145,1656,176,0.09606986899563319,121594700.0,59751.69533169533,2035,70000,0.9588833333333333,0.957
mnist,val,resnet_b,20,32,a4,1e-06,1e-06,579,2.0942028985507246,251223.0,1000.8884462151394,251,25,0.09057971014492754,2663291.0,8789.739273927393,303,10000,0.9854833333333334,0.9749
mnist,val,resnet_b,20,112,a4,1e-06,1e-06,610,2.1145833333333335,254306.0,989.5175097276265,257,31,0.1076388888888889,2827130.0,8779.906832298137,322,10000,0.9996333333333334,0.9799
mnist,train,resnet_b,20,48,a2,1e-06,1e-06,3484,2.1070780399274045,10276283.0,6864.58450233801,1497,156,0.09437386569872959,94838345.0,51795.928454396504,1831,60000,0.9941333333333333,0.9781
mnist,train,resnet_b,20,112,a3,1e-06,1e-06,3736,2.1306332002281803,9132115.0,5872.742765273312,1555,198,0.11294922989161438,104648205.0,52772.67019667171,1983,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_b,20,104,a2,1e-06,1e-06,4254,2.118027888446215,13139530.0,7328.237590630229,1793,215,0.10707171314741036,136895848.0,60950.956366874445,2246,70000,0.9994833333333333,0.9788
mnist,trainUval,resnet_b,20,88,a4,1e-06,1e-06,4232,2.1261306532663315,11641706.0,6625.899829254411,1757,233,0.11708542713567839,138093421.0,61593.85414808207,2242,70000,0.9987333333333334,0.9792
mnist,val,resnet_c,20,120,a2,1e-06,1e-06,539,2.0692307692307694,243582.0,1014.925,240,20,0.07692307692307693,2451104.0,8785.31899641577,279,10000,0.9995,0.9804
mnist,val,resnet_c,20,56,a5,1e-06,1e-06,608,2.1149825783972127,227481.0,895.5944881889764,254,33,0.11498257839721254,2847906.0,8871.981308411216,321,10000,0.9954333333333333,0.9784
mnist,train,resnet_c,20,64,a4,1e-06,1e-06,3669,2.1313190005810574,8846251.0,5835.257915567282,1516,205,0.11911679256246369,102749905.0,52746.35780287474,1948,60000,0.9961833333333333,0.9772
mnist,train,resnet_c,20,144,a3,1e-06,1e-06,3859,2.1209455744914787,8936135.0,5505.936537276648,1623,196,0.10775151181968114,107904473.0,52894.34950980392,2040,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_c,20,120,a3,1e-06,1e-06,4333,2.1245708680725848,12070507.0,6687.261495844876,1805,234,0.11476213830308975,141273890.0,61584.08456843941,2294,70000,0.9995,0.9804
mnist,trainUval,resnet_c,20,0,a1,1e-06,1e-06,4731,2.3005836575875485,20294683.0,12101.77877161598,1677,379,0.18433852140077822,157233803.0,58778.99177570093,2675,70000,0.7126833333333333,0.8864
mnist,val,resnet_a,20,8,a3,1e-06,1e-06,494,2.097872340425532,246271.0,1161.6556603773586,212,23,0.09787234042553192,2254509.0,8704.667953667953,259,10000,0.9588833333333333,0.957
mnist,val,resnet_a,20,16,a5,1e-06,1e-06,600,2.0726643598615917,284525.0,1053.7962962962963,270,19,0.0657439446366782,2711243.0,8717.823151125402,311,10000,0.976,0.9675
mnist,train,resnet_a,20,120,a4,1e-06,1e-06,3807,2.12033426183844,8408193.0,5258.40712945591,1599,196,0.10919220055710306,106732378.0,53047.90159045726,2012,60000,0.9996166666666667,0.9801
mnist,train,resnet_a,20,120,a1,1e-06,1e-06,3495,2.1409313725490198,10163217.0,7082.38118466899,1435,197,0.12071078431372549,95924149.0,51489.07622114869,1863,60000,0.9996166666666667,0.9801
mnist,trainUval,resnet_a,20,128,a3,1e-06,1e-06,4299,2.1287766220901436,11969806.0,6713.295569265283,1783,236,0.11688954928182269,140734190.0,61725.521929824565,2280,70000,0.99965,0.981
mnist,val,resnet_b,20,72,a3,1e-06,1e-06,559,2.1056603773584905,239131.0,1013.2669491525423,236,29,0.10943396226415095,2578797.0,8771.418367346938,294,10000,0.9959,0.9782
mnist,val,resnet_b,20,24,a3,1e-06,1e-06,518,2.1188524590163933,246124.0,1134.2119815668202,217,27,0.11065573770491803,2403232.0,8770.919708029198,274,10000,0.9833666666666666,0.9741
mnist,train,resnet_b,20,144,a5,1e-06,1e-06,3998,2.1305970149253732,8685271.0,5266.992722862341,1649,227,0.12100213219616204,112527476.0,53028.97078228087,2122,60000,0.9996666666666667,0.9813
mnist,train,resnet_b,20,112,a5,1e-06,1e-06,3882,2.1335898845519514,8452055.0,5279.23485321674,1601,218,0.11984606926882903,109434527.0,53046.30489578284,2063,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_b,20,32,a2,1e-06,1e-06,3805,2.1074792243767315,14790166.0,9096.043050430504,1626,179,0.09916897506925208,118591184.0,59295.592,2000,70000,0.9854833333333334,0.9749
mnist,trainUval,resnet_b,20,120,a5,1e-06,1e-06,4567,2.1296641791044775,12095247.0,6379.349683544304,1896,248,0.11567164179104478,149499154.0,61700.022286421794,2423,70000,0.9997333333333334,0.9797
mnist,val,resnet_c,20,32,a4,1e-06,1e-06,552,2.1439688715953307,220720.0,1003.2727272727273,220,37,0.14396887159533073,2602053.0,8820.518644067797,295,10000,0.9856166666666667,0.974
mnist,val,resnet_c,20,112,a4,1e-06,1e-06,583,2.124087591240876,228254.0,959.0504201680673,238,36,0.13138686131386862,2719416.0,8800.699029126214,309,10000,0.9995333333333334,0.9805
mnist,train,resnet_c,20,48,a2,1e-06,1e-06,3509,2.1107099879663056,10347556.0,6935.359249329758,1492,170,0.1022864019253911,95701740.0,51814.69409853817,1847,60000,0.9941166666666666,0.9759
mnist,train,resnet_c,20,112,a3,1e-06,1e-06,3805,2.1334828939988784,8772842.0,5577.140495867769,1573,210,0.11777902411665732,106822682.0,52830.208704253215,2022,60000,0.9995333333333334,0.9805
mnist,trainUval,resnet_c,20,104,a2,1e-06,1e-06,4181,2.125063548551093,13227378.0,7536.967521367521,1755,212,0.1077783426537875,135212591.0,61071.63098464318,2214,70000,0.9995666666666667,0.9787
mnist,trainUval,resnet_c,20,88,a4,1e-06,1e-06,4318,2.1456262425447314,11536904.0,6588.751570531125,1751,261,0.12972166998011928,142456487.0,61776.44709453599,2306,70000,0.9987333333333334,0.979
mnist,val,resnet_a,20,0,a4,1e-06,1e-06,550,2.1361867704280155,225561.0,1006.96875,224,33,0.12840466926070038,2581800.0,8811.60409556314,293,10000,0.7192666666666667,0.883
mnist,val,resnet_a,20,56,a3,1e-06,1e-06,523,2.1219512195121952,221166.0,1023.9166666666666,216,30,0.12195121951219512,2438371.0,8802.783393501804,277,10000,0.9953333333333333,0.9775
mnist,train,resnet_a,20,16,a4,1e-06,1e-06,3287,2.1050608584240873,10280674.0,7245.0133897110645,1419,142,0.09096732863549008,89097069.0,51620.549826187715,1726,60000,0.976,0.9675
mnist,train,resnet_a,20,88,a2,1e-06,1e-06,3628,2.14488468361916,9106034.0,6207.248807089298,1467,224,0.13246599645180368,101416287.0,52357.40165203923,1937,60000,0.9986333333333334,0.9787
mnist,trainUval,resnet_a,20,136,a3,1e-06,1e-06,4398,2.128267182962246,11771913.0,6460.984083424808,1822,244,0.1181026137463698,143950346.0,61728.278730703256,2332,70000,0.9996333333333334,0.9786
mnist,val,resnet_b,20,56,a2,1e-06,1e-06,506,2.069672131147541,261966.0,1159.141592920354,226,18,0.07377049180327869,2280854.0,8705.54961832061,262,10000,0.9956833333333334,0.9795
mnist,val,resnet_b,20,80,a2,1e-06,1e-06,505,2.074074074074074,285859.0,1281.8789237668161,223,20,0.0823045267489712,2256911.0,8614.164122137405,262,10000,0.9975833333333334,0.9787
mnist,train,resnet_b,20,40,a1,1e-06,1e-06,3250,2.145970937912814,11660574.0,8787.169555388093,1327,187,0.12351387054161163,86113210.0,49604.383640552995,1736,60000,0.9911833333333333,0.9766
mnist,train,resnet_b,20,88,a1,1e-06,1e-06,3361,2.1279290690310324,10402388.0,7403.83487544484,1405,174,0.11019632678910703,91314958.0,51242.96184062851,1782,60000,0.9987333333333334,0.9792
mnist,trainUval,resnet_b,20,96,a3,1e-06,1e-06,4197,2.121334681496461,12233025.0,6958.48976109215,1758,220,0.11122345803842265,136576974.0,61548.884182063994,2219,70000,0.9990833333333333,0.9804
mnist,trainUval,resnet_b,20,72,a2,1e-06,1e-06,4171,2.1156773211567734,14245538.0,8048.326553672317,1770,201,0.1019786910197869,132891357.0,60405.16227272727,2200,70000,0.9959,0.9782
mnist,val,resnet_c,20,72,a3,1e-06,1e-06,593,2.106761565836299,280962.0,1114.9285714285713,252,29,0.10320284697508897,2719704.0,8717.0,312,10000,0.99615,0.9776
mnist,val,resnet_c,20,24,a3,1e-06,1e-06,536,2.1485943775100402,241453.0,1144.3270142180095,211,38,0.15261044176706828,2515455.0,8764.651567944251,287,10000,0.9832333333333333,0.9716
mnist,train,resnet_c,20,144,a5,1e-06,1e-06,3957,2.130317716747442,8326955.0,5111.697360343769,1629,228,0.12277867528271405,111543255.0,53115.83571428571,2100,60000,0.9996333333333334,0.9799
mnist,train,resnet_c,20,112,a5,1e-06,1e-06,3877,2.1390728476821192,8362899.0,5256.37900691389,1591,221,0.12196467991169978,109542155.0,53047.04842615012,2065,60000,0.9995333333333334,0.9805
mnist,trainUval,resnet_c,20,32,a2,1e-06,1e-06,3764,2.109304932735426,14816920.0,9180.247831474597,1614,170,0.0952914798206278,118105264.0,59649.12323232323,1980,70000,0.9856166666666667,0.974
mnist,trainUval,resnet_c,20,120,a5,1e-06,1e-06,4488,2.1346336822074217,11341656.0,6167.295269168026,1839,263,0.12511893434823979,147809287.0,61948.56957250628,2386,70000,0.9995,0.9804
mnist,val,resnet_a,20,144,a2,1e-06,1e-06,512,2.0942622950819674,257659.0,1160.626126126126,222,22,0.09016393442622951,2337330.0,8721.380597014926,268,10000,0.9997666666666667,0.9804
mnist,val,resnet_a,20,88,a3,1e-06,1e-06,558,2.078358208955224,275697.0,1116.182186234818,247,21,0.07835820895522388,2514854.0,8671.910344827586,290,10000,0.9986333333333334,0.9787
mnist,train,resnet_a,20,0,a2,1e-06,1e-06,4040,2.1785329018338726,13065813.0,8238.217528373267,1586,268,0.14455231930960086,112259348.0,51353.77310155535,2186,60000,0.7192666666666667,0.883
mnist,train,resnet_a,20,56,a1,1e-06,1e-06,3303,2.1316978695932858,11196280.0,8101.50506512301,1382,167,0.1078114912846998,88199415.0,50284.729190421895,1754,60000,0.9953333333333333,0.9775
mnist,trainUval,resnet_a,20,72,a1,1e-06,1e-06,3936,2.1293290043290045,16016982.0,9754.556638246042,1642,206,0.11147186147186147,122080848.0,58467.83908045977,2088,70000,0.99605,0.9787
mnist,val,resnet_b,20,112,a2,1e-06,1e-06,547,2.1,273288.0,1172.9098712446353,233,27,0.10384615384615385,2490627.0,8678.142857142857,287,10000,0.9996333333333334,0.9799
mnist,val,resnet_b,20,104,a1,1e-06,1e-06,304,2.0753424657534247,152269.0,1136.3358208955224,134,12,0.0821917808219178,1399997.0,8860.740506329113,158,10000,0.9994833333333333,0.9788
mnist,train,resnet_b,20,8,a2,1e-06,1e-06,2891,2.1079504011670314,12180037.0,9798.903459372486,1243,128,0.09336250911743253,75531355.0,49691.68092105263,1520,60000,0.9579166666666666,0.9562
mnist,train,resnet_b,20,112,a1,1e-06,1e-06,3399,2.1290726817042605,10150284.0,7173.345583038869,1415,181,0.11340852130325814,92793944.0,51466.41375485302,1803,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_b,20,16,a1,1e-06,1e-06,3581,2.133492252681764,18524397.0,12558.913220338984,1475,203,0.12097735399284863,106176843.0,55794.45244351025,1903,70000,0.9763333333333334,0.9694
mnist,trainUval,resnet_b,20,96,a1,1e-06,1e-06,3843,2.1320754716981134,14355929.0,8950.08042394015,1604,198,0.10987791342952276,121094155.0,59330.796178343946,2041,70000,0.9990833333333333,0.9804
mnist,val,resnet_c,20,56,a2,1e-06,1e-06,508,2.1125,229386.0,1071.8971962616822,214,26,0.10833333333333334,2370178.0,8843.94776119403,268,10000,0.9954333333333333,0.9784
mnist,val,resnet_c,20,80,a2,1e-06,1e-06,488,2.126637554585153,209167.0,1030.3793103448277,203,26,0.11353711790393013,2285214.0,8823.220077220078,259,10000,0.9979166666666667,0.9786
mnist,train,resnet_c,20,40,a1,1e-06,1e-06,3063,2.1337979094076656,11233393.0,8796.70555990603,1277,158,0.11010452961672473,80817238.0,49642.038083538086,1628,60000,0.9910833333333333,0.9751
mnist,train,resnet_c,20,88,a1,1e-06,1e-06,3306,2.132258064516129,10328299.0,7544.411249086925,1369,181,0.1167741935483871,89664505.0,51061.7910022779,1756,60000,0.9987333333333334,0.979
mnist,trainUval,resnet_c,20,96,a3,1e-06,1e-06,4164,2.119653767820774,11576426.0,6653.118390804598,1740,224,0.11405295315682282,135722375.0,61691.98863636364,2200,70000,0.999,0.9792
mnist,trainUval,resnet_c,20,72,a2,1e-06,1e-06,4131,2.11577868852459,13710924.0,7825.869863013699,1752,200,0.10245901639344263,131944025.0,60552.55851307939,2179,70000,0.99615,0.9776
mnist,val,resnet_a,20,136,a1,1e-06,1e-06,342,2.0920245398773005,157321.0,1070.2108843537414,147,16,0.09815950920245399,1588705.0,8875.446927374302,179,10000,0.9996333333333334,0.9786
mnist,val,resnet_a,20,40,a3,1e-06,1e-06,503,2.1092436974789917,199011.0,938.7311320754717,212,26,0.1092436974789916,2356643.0,8892.992452830189,265,10000,0.9913333333333333,0.9765
mnist,train,resnet_a,20,96,a5,1e-06,1e-06,4013,2.1283819628647214,8996346.0,5393.492805755395,1668,217,0.11511936339522547,112576062.0,52902.28477443609,2128,60000,0.99905,0.9783
mnist,train,resnet_a,20,64,a1,1e-06,1e-06,3331,2.1277955271565494,11736266.0,8443.356834532375,1390,175,0.11182108626198083,88464523.0,50093.16138165345,1766,60000,0.9966666666666667,0.9767
mnist,trainUval,resnet_a,20,0,a5,1e-06,1e-06,3029,2.0897170462387855,8548842.0,6447.090497737557,1326,123,0.08488612836438923,98890636.0,62589.01012658228,1580,70000,0.7192666666666667,0.883
mnist,val,resnet_b,20,104,a3,1e-06,1e-06,580,2.097826086956522,246955.0,991.7871485943775,249,27,0.09782608695652174,2669834.0,8782.348684210527,304,10000,0.9994833333333333,0.9788
mnist,val,resnet_b,20,88,a5,1e-06,1e-06,631,2.135593220338983,239498.0,931.8988326848249,257,38,0.1288135593220339,2966674.0,8829.386904761905,336,10000,0.9987333333333334,0.9792
mnist,train,resnet_b,20,144,a4,1e-06,1e-06,3836,2.1341124095715083,8421562.0,5336.85804816223,1578,219,0.12186978297161936,108312811.0,53120.554683668466,2039,60000,0.9996666666666667,0.9813
mnist,train,resnet_b,20,48,a1,1e-06,1e-06,3096,2.155292479108635,10798730.0,8563.624107850912,1261,175,0.12186629526462396,83264965.0,50159.617469879515,1660,60000,0.9941333333333333,0.9781
mnist,trainUval,resnet_b,20,128,a2,1e-06,1e-06,4263,2.1235675137020427,13121994.0,7330.722905027933,1790,217,0.1081215744892875,137906741.0,61128.87455673759,2256,70000,0.9998,0.9783
mnist,trainUval,resnet_b,20,128,a1,1e-06,1e-06,4020,2.1186083289404323,14117291.0,8314.070082449942,1698,199,0.10490247759620454,126836282.0,59743.8916627414,2123,70000,0.9998,0.9783
mnist,val,resnet_c,20,112,a2,1e-06,1e-06,475,2.0789473684210527,204989.0,966.9292452830189,212,16,0.07017543859649122,2196062.0,8890.939271255062,247,10000,0.9995333333333334,0.9805
mnist,val,resnet_c,20,104,a1,1e-06,1e-06,315,2.0657894736842106,162209.0,1150.4184397163122,141,11,0.07236842105263158,1414009.0,8674.901840490798,163,10000,0.9995666666666667,0.9787
mnist,train,resnet_c,20,8,a2,1e-06,1e-06,2926,2.1149674620390457,12046498.0,9668.136436597111,1246,137,0.09906001446131597,76932327.0,49858.9287103046,1543,60000,0.9582333333333334,0.9556
mnist,train,resnet_c,20,112,a1,1e-06,1e-06,3484,2.157992565055762,9946332.0,7044.14447592068,1412,202,0.1251548946716233,96423656.0,51563.45240641711,1870,60000,0.9995333333333334,0.9805
mnist,trainUval,resnet_c,20,16,a1,1e-06,1e-06,3617,2.117096018735363,19083342.0,12456.48955613577,1532,176,0.10304449648711944,106310043.0,55688.86485070718,1909,70000,0.9753333333333334,0.9712
mnist,trainUval,resnet_c,20,96,a1,1e-06,1e-06,3978,2.122198505869797,14975945.0,8930.19976147883,1677,197,0.10512273212379936,124816142.0,59323.2614068441,2104,70000,0.999,0.9792
mnist,val,resnet_a,20,24,a2,1e-06,1e-06,409,2.1139896373056994,173742.0,1010.1279069767442,172,21,0.10880829015544041,1928916.0,8930.166666666666,216,10000,0.9826666666666667,0.9713
