,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,171,-0.7521222057004963,-0.7358618729171889,-0.06759945855251591,-0.05565355383318688
full_colless_index,171,-0.11183664692665812,-0.12430424438849728,-0.2060527124179642,-0.19469746982202613
full_sackin_index,171,-0.09501342628023945,-0.08416990310309475,0.1435163641565521,0.1318238604136145
full_average_sackin_index,171,0.0035304001570745165,0.007550277545779158,0.14564808052499548,0.13194272773589905
full_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
full_missing_colless_frac,171,-0.6803222428461811,-0.6645494259071564,-0.11131583127083047,-0.12601587323802013
mnist_average_branching_factor,171,-0.7521222057004963,-0.7358618729171889,-0.06759945855251591,-0.05565355383318688
mnist_colless_index,171,-0.11183664692665812,-0.12430424438849728,-0.2060527124179642,-0.19469746982202613
mnist_sackin_index,171,-0.09501342628023945,-0.08416990310309475,0.1435163641565521,0.1318238604136145
mnist_average_sackin_index,171,0.0035304001570745165,0.007550277545779158,0.14564808052499548,0.13194272773589905
mnist_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
mnist_missing_colless_frac,171,-0.6803222428461811,-0.6645494259071564,-0.11131583127083047,-0.12601587323802013
resnet_a_average_branching_factor,57,-0.718483538555726,-0.6917886619950466,0.05977224673549178,0.07206982918712529
resnet_a_colless_index,57,-0.10820143452609837,-0.12053099812055511,-0.22584221205150495,-0.20266547824822778
resnet_a_sackin_index,57,-0.0816749564238714,-0.07153278224162407,0.1734701818430094,0.16604740048689492
resnet_a_average_sackin_index,57,0.004480489432999358,0.008381238771050403,0.1853463671319248,0.16088580973862196
resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
resnet_a_missing_colless_frac,57,-0.6205443903655609,-0.5906638204559886,0.039425680198834905,0.05570712738200776
resnet_b_average_branching_factor,57,-0.7695723519850328,-0.7595059000094966,-0.1515698372088542,-0.1203213351253332
resnet_b_colless_index,57,-0.11657190204436123,-0.12831902965107106,-0.19235526336800596,-0.15984177249507378
resnet_b_sackin_index,57,-0.1157069616034555,-0.10518017159318918,0.12577074912523467,0.10844320009714506
resnet_b_average_sackin_index,57,0.0026185816142347447,0.006789767690510117,0.13784162597626337,0.10922196634559854
resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
resnet_b_missing_colless_frac,57,-0.709202646067421,-0.7026683620605966,-0.18846448608628244,-0.2217572826986319
resnet_c_average_branching_factor,57,-0.7670233374801608,-0.7597022344051153,-0.08566428732988118,-0.09310341047828244
resnet_c_colless_index,57,-0.1109464159847861,-0.12398048791692569,-0.20851466302341537,-0.21454687581972406
resnet_c_sackin_index,57,-0.08752183584230512,-0.07634085896288768,0.11759370351647327,0.11521060104164031
resnet_c_average_sackin_index,57,0.003513066988370013,0.007475498229119495,0.11759370351647327,0.12816327216466494
resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
resnet_c_missing_colless_frac,57,-0.7102939719361987,-0.7074465882890069,-0.17804831872510876,-0.17311087224041746
mnist_resnet_a_average_branching_factor,57,-0.718483538555726,-0.6917886619950466,0.05977224673549178,0.07206982918712529
mnist_resnet_a_colless_index,57,-0.10820143452609837,-0.12053099812055511,-0.22584221205150495,-0.20266547824822778
mnist_resnet_a_sackin_index,57,-0.0816749564238714,-0.07153278224162407,0.1734701818430094,0.16604740048689492
mnist_resnet_a_average_sackin_index,57,0.004480489432999358,0.008381238771050403,0.1853463671319248,0.16088580973862196
mnist_resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
mnist_resnet_a_missing_colless_frac,57,-0.6205443903655609,-0.5906638204559886,0.039425680198834905,0.05570712738200776
mnist_resnet_b_average_branching_factor,57,-0.7695723519850328,-0.7595059000094966,-0.1515698372088542,-0.1203213351253332
mnist_resnet_b_colless_index,57,-0.11657190204436123,-0.12831902965107106,-0.19235526336800596,-0.15984177249507378
mnist_resnet_b_sackin_index,57,-0.1157069616034555,-0.10518017159318918,0.12577074912523467,0.10844320009714506
mnist_resnet_b_average_sackin_index,57,0.0026185816142347447,0.006789767690510117,0.13784162597626337,0.10922196634559854
mnist_resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
mnist_resnet_b_missing_colless_frac,57,-0.709202646067421,-0.7026683620605966,-0.18846448608628244,-0.2217572826986319
mnist_resnet_c_average_branching_factor,57,-0.7670233374801608,-0.7597022344051153,-0.08566428732988118,-0.09310341047828244
mnist_resnet_c_colless_index,57,-0.1109464159847861,-0.12398048791692569,-0.20851466302341537,-0.21454687581972406
mnist_resnet_c_sackin_index,57,-0.08752183584230512,-0.07634085896288768,0.11759370351647327,0.11521060104164031
mnist_resnet_c_average_sackin_index,57,0.003513066988370013,0.007475498229119495,0.11759370351647327,0.12816327216466494
mnist_resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
mnist_resnet_c_missing_colless_frac,57,-0.7102939719361987,-0.7074465882890069,-0.17804831872510876,-0.17311087224041746
