dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc
mnist,val,resnet_c,20,40,a4,1e-06,1e-06,290,2.020979020979021,44848.0,324.9855072463768,138,5,0.03496503496503497,1109958.0,7550.734693877551,147,10000,0.9910833333333333,0.9751
mnist,val,resnet_c,20,104,a5,1e-06,1e-06,388,2.0585106382978724,132394.0,752.2386363636364,176,12,0.06382978723404255,1649348.0,8246.74,200,10000,0.9995666666666667,0.9787
mnist,train,resnet_c,20,48,a5,1e-06,1e-06,1904,2.0684782608695653,1965802.0,2293.8179696616103,857,63,0.06847826086956521,47386634.0,48157.14837398374,984,60000,0.9941166666666666,0.9759
mnist,train,resnet_c,20,32,a5,1e-06,1e-06,1730,2.085645355850422,1375511.0,1814.6583113456463,758,71,0.0856453558504222,41997380.0,46611.96448390677,901,60000,0.9856166666666667,0.974
mnist,trainUval,resnet_c,20,128,a5,1e-06,1e-06,2351,2.1000893655049153,3981547.0,3930.451135241856,1013,106,0.09472743521000894,71780565.0,58263.44561688312,1232,70000,0.9996666666666667,0.9804
mnist,trainUval,resnet_c,20,128,a4,1e-06,1e-06,2221,2.084507042253521,2353910.0,2399.500509683996,981,84,0.07887323943661972,62823154.0,54345.28892733564,1156,70000,0.9996666666666667,0.9804
mnist,val,resnet_a,20,80,a5,1e-06,1e-06,396,2.068062827225131,98425.0,559.2329545454545,176,15,0.07853403141361257,1648523.0,8041.575609756098,205,10000,0.9982333333333333,0.979
mnist,val,resnet_a,20,96,a2,1e-06,1e-06,294,2.092857142857143,16449.0,129.51968503937007,127,13,0.09285714285714286,908788.0,5901.220779220779,154,10000,0.99905,0.9783
mnist,train,resnet_a,20,48,a3,1e-06,1e-06,1739,2.0889423076923075,826606.0,1086.210249671485,761,71,0.08533653846153846,35754990.0,39421.157662624035,907,60000,0.99415,0.9771
mnist,train,resnet_a,20,72,a5,1e-06,1e-06,1927,2.0934782608695652,2570891.0,3064.2324195470796,839,81,0.08804347826086957,50836792.0,50483.408142999004,1007,60000,0.99605,0.9787
mnist,trainUval,resnet_a,20,8,a5,1e-06,1e-06,1557,2.0691489361702127,1335833.0,1911.0629470672388,699,53,0.07047872340425532,40799880.0,50683.08074534161,805,70000,0.9588833333333333,0.957
mnist,val,resnet_b,20,32,a4,1e-06,1e-06,302,2.0902777777777777,29999.0,232.5503875968992,129,15,0.10416666666666667,1197629.0,7579.930379746836,158,10000,0.9854833333333334,0.9749
mnist,val,resnet_b,20,112,a4,1e-06,1e-06,347,2.0473372781065087,71634.0,450.52830188679246,159,10,0.05917159763313609,1450944.0,8151.3707865168535,178,10000,0.9996333333333334,0.9799
mnist,train,resnet_b,20,48,a2,1e-06,1e-06,1457,2.0949640287769786,254147.0,402.76862123613313,631,64,0.0920863309352518,25068701.0,32898.557742782155,762,60000,0.9941333333333333,0.9781
mnist,train,resnet_b,20,112,a3,1e-06,1e-06,1902,2.1005524861878455,1552778.0,1895.9438339438339,819,86,0.09502762430939227,44845580.0,44980.521564694085,997,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_b,20,104,a2,1e-06,1e-06,1750,2.097122302158273,467252.0,614.8052631578947,760,74,0.08872901678657075,37201700.0,40613.2096069869,916,70000,0.9994833333333333,0.9788
mnist,trainUval,resnet_b,20,88,a4,1e-06,1e-06,2182,2.103182256509161,2281349.0,2437.3386752136753,936,101,0.09739633558341369,60903804.0,53191.09519650655,1145,70000,0.9987333333333334,0.9792
mnist,val,resnet_c,20,120,a2,1e-06,1e-06,285,2.072992700729927,21214.0,168.36507936507937,126,11,0.08029197080291971,881431.0,5955.614864864865,148,10000,0.9995,0.9804
mnist,val,resnet_c,20,56,a5,1e-06,1e-06,358,2.04,75084.0,452.31325301204816,166,9,0.05142857142857143,1517555.0,8292.650273224044,183,10000,0.9954333333333333,0.9784
mnist,train,resnet_c,20,64,a4,1e-06,1e-06,1714,2.1044226044226044,1531145.0,2091.7281420765025,732,82,0.10073710073710074,41580766.0,46200.851111111115,900,60000,0.9961833333333333,0.9772
mnist,train,resnet_c,20,144,a3,1e-06,1e-06,1891,2.097669256381798,1796417.0,2201.4914215686276,816,85,0.09433962264150944,44457181.0,44906.243434343436,990,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_c,20,120,a3,1e-06,1e-06,2122,2.093780848963475,1950192.0,2108.3156756756757,925,88,0.08687068114511352,54755919.0,49374.13796212804,1109,70000,0.9995,0.9804
mnist,trainUval,resnet_c,20,0,a1,1e-06,1e-06,470,2.057017543859649,1401312.0,6548.186915887851,214,14,0.06140350877192982,12073445.0,49890.26859504132,242,70000,0.7126833333333333,0.8864
mnist,val,resnet_a,20,8,a3,1e-06,1e-06,203,2.04040404040404,30369.0,326.5483870967742,93,6,0.06060606060606061,599133.0,5760.8942307692305,104,10000,0.9588833333333333,0.957
mnist,val,resnet_a,20,16,a5,1e-06,1e-06,280,2.0977443609022557,45330.0,384.1525423728813,118,15,0.11278195488721804,1147323.0,7804.918367346939,147,10000,0.976,0.9675
mnist,train,resnet_a,20,120,a4,1e-06,1e-06,1998,2.0910994764397905,2506792.0,2888.009216589862,868,87,0.09109947643979058,50952583.0,48851.949185043144,1043,60000,0.9996166666666667,0.9801
mnist,train,resnet_a,20,120,a1,1e-06,1e-06,640,2.074675324675325,261859.0,918.8035087719298,285,23,0.07467532467532467,3469835.0,10451.310240963856,332,60000,0.9996166666666667,0.9801
mnist,trainUval,resnet_a,20,128,a3,1e-06,1e-06,2110,2.088118811881188,2790905.0,3010.6850053937433,927,83,0.08217821782178218,58900308.0,53545.73454545454,1100,70000,0.99965,0.981
mnist,val,resnet_b,20,72,a3,1e-06,1e-06,332,2.06875,47839.0,325.4353741496599,147,13,0.08125,1249812.0,7266.3488372093025,172,10000,0.9959,0.9782
mnist,val,resnet_b,20,24,a3,1e-06,1e-06,273,2.0148148148148146,27574.0,210.4885496183206,131,4,0.02962962962962963,930586.0,6743.376811594203,138,10000,0.9833666666666666,0.9741
mnist,train,resnet_b,20,144,a5,1e-06,1e-06,2150,2.0965853658536586,3665777.0,3929.021436227224,933,92,0.0897560975609756,57784120.0,51363.66222222222,1125,60000,0.9996666666666667,0.9813
mnist,train,resnet_b,20,112,a5,1e-06,1e-06,2134,2.0932286555446518,3711447.0,4008.0421166306696,926,93,0.09126594700686948,57355492.0,51439.903139013455,1115,60000,0.9996333333333334,0.9799
mnist,trainUval,resnet_b,20,32,a2,1e-06,1e-06,1406,2.087667161961367,289813.0,471.2406504065041,615,58,0.0861812778603269,23738931.0,32385.990450204637,733,70000,0.9854833333333334,0.9749
mnist,trainUval,resnet_b,20,120,a5,1e-06,1e-06,2351,2.096342551293488,4364511.0,4274.741429970617,1021,100,0.08920606601248884,72957388.0,59314.949593495934,1230,70000,0.9997333333333334,0.9797
mnist,val,resnet_c,20,32,a4,1e-06,1e-06,301,2.027027027027027,29227.0,205.82394366197184,142,6,0.04054054054054054,1109622.0,7252.431372549019,153,10000,0.9856166666666667,0.974
mnist,val,resnet_c,20,112,a4,1e-06,1e-06,372,2.0726256983240225,67226.0,407.43030303030304,165,14,0.0782122905027933,1514394.0,7846.60103626943,193,10000,0.9995333333333334,0.9805
mnist,train,resnet_c,20,48,a2,1e-06,1e-06,1406,2.0907738095238093,307709.0,500.33983739837396,615,57,0.08482142857142858,22753090.0,30998.76021798365,734,60000,0.9941166666666666,0.9759
