,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,171,0.21169776341753885,0.21655886373924615,0.17344204747187383,0.1997977075054992
full_colless_index,171,-0.692199641223055,-0.6706486007199814,0.1142592771741157,0.12360040293556213
full_sackin_index,171,-0.44198041964843343,-0.44318507298028814,-0.3177265633208935,-0.3047361918969369
full_average_sackin_index,171,-0.6055242157053794,-0.6076721295400251,-0.45638535082030013,-0.43955334760808157
full_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
full_missing_colless_frac,171,0.23077216476904996,0.23394000684834765,0.213955336832913,0.23314276039615023
mnist_average_branching_factor,171,0.21169776341753885,0.21655886373924615,0.17344204747187383,0.1997977075054992
mnist_colless_index,171,-0.692199641223055,-0.6706486007199814,0.1142592771741157,0.12360040293556213
mnist_sackin_index,171,-0.44198041964843343,-0.44318507298028814,-0.3177265633208935,-0.3047361918969369
mnist_average_sackin_index,171,-0.6055242157053794,-0.6076721295400251,-0.45638535082030013,-0.43955334760808157
mnist_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
mnist_missing_colless_frac,171,0.23077216476904996,0.23394000684834765,0.213955336832913,0.23314276039615023
resnet_a_average_branching_factor,57,0.2252387850281332,0.2145392912326436,0.17639341363034286,0.1983835987362759
resnet_a_colless_index,57,-0.6528961153663634,-0.6328919151352437,0.18203661057599754,0.2070479609590256
resnet_a_sackin_index,57,-0.41224794240931184,-0.4156960810501751,-0.3113118078192728,-0.3228428930287722
resnet_a_average_sackin_index,57,-0.6081360562119381,-0.6109734070533073,-0.46394999251615204,-0.4409751492109445
resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
resnet_a_missing_colless_frac,57,0.2531794549749841,0.23804064397546795,0.22769547156808603,0.25272726495858416
resnet_b_average_branching_factor,57,0.21068195396436737,0.2424947965193142,0.3971836590892614,0.40964432290382646
resnet_b_colless_index,57,-0.7355851647617137,-0.7194343287848701,0.021610763394583666,0.000584074686340099
resnet_b_sackin_index,57,-0.4630081294663029,-0.45986506713799613,-0.3019666128378312,-0.26186015104247773
resnet_b_average_sackin_index,57,-0.6029941356811863,-0.6037196821337714,-0.4427286122457951,-0.41722401760894406
resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
resnet_b_missing_colless_frac,57,0.21021516585012898,0.2376346551367249,0.43008759947459724,0.42872471436987925
resnet_c_average_branching_factor,57,0.20510381073361558,0.2002550439392132,-0.06678353466793688,-0.022108623629224167
resnet_c_colless_index,57,-0.6897158386996811,-0.6691478661816913,0.16801881810383518,0.18026612217081675
resnet_c_sackin_index,57,-0.4513543314855444,-0.45523663683797216,-0.35258641898730647,-0.3387172192923288
resnet_c_average_sackin_index,57,-0.605623099805064,-0.6084556369933649,-0.4602508528359981,-0.46230323173682714
resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
resnet_c_missing_colless_frac,57,0.24532383151287115,0.23889602436988575,-0.04847819896622823,-0.01996464346030115
mnist_resnet_a_average_branching_factor,57,0.2252387850281332,0.2145392912326436,0.17639341363034286,0.1983835987362759
mnist_resnet_a_colless_index,57,-0.6528961153663634,-0.6328919151352437,0.18203661057599754,0.2070479609590256
mnist_resnet_a_sackin_index,57,-0.41224794240931184,-0.4156960810501751,-0.3113118078192728,-0.3228428930287722
mnist_resnet_a_average_sackin_index,57,-0.6081360562119381,-0.6109734070533073,-0.46394999251615204,-0.4409751492109445
mnist_resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
mnist_resnet_a_missing_colless_frac,57,0.2531794549749841,0.23804064397546795,0.22769547156808603,0.25272726495858416
mnist_resnet_b_average_branching_factor,57,0.21068195396436737,0.2424947965193142,0.3971836590892614,0.40964432290382646
mnist_resnet_b_colless_index,57,-0.7355851647617137,-0.7194343287848701,0.021610763394583666,0.000584074686340099
mnist_resnet_b_sackin_index,57,-0.4630081294663029,-0.45986506713799613,-0.3019666128378312,-0.26186015104247773
mnist_resnet_b_average_sackin_index,57,-0.6029941356811863,-0.6037196821337714,-0.4427286122457951,-0.41722401760894406
mnist_resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
mnist_resnet_b_missing_colless_frac,57,0.21021516585012898,0.2376346551367249,0.43008759947459724,0.42872471436987925
mnist_resnet_c_average_branching_factor,57,0.20510381073361558,0.2002550439392132,-0.06678353466793688,-0.022108623629224167
mnist_resnet_c_colless_index,57,-0.6897158386996811,-0.6691478661816913,0.16801881810383518,0.18026612217081675
mnist_resnet_c_sackin_index,57,-0.4513543314855444,-0.45523663683797216,-0.35258641898730647,-0.3387172192923288
mnist_resnet_c_average_sackin_index,57,-0.605623099805064,-0.6084556369933649,-0.4602508528359981,-0.46230323173682714
mnist_resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
mnist_resnet_c_missing_colless_frac,57,0.24532383151287115,0.23889602436988575,-0.04847819896622823,-0.01996464346030115
