,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,804,-0.03297322847546791,0.1705164467347842,0.12651913187735525,0.24045106174778685
full_colless_index,804,-0.8022939152520793,-0.6517301919300166,-0.2811213659585906,-0.27269807947355107
full_sackin_index,804,-0.8234704611148699,-0.7202781721746274,-0.8929687931836087,-0.8458970317484952
full_average_sackin_index,804,-0.7090644470607106,-0.8041721908045812,-0.95141026412492,-0.8721338853904848
full_total_volume,804,0.3035524687595869,0.7237305039241841,0.6045303528798398,0.8475524257191256
full_missing_colless_frac,804,0.07587426250281445,0.2931703961315114,0.2670292130390684,0.37109166517899744
cifar_average_branching_factor,402,-0.14299234594080182,-0.1792341947513162,0.19882838337272707,0.22215063239863758
cifar_colless_index,402,-0.9158008063636697,-0.9445901787752319,-0.6251201527199028,-0.6265754255315934
cifar_sackin_index,402,-0.7934455096028707,-0.8687598683480535,-0.7183321078158279,-0.6851547504410174
cifar_average_sackin_index,402,-0.6817975833063412,-0.6162062707786098,-0.8831812426455264,-0.8997821027899238
cifar_total_volume,402,,,,
cifar_missing_colless_frac,402,-0.05205131412017785,-0.09947472630309984,0.22359766314554036,0.2318558575517308
mnist_average_branching_factor,402,-0.24634434761955348,-0.24114773011262494,-0.5619757841000629,-0.6497965103019254
mnist_colless_index,402,-0.9331139196480815,-0.9453558762080545,0.13210052567450464,0.04238924593916391
mnist_sackin_index,402,-0.8687400708998986,-0.8615335574086281,-0.9820932377373774,-0.8874484444059981
mnist_average_sackin_index,402,-0.7642404322755753,-0.7260799580051968,-0.976486509893401,-0.8504397020206635
mnist_total_volume,402,,,,
mnist_missing_colless_frac,402,-0.1486760548864344,-0.15027544071057936,-0.3232146526427007,-0.44526451874360573
densenet_average_branching_factor,402,0.031749641963683295,0.32277326281044155,0.27946364912498967,0.5007076150206599
densenet_colless_index,402,-0.8146914119008267,-0.6654716853525325,-0.24045629712143113,-0.21108027377417554
densenet_sackin_index,402,-0.8250596995340191,-0.7316929426730147,-0.8365109886403815,-0.9112193563408015
densenet_average_sackin_index,402,-0.6957114858927113,-0.7719101490637695,-0.941745612289919,-0.8527242944371489
densenet_total_volume,402,0.23937278570662326,0.6836597988107693,0.4685077938435906,0.8363691905029467
densenet_missing_colless_frac,402,0.11360218277783493,0.4057858547040807,0.3201179420157718,0.5480248009357448
resnet_average_branching_factor,402,-0.11709634750013269,0.05176846916723354,0.05410458374153284,0.1290510889236693
resnet_colless_index,402,-0.8177792694534134,-0.6656765093724257,-0.29943630156355805,-0.28541839882860914
resnet_sackin_index,402,-0.8354344433074651,-0.7181645349096777,-0.959253765936939,-0.8887492181700238
resnet_average_sackin_index,402,-0.7248993503166801,-0.838927165860229,-0.9593119702967186,-0.9204686028741618
resnet_total_volume,402,0.3688608917004857,0.7629436418552765,0.7206670067140846,0.8574420905692199
resnet_missing_colless_frac,402,0.04125788055422616,0.2171912666183456,0.2831750947463466,0.33820868009369714
cifar_densenet_average_branching_factor,201,-0.04194678187378286,-0.0725547040362224,0.33549188305739897,0.3575681425979796
cifar_densenet_colless_index,201,-0.9571724227714083,-0.9671521521959696,-0.5488892164718421,-0.56736996497461
cifar_densenet_sackin_index,201,-0.8353272615195043,-0.8996160741863473,-0.6996482540482004,-0.717824565855
cifar_densenet_average_sackin_index,201,-0.6650627310274373,-0.62537254722557,-0.8895415702136032,-0.9380531039415804
cifar_densenet_total_volume,201,,,,
cifar_densenet_missing_colless_frac,201,0.001668021494858972,-0.030274650401666322,0.27874301471678103,0.28954033048662153
cifar_resnet_average_branching_factor,201,-0.2883848007036688,-0.33086308494584077,0.0009355970029739957,0.003627769747836432
cifar_resnet_colless_index,201,-0.8792272961460301,-0.9260689870257253,-0.6680200547811314,-0.6366151268345454
cifar_resnet_sackin_index,201,-0.7764112194601795,-0.861140064107904,-0.9152053708062625,-0.8867122905543633
cifar_resnet_average_sackin_index,201,-0.707672088834361,-0.6068808966627838,-0.8860209540047518,-0.8598633354137427
cifar_resnet_total_volume,201,,,,
cifar_resnet_missing_colless_frac,201,-0.1345440850793856,-0.19754369913977912,0.1233597294108445,0.11831700782713893
mnist_densenet_average_branching_factor,201,-0.2550997290736469,-0.22291671101258675,-0.4895093234384154,-0.4653797033424926
mnist_densenet_colless_index,201,-0.924851118244314,-0.9422290210249481,0.00832060799169297,-0.0026163481336694185
mnist_densenet_sackin_index,201,-0.8325605996285834,-0.8258952648100193,-0.9842237330791941,-0.9453745313806104
mnist_densenet_average_sackin_index,201,-0.7640657721734244,-0.7152547672546422,-0.9737239534207601,-0.939413839940485
mnist_densenet_total_volume,201,,,,
mnist_densenet_missing_colless_frac,201,-0.1186851603134547,-0.09799150649077223,-0.2912896866770994,-0.2818714729471848
mnist_resnet_average_branching_factor,201,-0.2284131016795445,-0.21223133099178484,-0.43954501243648564,-0.4576754671855063
mnist_resnet_colless_index,201,-0.9757716774187345,-0.9861170811179996,0.2860398969579239,0.25584471305111056
mnist_resnet_sackin_index,201,-0.977878749068505,-0.9678500185248853,-0.9757765486927474,-0.9356018757488359
mnist_resnet_average_sackin_index,201,-0.8061795044618719,-0.7745376852601589,-0.9614484414583341,-0.9398146739519694
mnist_resnet_total_volume,201,,,,
mnist_resnet_missing_colless_frac,201,-0.13587088573841433,-0.12989464551143062,-0.10877440463650709,-0.13755159421810867
