dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc,average_branching_factor_variance_w3,colless_index_variance_w3,sackin_index_variance_w3,total_volume_variance_w3,missing_colless_frac_variance_w3,average_branching_factor_variance_w5,colless_index_variance_w5,sackin_index_variance_w5,total_volume_variance_w5,missing_colless_frac_variance_w5,average_branching_factor_variance_w7,colless_index_variance_w7,sackin_index_variance_w7,total_volume_variance_w7,missing_colless_frac_variance_w7,average_branching_factor_variance_w9,colless_index_variance_w9,sackin_index_variance_w9,total_volume_variance_w9,missing_colless_frac_variance_w9,average_branching_factor_variance_w11,colless_index_variance_w11,sackin_index_variance_w11,total_volume_variance_w11,missing_colless_frac_variance_w11,average_branching_factor_variance_w13,colless_index_variance_w13,sackin_index_variance_w13,total_volume_variance_w13,missing_colless_frac_variance_w13,average_branching_factor_variance_w15,colless_index_variance_w15,sackin_index_variance_w15,total_volume_variance_w15,missing_colless_frac_variance_w15
cifar,train,densenet,20,0,a1,0.0,0.0,2294,2.09981684981685,5323973.0,5356.109657947686,994,98,0.0897435897435897,52616904.0,43774.46256239601,1202,50000,0.09992,0.0998,0.002210028982007018,4012273107084.5,834186911307912.0,0.0,0.0012372123602892812,0.001380726363330274,2847945859022.333,600404310090916.4,0.0,0.0007345881400864478,0.0011734306871584819,2013094942182.25,450266372575998.8,0.0,0.0006623840411393069,0.0009533832550638117,2002592575714.7,367671102940007.0,0.0,0.0006236819791772468,0.0010590943660708386,1960969872374.9663,317099724384573.75,0.0,0.0007117344874041512,0.0008839130449778539,1982719786728.6667,276998548561661.53,0.0,0.0005938739697962915,0.0008720142610706926,1874140016834.7856,245502695446855.03,0.0,0.0005951278407191304
cifar,train,densenet,20,125,a1,0.0,0.0,710,2.055072463768116,211828.0,653.7901234567901,324,21,0.0608695652173913,2991251.0,8195.208219178083,365,50000,0.99836,0.8659,0.001380726363330274,2847945859022.333,600404310090916.4,0.0,0.0007345881400864478,0.0011734306871584819,2013094942182.25,450266372575998.8,0.0,0.0006623840411393069,0.0009533832550638117,2002592575714.7,367671102940007.0,0.0,0.0006236819791772468,0.0010590943660708386,1960969872374.9663,317099724384573.75,0.0,0.0007117344874041512,0.0008839130449778539,1982719786728.6667,276998548561661.53,0.0,0.0005938739697962915,0.0008720142610706926,1874140016834.7856,245502695446855.03,0.0,0.0005951278407191304,0.0008376188733257666,1814525810218.1113,220184884955556.22,0.0,0.0006033865307341958
cifar,train,densenet,20,150,a1,0.0,0.0,868,2.0692124105011933,265464.0,680.6769230769231,390,29,0.0692124105011933,2190354.0,4878.293986636971,449,50000,0.9999,0.8752,4.10359505075403e-05,36747181721.333336,2292013986793.0,0.0,4.8081827956737244e-05,0.0009533832550638117,2002592575714.7,367671102940007.0,0.0,0.0006236819791772468,0.0010590943660708386,1960969872374.9663,317099724384573.75,0.0,0.0007117344874041512,0.0008839130449778539,1982719786728.6667,276998548561661.53,0.0,0.0005938739697962915,0.0008720142610706926,1874140016834.7856,245502695446855.03,0.0,0.0005951278407191304,0.0008376188733257666,1814525810218.1113,220184884955556.22,0.0,0.0006033865307341958,0.0007758348974752455,1732270102597.4333,200093131951126.66,0.0,0.0005548576065396759
cifar,train,densenet,20,176,a1,0.0,0.0,306,2.046979865771812,120061.0,851.4964539007092,141,8,0.0536912751677852,3013258.0,19192.72611464968,157,50000,0.9702,0.8464,0.0004884924631546835,289387168644.3334,820183583323.0,0.0,0.0005286532538634457,0.0004497216229513622,306497199713.5,3681389226089.2,0.0,0.0004432116314130759,0.0008839130449778539,1982719786728.6667,276998548561661.53,0.0,0.0005938739697962915,0.0008720142610706926,1874140016834.7856,245502695446855.03,0.0,0.0005951278407191304,0.0008376188733257666,1814525810218.1113,220184884955556.22,0.0,0.0006033865307341958,0.0007758348974752455,1732270102597.4333,200093131951126.66,0.0,0.0005548576065396759,0.0007013980686247838,1676110071362.0542,182983822351663.5,0.0,0.0004998842554111748
cifar,train,densenet,20,200,a1,0.0,0.0,396,2.046632124352332,174769.0,960.2692307692308,182,11,0.0569948186528497,2684267.0,13222.990147783252,203,50000,0.97902,0.8529,0.0008939478536222013,465970118224.3334,3211890323461.3335,0.0,0.0008765610469964708,0.0004595055329946181,436609210066.30005,2109238917465.2002,0.0,0.0004562781439727101,0.00037221581828683685,420763517256.9524,3587110406459.9526,0.0,0.00036583135635095856,0.0008376188733257666,1814525810218.1113,220184884955556.22,0.0,0.0006033865307341958,0.0007758348974752455,1732270102597.4333,200093131951126.66,0.0,0.0005548576065396759,0.0007013980686247838,1676110071362.0542,182983822351663.5,0.0,0.0004998842554111748,0.0006413471723455314,1579774632253.1516,169519688885513.3,0.0,0.0004547546461302097
cifar,train,densenet,20,45,a1,0.0,0.0,321,2.0125786163522013,496340.0,3202.1935483870966,155,4,0.0251572327044025,5195403.0,32070.38888888889,162,50000,0.9211,0.8124,0.0008299017224780078,77228406805.33333,1080815615881.3335,0.0,0.0007864346516438351,0.0005522095097517369,407512108498.7,2260762592496.8,0.0,0.0005434359818118617,0.00041643643725497995,411611613334.2857,1724086804079.0,0.0,0.0004322215855795272,0.00032426534754055185,442494093721.0,3240395936134.028,0.0,0.00033136408743007095,0.0007013980686247838,1676110071362.0542,182983822351663.5,0.0,0.0004998842554111748,0.0006413471723455314,1579774632253.1516,169519688885513.3,0.0,0.0004547546461302097,0.0005918282352507376,1513240572017.5256,157499041919295.53,0.0,0.0004176546710497313
cifar,train,densenet,20,70,a1,0.0,0.0,470,2.0480349344978164,135211.0,625.9768518518518,216,13,0.056768558951965,5166558.0,21438.0,241,50000,0.99714,0.8502,0.0003021194433588298,28818543176.333332,45197098358.33333,0.0,0.00030682672848273513,0.0006043453341074091,63320177016.799995,572898838595.7999,0.0,0.000624324972936185,0.00041730861272867457,352816398515.2381,1757215651716.6191,0.0,0.00043035035085369844,0.00032294801073019,395678205684.0,1519731847115.7498,0.0,0.0003320611698471112,0.00025953138428553977,428179656028.09094,3132152133040.6553,0.0,0.00026640960654424967,0.0005918282352507376,1513240572017.5256,157499041919295.53,0.0,0.0004176546710497313,0.0005510124075317988,1457226896867.9124,147997951299328.16,0.0,0.0003859331449714908
cifar,train,densenet,20,96,a1,0.0,0.0,344,2.029585798816568,153989.0,944.717791411043,163,6,0.0355029585798816,4065816.0,23233.234285714287,175,50000,0.97416,0.846,0.0002494468747823787,12776382001.0,4975278720.333333,0.0,0.000312261403417792,0.00016069642202826774,28592414656.3,46160053938.0,0.0,0.00018273066315042914,0.0004159680388916164,67496597528.571434,434908657302.1428,0.0,0.0004267031327590803,0.00031389451734587854,307073979495.6111,1636806941246.1943,0.0,0.000326017006889778,0.0002584504103475387,353220637425.4727,1592867696136.4546,0.0,0.0002664494246210445,0.0002169917818690694,414817329410.85895,3303237392551.7563,0.0,0.00022225507550150615,0.0005460147587108039,1421820019380.3523,138887467485430.48,0.0,0.0003822639685334466
cifar,trainUval,densenet,20,120,a1,0.0,0.0,686,2.044776119402985,232345.0,730.6446540880503,318,17,0.0507462686567164,5335607.0,15201.159544159544,351,60000,0.99624,0.8634,1.061822857137774e-05,14604924391.0,53130116524.33333,0.0,2.862278099771648e-05,0.00013800899609205786,15814953595.699999,26975168414.699997,0.0,0.00017156200625007483,0.00012808177850158657,29270508839.90476,161969828340.57144,0.0,0.00015079479825275764,0.0003120418847757858,58154736763.861115,525014107314.5,0.0,0.0003210821735535481,0.00025135600509879963,278885812117.5636,1797771438616.1636,0.0,0.00026158357834842245,0.00023911496665175158,348734590377.8974,1804667143939.577,0.0,0.00024021613826780535,0.00023782725267022234,422937812651.3524,3366647239263.067,0.0,0.00022688132584590954
cifar,trainUval,densenet,20,146,a1,0.0,0.0,929,2.0530973451327434,216732.0,506.38317757009344,428,24,0.0530973451327433,3852727.0,8076.995807127882,477,60000,0.99988,0.8741,6.0978633628533246e-05,6705877940.333333,49500726636.33333,0.0,0.0001051970296413471,5.7179849120682535e-05,16159107092.300001,227918606070.3,0.0,8.76446938630741e-05,9.608212568884855e-05,13231774658.476189,183561566978.0,0.0,0.00012432395567756253,9.96778108520465e-05,31289235917.194443,410990606507.1111,0.0,0.00012222395569737855,0.00027624049920754864,70086447383.2,742428452633.3636,0.0,0.00027839849890659904,0.0002626302046823159,277159986311.0256,1867234320932.0898,0.0,0.00025628562328536465,0.00025638130429818336,353589216505.981,1975944515153.838,0.0,0.0002539111600444555
