layer,valley_number,class,coverage
A8,1,1,68.30
A7,1,0,62.57
A7,1,5,40.66
A7,1,8,53.41
A7,2,1,52.77
A7,3,6,45.99
A6,1,0,65.73
A6,2,1,75.96
A6,3,3,57.75
A6,3,7,39.04
A6,4,6,46.00
A5,1,0,65.16
A5,2,1,82.82
A5,3,3,62.32
A5,3,7,46.30
A5,4,4,57.62
A5,5,6,35.76
A5,6,8,71.75
A4,1,0,87.92
A4,2,1,95.73
A4,3,1,0.01
A4,4,1,0.03
A4,5,2,69.54
A4,5,3,84.32
A4,6,4,71.40
A4,7,6,79.61
A4,8,7,75.68
A4,9,8,83.71
A4,10,9,70.37
A3,1,0,82.44
A3,2,1,94.39
A3,3,1,0.03
A3,4,2,68.77
A3,5,3,84.23
A3,6,4,71.73
A3,7,6,79.30
A3,8,7,83.04
A3,9,8,86.55
A3,10,9,61.24
A2,1,0,88.09
A2,2,1,96.47
A2,3,1,0.03
A2,4,2,80.07
A2,5,3,89.04
A2,6,4,87.05
A2,7,5,79.57
A2,8,6,68.99
A2,9,7,86.45
A2,10,8,92.82
A2,11,9,88.92
A1,1,0,92.68
A1,2,1,96.31
A1,3,2,68.61
A1,4,3,87.41
A1,5,4,85.16
A1,6,5,90.81
A1,7,6,90.85
A1,8,7,81.30
A1,9,8,90.46
A1,10,9,84.45
