,True Label,True Class,count,Proportion,Coverage
985,986,yellow lady's slipper,1234,0.005091452219155248,0.9141
24,24,great grey owl,1157,0.0047737522022387536,0.857
135,135,limpkin,1132,0.004670602846097035,0.8385
983,984,rapeseed,1097,0.0045261937474986285,0.8126
593,594,harp,1047,0.00431989503521519,0.7756
19,19,chickadee,1047,0.00431989503521519,0.7756
84,84,peacock,1012,0.004175485936616784,0.7496
89,89,sulphur-crested cockatoo,1010,0.004167233988125446,0.7481
141,141,redshank,983,0.00405583268349239,0.7281
117,117,chambered nautilus,983,0.00405583268349239,0.7281
799,800,slot,973,0.004014572941035702,0.7207
388,388,giant panda,960,0.003960935275842009,0.7111
45,45,Gila monster,958,0.00395268332735067,0.7096
606,607,jack-o'-lantern,956,0.003944431378859333,0.7081
324,324,cabbage butterfly,954,0.003936179430367995,0.7067
139,139,ruddy turnstone,949,0.003915549559139652,0.703
11,11,goldfinch,939,0.0038742898166829643,0.6956
29,29,axolotl,937,0.0038660378681916268,0.6941
145,145,king penguin,933,0.003849533971208952,0.6911
603,604,hourglass,929,0.003833030074226277,0.6881
15,15,robin,924,0.0038124002029979328,0.6844
576,576,gondola,920,0.003795896306015258,0.6815
387,387,lesser panda,916,0.003779392409032583,0.6785
9,9,ostrich,912,0.003762888512049908,0.6756
831,832,stupa,911,0.003758762537804239,0.6748
340,340,zebra,908,0.0037463846150672326,0.6726
181,181,Bedlington terrier,903,0.003725754743838889,0.6904
90,90,lorikeet,899,0.003709250846856214,0.6659
96,96,toucan,886,0.00365561318166252,0.6563
396,396,lionfish,885,0.003651487207416851,0.6556
87,87,African grey,882,0.003639109284679845,0.6533
364,364,three-toed sloth,880,0.0036308573361885075,0.6519
937,938,cauliflower,870,0.0035895975937318197,0.6444
660,661,Model T,866,0.0035730936967491448,0.6415
873,874,trolleybus,862,0.00355658979976647,0.6385
94,94,hummingbird,860,0.0035483378512751323,0.637
476,476,carousel,858,0.003540085902783795,0.6356
20,20,water ouzel,856,0.0035318339542924574,0.6341
105,105,koala,856,0.0035318339542924574,0.6341
731,732,Polaroid camera,855,0.0035277079800467887,0.6333
48,48,Komodo dragon,849,0.003502952134572776,0.6289
992,993,gyromitra,848,0.003498826160327107,0.6281
71,71,scorpion,848,0.003498826160327107,0.6281
735,736,pool table,846,0.0034905742118357696,0.6267
98,98,red-breasted merganser,838,0.0034575664178704197,0.7036
917,918,crossword puzzle,838,0.0034575664178704197,0.6207
510,510,container ship,836,0.0034493144693790822,0.6193
