,True Label,True Class,count,Proportion,Coverage
722,986,yellow lady's slipper,1234,0.005306089102737753,0.9141
21,24,great grey owl,1157,0.004974996022583128,0.857
100,135,limpkin,1132,0.004867498269286172,0.8385
720,984,rapeseed,1097,0.004717001414670434,0.8126
16,19,chickadee,1047,0.004502005908076521,0.7756
419,594,harp,1047,0.004502005908076521,0.7756
56,84,peacock,1012,0.004351509053460783,0.7496
60,89,sulphur-crested cockatoo,1010,0.004342909233197026,0.7481
85,117,chambered nautilus,983,0.004226811659636314,0.7281
106,141,redshank,983,0.004226811659636314,0.7281
580,800,slot,973,0.004183812558317531,0.7207
257,388,giant panda,960,0.004127913726603114,0.7111
33,45,Gila monster,958,0.004119313906339357,0.7096
428,607,jack-o'-lantern,956,0.004110714086075601,0.7081
210,324,cabbage butterfly,954,0.004102114265811844,0.7067
104,139,ruddy turnstone,949,0.0040806147151524535,0.703
8,11,goldfinch,939,0.004037615613833671,0.6956
23,29,axolotl,937,0.004029015793569914,0.6941
110,145,king penguin,933,0.004011816153042401,0.6911
425,604,hourglass,929,0.0039946165125148885,0.6881
12,15,robin,924,0.003973116961855497,0.6844
406,576,gondola,920,0.003955917321327984,0.6815
256,387,lesser panda,916,0.003938717680800471,0.6785
6,9,ostrich,912,0.003921518040272958,0.6756
605,832,stupa,911,0.00391721813014108,0.6748
225,340,zebra,908,0.0039043183997454455,0.6726
129,181,Bedlington terrier,903,0.003882818849086054,0.6904
61,90,lorikeet,899,0.003865619208558541,0.6659
67,96,toucan,886,0.003809720376844124,0.6563
263,396,lionfish,885,0.0038054204667122456,0.6556
58,87,African grey,882,0.003792520736316611,0.6533
241,364,three-toed sloth,880,0.0037839209160528543,0.6519
687,938,cauliflower,870,0.0037409218147340722,0.6444
468,661,Model T,866,0.003723722174206559,0.6415
637,874,trolleybus,862,0.003706522533679046,0.6385
65,94,hummingbird,860,0.0036979227134152897,0.637
326,476,carousel,858,0.0036893228931515333,0.6356
17,20,water ouzel,856,0.0036807230728877764,0.6341
75,105,koala,856,0.0036807230728877764,0.6341
522,732,Polaroid camera,855,0.0036764231627558984,0.6333
35,48,Komodo dragon,849,0.0036506237019646288,0.6289
727,993,gyromitra,848,0.0036463237918327508,0.6281
48,71,scorpion,848,0.0036463237918327508,0.6281
526,736,pool table,846,0.0036377239715689944,0.6267
69,98,red-breasted merganser,838,0.0036033246905139683,0.7036
670,918,crossword puzzle,837,0.00359902478038209,0.62
353,510,container ship,836,0.003594724870250212,0.6193
701,955,jackfruit,834,0.0035861250499864554,0.6178
55,83,prairie chicken,824,0.003543125948667673,0.6104
13,16,bulbul,824,0.003543125948667673,0.6104
98,133,bittern,820,0.00352592630814016,0.6074
52,79,centipede,807,0.0034700274764257427,0.5978
590,812,space shuttle,806,0.0034657275662938643,0.6258
207,321,admiral,801,0.0034442280156344734,0.5933
482,685,odometer,798,0.0034313282852388386,0.5911
206,318,lacewing,784,0.0033711295433925433,0.5807
619,853,thatch,781,0.0033582298129969084,0.5785
561,779,school bus,776,0.003336730262337517,0.5748
63,92,bee eater,772,0.0033195306218100043,0.5719
373,540,drilling platform,763,0.0032808314306231,0.5652
96,130,flamingo,759,0.003263631790095587,0.5622
102,137,American coot,758,0.003259331879963709,0.5615
95,129,spoonbill,757,0.0032550319698318305,0.5607
9,12,house finch,751,0.003229232509040561,0.5563
405,575,golfcart,739,0.003177633587458022,0.5474
705,959,carbonara,734,0.003156134036798631,0.5437
47,70,harvestman,729,0.00313463448613924,0.54
656,900,water tower,729,0.00313463448613924,0.54
495,701,parachute,728,0.0031303345760073614,0.5393
456,645,maypole,728,0.0031303345760073614,0.5393
107,142,dowitcher,727,0.0031260346658754834,0.5385
240,363,armadillo,725,0.0031174348456117266,0.537
668,916,web site,724,0.0031131349354798486,0.5363
704,958,hay,722,0.003104535115216092,0.5348
636,873,triumphal arch,720,0.0030959352949523353,0.5333
699,953,pineapple,720,0.0030959352949523353,0.5333
50,76,tarantula,718,0.003087335474688579,0.5319
364,528,dial telephone,714,0.003070135834161066,0.5289
38,51,triceratops,712,0.0030615360138973096,0.541
703,957,pomegranate,708,0.0030443363733697964,0.5244
507,715,pickelhaube,708,0.0030443363733697964,0.5244
431,611,jigsaw puzzle,706,0.00303573655310604,0.523
457,646,maze,704,0.0030271367328422835,0.5215
392,560,football helmet,703,0.0030228368227104055,0.5207
562,781,scoreboard,699,0.0030056371821828923,0.5178
32,44,alligator lizard,698,0.0030013372720510143,0.517
393,561,forklift,696,0.0029927374517872574,0.5156
53,80,black grouse,695,0.0029884375416553794,0.5148
228,344,hippopotamus,693,0.002979837721391623,0.5133
265,398,abacus,691,0.0029712379011278666,0.5119
62,91,coucal,689,0.0029626380808641098,0.5104
396,565,freight car,684,0.002941138530204719,0.5067
250,376,proboscis monkey,684,0.002941138530204719,0.5067
488,694,paddlewheel,683,0.0029368386200728405,0.5059
721,985,daisy,682,0.002932538709940962,0.5052
234,354,Arabian camel,672,0.00288953960862218,0.4978
161,244,Tibetan mastiff,665,0.002859440237699032,0.4926
105,140,red-backed sandpiper,660,0.002837940687039641,0.4889
0,0,tench,658,0.002829340866775884,0.4874
597,822,steel drum,656,0.002820741046512128,0.4859
717,980,volcano,655,0.00281644113638025,0.4852
452,640,manhole cover,655,0.00281644113638025,0.4852
177,274,dhole,649,0.00279064167558898,0.4807
204,316,cicada,649,0.00279064167558898,0.4807
454,642,marimba,646,0.0027777419451933453,0.4785
702,956,custard apple,644,0.002769142124929589,0.477
270,405,airship,644,0.002769142124929589,0.477
648,888,viaduct,640,0.002751942484402076,0.4741
269,403,aircraft carrier,639,0.0027476425742701976,0.4733
109,144,pelican,637,0.002739042754006441,0.4719
606,833,submarine,636,0.002734742843874563,0.4711
71,100,black swan,632,0.00271754320334705,0.4681
187,291,lion,632,0.00271754320334705,0.4681
484,687,organ,631,0.002713243293215172,0.4674
34,47,African chameleon,629,0.0027046434729514155,0.4659
579,798,slide rule,619,0.002661644371632633,0.5107
432,612,jinrikisha,616,0.002648744641236998,0.4563
443,627,limousine,614,0.0026401448209732417,0.4548
516,726,plane,613,0.0026358449108413633,0.4541
212,326,lycaenid,613,0.0026358449108413633,0.4541
698,952,fig,612,0.0026315450007094853,0.4533
68,97,drake,610,0.002622945180445729,0.4519
497,704,parking meter,610,0.002622945180445729,0.4519
191,296,ice bear,610,0.002622945180445729,0.4519
77,107,jellyfish,608,0.002614345360181972,0.4504
219,334,porcupine,606,0.0026057455399182156,0.4489
551,768,rugby ball,606,0.0026057455399182156,0.4489
672,920,traffic light,603,0.002592845809522581,0.4467
46,69,trilobite,602,0.002588545899390703,0.4459
726,991,coral fungus,601,0.0025842459892588244,0.4452
347,500,cliff dwelling,601,0.0025842459892588244,0.4452
693,944,artichoke,600,0.0025799460791269464,0.4444
198,308,fly,599,0.002575646168995068,0.4437
514,723,pinwheel,592,0.0025455467980719203,0.5073
715,974,geyser,590,0.002536946977808164,0.437
724,989,hip,590,0.002536946977808164,0.437
535,749,quill,588,0.0025283471575444074,0.4356
111,146,albatross,587,0.002524047247412529,0.4348
308,455,bottlecap,586,0.002519747337280651,0.4341
15,18,magpie,584,0.002511147517016894,0.4326
621,855,thimble,583,0.002506847606885016,0.4319
460,649,megalith,581,0.0024982477866212598,0.4304
114,149,dugong,580,0.0024939478764893813,0.4296
239,362,badger,578,0.002485348056225625,0.4281
305,451,bolo tie,577,0.0024810481460937465,0.4274
441,625,lifeboat,575,0.00247244832582999,0.4259
713,971,bubble,574,0.002468148415698112,0.4252
725,990,buckeye,572,0.0024595485954343552,0.4237
14,17,jay,571,0.0024552486853024772,0.423
528,739,potter's wheel,567,0.0024380490447749644,0.42
623,858,tile roof,565,0.0024294492245112076,0.4185
667,915,yurt,565,0.0024294492245112076,0.4185
1,1,goldfish,562,0.002416549494115573,0.4163
74,104,wallaby,560,0.0024079496738518163,0.4148
281,420,banjo,559,0.0024036497637199383,0.4141
567,786,sewing machine,558,0.00239934985358806,0.4133
593,816,spindle,558,0.00239934985358806,0.4133
690,941,acorn squash,556,0.0023907500333243035,0.4119
412,586,half track,555,0.0023864501231924255,0.4111
76,106,wombat,555,0.0023864501231924255,0.4111
595,820,steam locomotive,553,0.0023778503029286686,0.4096
363,525,dam,553,0.0023778503029286686,0.4096
485,688,oscilloscope,547,0.0023520508421373994,0.4052
728,994,stinkhorn,546,0.002347750932005521,0.4044
729,995,earthstar,546,0.002347750932005521,0.4044
627,862,torch,546,0.002347750932005521,0.4044
402,571,gas pump,544,0.0023391511117417645,0.403
51,78,tick,543,0.0023348512016098865,0.4022
232,350,ibex,540,0.0023219514712142517,0.4
574,793,shower cap,539,0.0023176515610823733,0.3993
723,988,acorn,539,0.0023176515610823733,0.3993
64,93,hornbill,538,0.0023133516509504953,0.3985
