,id,fstart,fend,ftype,pers,volume,logvol,majority class,homogeneity,major class size,major class coverage,idx
0,5,-0,0.0007977878558449447,minima-saddle,0.0007977878558449447,478,6.171700597410915,neck brace,1,478,0.3886,1
1,6,-0,0.0031986285466700792,minima-saddle,0.0031986285466700792,983,6.891625897052253,chambered nautilus,1,983,0.7281,2
2,8,0.0000034570634852570947,0.002809864701703191,minima-saddle,0.002806407632306218,146,4.990432586778736,window shade,1,146,0.1081,3
3,15,-0,0.0011403016978874803,minima-saddle,0.0011403016978874803,421,6.045005314036012,pill bottle,1,421,0.3119,4
4,26,-0,0.0024827865418046713,minima-saddle,0.0024827865418046713,649,6.476972362889683,cicada,1,649,0.4807,5
5,31,0.0000821318244561553,0.0006024151062592864,minima-saddle,0.0003919703303836286,74,4.31748811353631,electric locomotive,1,74,0.0548,6
6,43,0.00009476689592702314,0.0006150501777301543,minima-saddle,0.00016841257456690073,10,2.3978952727983707,Sussex spaniel,1,10,0.0074,7
7,50,-0,0.0005202832818031311,minima-saddle,0.00036530973738990724,691,6.539585955617669,abacus,1,691,0.5119,8
8,59,-0,0.0008168459753505886,minima-saddle,0.0008168459753505886,576,6.3578422665081,bolo tie,1,576,0.4267,9
9,72,-0,0.0010189585154876113,minima-saddle,0.0010189585154876113,392,5.973809611869261,doormat,1,392,0.2904,10
10,81,-0,0.0005202832818031311,minima-saddle,0.00025650550378486514,432,6.07073772800249,bib,1,432,0.32,11
11,83,-0,0.0005202832818031311,minima-saddle,0.00029845553217455745,837,6.731018100482083,crossword puzzle,1,837,0.62,12
12,88,-0,0.0010024051880463958,minima-saddle,0.0010024051880463958,555,6.320768294250582,wombat,1,555,0.4111,13
13,89,-0,0.0008422164828516543,minima-saddle,0.0008422164828516543,722,6.583409222158765,hay,1,722,0.5348,14
14,94,-0,0.0009086770587600768,minima-saddle,0.0009086770587600768,261,5.568344503761097,muzzle,1,261,0.2206,15
15,96,-0,0.0005202832818031311,minima-saddle,0.00020323118951637298,498,6.212606095751519,bullet train,1,498,0.3689,16
16,103,-0,0.0005202832818031311,minima-saddle,0.0002131234941771254,573,6.352629396319567,bubble,1,573,0.4244,17
17,113,-0,0.0005202832818031311,minima-saddle,0.00024339574156329036,610,6.415096959171596,parking meter,1,610,0.4519,18
18,115,-0,0.0005202832818031311,minima-saddle,0.0004451475979294628,547,6.306275286948016,oscilloscope,1,547,0.4052,19
19,117,0.000047801782784517854,0.000568085064587649,minima-saddle,0.00027413066709414124,23,3.1780538303479458,cardigan,1,23,0.017,20
20,122,-0,0.0009691785671748221,minima-saddle,0.0009691785671748221,565,6.338594078203183,tile roof,1,565,0.4185,21
21,131,-0,0.0005202832818031311,minima-saddle,0.00021562635083682835,546,6.304448802421981,torch,1,546,0.4044,22
22,151,-0,0.0007281036232598126,minima-saddle,0.0007281036232598126,644,6.4692503167957724,custard apple,1,644,0.477,23
23,156,0.0000010728830375228426,0.000521356164840654,minima-saddle,0.0002613915130496025,17,2.8903717578961645,spatula,1,17,0.0126,24
24,162,0.000002264974000354414,0.0060279713943600655,minima-saddle,0.006025706417858601,431,6.068425588244111,ambulance,1,431,0.3193,25
25,169,-0,0.0005202832818031311,minima-saddle,0.00037901371251791716,928,6.834108738813838,hourglass,1,928,0.6874,26
26,172,-0,0.002736040623858571,minima-saddle,0.002736040623858571,973,6.881411303642535,slot,1,973,0.7207,27
27,176,-0,0.0015691122971475124,minima-saddle,0.0015691122971475124,490,6.19644412779452,cowboy boot,1,490,0.363,28
28,177,0.0000020265558760002023,0.003336341353133321,minima-saddle,0.0033343147952109575,720,6.580639137284949,triumphal arch,1,720,0.5333,29
29,179,-0,0.0005202832818031311,minima-saddle,0.00024196557933464646,558,6.326149473155099,sewing machine,1,558,0.4133,30
30,181,-0,0.0011718557216227055,minima-saddle,0.0011718557216227055,911,6.815639990074331,stupa,1,911,0.6748,31
31,202,-0,0.0005202832818031311,minima-saddle,0.00047136162174865603,558,6.326149473155099,spindle,1,558,0.4133,32
32,206,-0,0.0005202832818031311,minima-saddle,0.00018261195509694517,471,6.156978985585555,iron,1,471,0.3489,33
33,207,-0,0.0005202832818031311,minima-saddle,0.0004343043256085366,672,6.511745329644728,Arabian camel,1,672,0.4978,34
34,208,-0,0.0005202832818031311,minima-saddle,0.00046135272714309394,365,5.902633333401366,ice lolly,1,365,0.2704,35
35,215,-0,0.0007286992622539401,minima-saddle,0.0007286992622539401,452,6.115892125483034,toaster,1,452,0.3348,36
36,219,-0,0.0005202832818031311,minima-saddle,0.00027366707217879593,461,6.135564891081739,basketball,1,461,0.3415,37
37,235,-0,0.0028643079567700624,minima-saddle,0.0028643079567700624,861,6.759255270663693,hummingbird,0.9988385438919067,860,0.637,38
38,243,0.0030326112173497677,0.008045172318816185,minima-saddle,0.005012561101466417,10,2.3978952727983707,ballplayer,1,10,0.0074,39
39,247,-0,0.0008248264202848077,minima-saddle,0.0008248264202848077,1047,6.954638864880987,harp,1,1047,0.7756,40
40,249,-0,0.0013815154088661075,minima-saddle,0.0013815154088661075,636,6.456769655572163,submarine,1,636,0.4711,41
41,252,-0,0.0005202832818031311,minima-saddle,0.00037448544753715396,655,6.486160788944089,steel drum,1,655,0.4852,42
42,260,0.00003242440288886428,0.0005527076846919954,minima-saddle,0.00011145086318720132,11,2.4849066497880004,Norwegian elkhound,1,11,0.0081,43
43,268,-0,0.0005202832818031311,minima-saddle,0.00018046658078674227,232,5.4510384535657,syringe,1,232,0.1719,44
44,270,0.0000010728830375228426,0.0026179824490100145,minima-saddle,0.0026169095654040575,555,6.320768294250582,half track,1,555,0.4111,45
45,271,-0,0.0012696071062237024,minima-saddle,0.0012696071062237024,921,6.826545223556594,gondola,0.9989142417907715,920,0.6815,46
46,282,1.1920928244535389e-7,0.0005204024910855765,minima-saddle,0.0003266992571298033,103,4.6443908991413725,bath towel,1,103,0.0763,47
47,316,-0,0.0005202832818031311,minima-saddle,0.0004395472351461649,586,6.375024819828097,bottlecap,1,586,0.4341,48
