,Class,Count,Count Majority
0,tench,1,1
1,goldfish,1,1
2,great white shark,0,0
3,tiger shark,1,1
4,hammerhead,0,0
5,electric ray,1,1
6,stingray,0,0
7,cock,0,0
8,hen,0,0
9,ostrich,1,1
10,brambling,1,1
11,goldfinch,1,1
12,house finch,1,1
13,junco,2,1
14,indigo bunting,0,0
15,robin,1,1
16,bulbul,1,1
17,jay,1,1
18,magpie,0,0
19,chickadee,1,1
20,water ouzel,1,1
21,kite,1,1
22,bald eagle,1,1
23,vulture,0,0
24,great grey owl,1,1
25,European fire salamander,0,0
26,common newt,0,0
27,eft,0,0
28,spotted salamander,0,0
29,axolotl,1,1
30,bullfrog,0,0
31,tree frog,0,0
32,tailed frog,0,0
33,loggerhead,0,0
34,leatherback turtle,0,0
35,mud turtle,0,0
36,terrapin,0,0
37,box turtle,0,0
38,banded gecko,0,0
39,common iguana,0,0
40,American chameleon,0,0
41,whiptail,0,0
42,agama,1,1
43,frilled lizard,1,1
44,alligator lizard,1,1
45,Gila monster,1,1
46,green lizard,0,0
47,African chameleon,1,1
48,Komodo dragon,0,0
49,African crocodile,0,0
50,American alligator,0,0
51,triceratops,2,1
52,thunder snake,0,0
53,ringneck snake,1,1
54,hognose snake,0,0
55,green snake,1,1
56,king snake,0,0
57,garter snake,1,1
58,water snake,0,0
59,vine snake,0,0
60,night snake,0,0
61,boa constrictor,0,0
62,rock python,0,0
63,Indian cobra,1,1
64,green mamba,0,0
65,sea snake,0,0
66,horned viper,0,0
67,diamondback,0,0
68,sidewinder,0,0
69,trilobite,2,1
70,harvestman,1,1
71,scorpion,1,1
72,black and gold garden spider,0,0
73,barn spider,0,0
74,garden spider,0,0
75,black widow,0,0
76,tarantula,1,1
77,wolf spider,0,0
78,tick,1,1
79,centipede,1,1
80,black grouse,1,1
81,ptarmigan,1,1
82,ruffed grouse,0,0
83,prairie chicken,1,1
84,peacock,1,1
85,quail,1,1
86,partridge,0,0
87,African grey,1,1
88,macaw,1,1
89,sulphur-crested cockatoo,1,1
90,lorikeet,1,1
91,coucal,1,1
92,bee eater,1,1
93,hornbill,2,1
94,hummingbird,1,1
95,jacamar,0,0
96,toucan,1,1
97,drake,1,1
98,red-breasted merganser,1,1
99,goose,1,1
100,black swan,1,1
101,tusker,0,0
102,echidna,0,0
